"geneId"	"seqnames"	"start"	"end"	"geneStrand"	"annotation"	"group"	"gene_name"
"ENSMUSG00000001911.16"	"chr8"	84715682	84715827	2	"Promoter (1-2kb)"	"sidd"	"Nfix"
"ENSMUSG00000001995.9"	"chr8"	125366128	125366279	2	"Distal Intergenic"	"sidd"	"Sipa1l2"
"ENSMUSG00000002076.12"	"chr17"	32000541	32000693	2	"Intron (ENSMUST00000002145.11/ENSMUSG00000002076.12, intron 6 of 7)"	"sidd"	"Hsf2bp"
"ENSMUSG00000002107.18"	"chr2"	6758881	6759007	2	"Intron (ENSMUST00000002176.12/ENSMUSG00000002107.18, intron 3 of 15)"	"sidd"	"Celf2"
"ENSMUSG00000002190.13"	"chr8"	83376617	83376782	1	"Intron (ENSMUST00000038692.5/ENSMUSG00000035057.7, intron 10 of 10)"	"sidd"	"Clgn"
"ENSMUSG00000002221.11"	"chr5"	27727450	27727568	2	"3' UTR"	"sidd"	"Paxip1"
"ENSMUSG00000002240.12"	"chr5"	87831123	87831277	1	"Intron (ENSMUST00000002310.7/ENSMUSG00000002240.12, intron 1 of 4)"	"sidd"	"Prr27"
"ENSMUSG00000002475.16"	"chr18"	10661753	10661877	2	"Promoter (2-3kb)"	"sidd"	"Abhd3"
"ENSMUSG00000002489.16"	"chr16"	89768828	89768940	2	"Distal Intergenic"	"sidd"	"Tiam1"
"ENSMUSG00000002565.16"	"chr12"	40121002	40121179	2	"Intron (ENSMUST00000078481.13/ENSMUSG00000002565.16, intron 3 of 13)"	"sidd"	"Scin"
"ENSMUSG00000002617.14"	"chr17"	23232215	23232372	2	"Distal Intergenic"	"sidd"	"Zfp40"
"ENSMUSG00000002688.8"	"chr12"	50465570	50465689	2	"Intron (ENSMUST00000002765.8/ENSMUSG00000002688.8, intron 2 of 18)"	"sidd"	"Prkd1"
"ENSMUSG00000002699.13"	"chr11"	34043655	34043805	1	"Intron (ENSMUST00000141450.1/ENSMUSG00000085684.2, intron 4 of 4)"	"sidd"	"Lcp2"
"ENSMUSG00000002731.6"	"chr2"	76604976	76605074	2	"Distal Intergenic"	"sidd"	"Prkra"
"ENSMUSG00000002771.12"	"chr7"	45858075	45858179	2	"Exon (ENSMUST00000002848.9/ENSMUSG00000002771.12, exon 4 of 12)"	"sidd"	"Grin2d"
"ENSMUSG00000002799.6"	"chr12"	112908698	112908827	2	"Promoter (1-2kb)"	"sidd"	"Jag2"
"ENSMUSG00000002808.7"	"chr13"	19612132	19612356	2	"Intron (ENSMUST00000002885.7/ENSMUSG00000002808.7, intron 1 of 2)"	"sidd"	"Epdr1"
"ENSMUSG00000002908.17"	"chr8"	70863863	70863964	2	"Promoter (<=1kb)"	"sidd"	"Kcnn1"
"ENSMUSG00000002930.6"	"chr6"	56053411	56053634	1	"Distal Intergenic"	"sidd"	"Ppp1r17"
"ENSMUSG00000003032.8"	"chr4"	55531994	55532130	2	"Promoter (<=1kb)"	"sidd"	"Klf4"
"ENSMUSG00000003227.4"	"chr10"	58675913	58676017	2	"Promoter (<=1kb)"	"sidd"	"Edar"
"ENSMUSG00000003279.17"	"chr17"	70093238	70093412	1	"Intron (ENSMUST00000133983.7/ENSMUSG00000003279.17, intron 2 of 13)"	"sidd"	"Dlgap1"
"ENSMUSG00000003341.9"	"chr10"	80526508	80526650	2	"Intron (ENSMUST00000020383.5/ENSMUSG00000003341.9, intron 19 of 27)"	"sidd"	"Atp8b3"
"ENSMUSG00000003418.11"	"chr2"	13838819	13838981	2	"Distal Intergenic"	"sidd"	"St8sia6"
"ENSMUSG00000003452.15"	"chr6"	149498893	149499019	1	"Intron (ENSMUST00000086829.10/ENSMUSG00000003452.15, intron 3 of 8)"	"sidd"	"Bicd1"
"ENSMUSG00000003469.9"	"chr14"	70466479	70466568	1	"Intron (ENSMUST00000003561.9/ENSMUSG00000003469.9, intron 4 of 4)"	"sidd"	"Phyhip"
"ENSMUSG00000003477.5"	"chr6"	55186177	55186384	2	"Distal Intergenic"	"sidd"	"Inmt"
"ENSMUSG00000003526.12"	"chr16"	18088628	18088751	2	"Promoter (<=1kb)"	"sidd"	"Prodh"
"ENSMUSG00000003575.13"	"chr8"	70398033	70398147	2	"Intron (ENSMUST00000076615.5/ENSMUSG00000003575.13, intron 7 of 13)"	"sidd"	"Crtc1"
"ENSMUSG00000003604.14"	"chr2"	112547067	112547180	1	"Intron (ENSMUST00000003705.11/ENSMUSG00000003604.14, intron 2 of 5)"	"sidd"	"Aven"
"ENSMUSG00000003810.13"	"chr4"	116348266	116348418	2	"Intron (ENSMUST00000239239.1/ENSMUSG00000003810.13, intron 2 of 25)"	"sidd"	"Mast2"
"ENSMUSG00000003882.5"	"chr15"	9503295	9503417	2	"Distal Intergenic"	"sidd"	"Il7r"
"ENSMUSG00000003929.11"	"chr17"	33344978	33345176	2	"Intron (ENSMUST00000054072.8/ENSMUSG00000003929.11, intron 1 of 3)"	"sidd"	"Zfp81"
"ENSMUSG00000003949.16"	"chr11"	90390459	90390595	2	"Promoter (<=1kb)"	"sidd"	"Hlf"
"ENSMUSG00000004018.9"	"chr11"	26362898	26363087	1	"Distal Intergenic"	"sidd"	"Fancl"
"ENSMUSG00000004031.13"	"chr1"	158295192	158295298	2	"Promoter (1-2kb)"	"sidd"	"Brinp2"
"ENSMUSG00000004035.12"	"chr3"	107937478	107937609	2	"Distal Intergenic"	"sidd"	"Gstm7"
"ENSMUSG00000004056.15"	"chr7"	27615543	27615655	1	"Intron (ENSMUST00000108344.8/ENSMUSG00000004056.15, intron 2 of 13)"	"sidd"	"Akt2"
"ENSMUSG00000004110.17"	"chr1"	154429630	154429728	2	"Intron (ENSMUST00000187541.6/ENSMUSG00000004110.17, intron 35 of 46)"	"sidd"	"Cacna1e"
"ENSMUSG00000004113.18"	"chr2"	24607078	24607213	2	"Promoter (<=1kb)"	"sidd"	"Cacna1b"
"ENSMUSG00000004231.15"	"chr19"	44758712	44758843	1	"Promoter (1-2kb)"	"sidd"	"Pax2"
"ENSMUSG00000004317.14"	"chrX"	7285206	7285340	2	"Intron (ENSMUST00000115746.7/ENSMUSG00000004317.14, intron 3 of 14)"	"sidd"	"Clcn5"
"ENSMUSG00000004341.8"	"chr13"	21329695	21329801	1	"Distal Intergenic"	"sidd"	"Gpx6"
"ENSMUSG00000004347.17"	"chr6"	56303967	56304069	2	"Intron (ENSMUST00000044505.13/ENSMUSG00000004347.17, intron 2 of 18)"	"sidd"	"Pde1c"
"ENSMUSG00000004360.9"	"chr10"	29235926	29236069	1	"Distal Intergenic"	"sidd"	"9330159F19Rik"
"ENSMUSG00000004366.4"	"chr16"	23882635	23882774	2	"Distal Intergenic"	"sidd"	"Sst"
"ENSMUSG00000004383.18"	"chr8"	73095806	73095969	2	"Promoter (2-3kb)"	"sidd"	"Large1"
"ENSMUSG00000004508.6"	"chr7"	97148885	97149042	1	"Intron (ENSMUST00000004622.6/ENSMUSG00000004508.6, intron 1 of 9)"	"sidd"	"Gab2"
"ENSMUSG00000004637.15"	"chr8"	114437293	114437402	1	"Promoter (2-3kb)"	"sidd"	"Wwox"
"ENSMUSG00000004651.6"	"chr7"	87407668	87407796	2	"Distal Intergenic"	"sidd"	"Tyr"
"ENSMUSG00000004668.14"	"chr11"	9230396	9230512	1	"Intron (ENSMUST00000042740.12/ENSMUSG00000004668.14, intron 3 of 61)"	"sidd"	"Abca13"
"ENSMUSG00000004698.11"	"chr12"	34445303	34445429	2	"Intron (ENSMUST00000209902.1/ENSMUSG00000004698.11, intron 1 of 24)"	"sidd"	"Hdac9"
"ENSMUSG00000004730.15"	"chr17"	57355461	57355578	1	"Distal Intergenic"	"sidd"	"Adgre1"
"ENSMUSG00000004788.11"	"chr12"	85218182	85218357	1	"Promoter (1-2kb)"	"sidd"	"Eif2b2"
"ENSMUSG00000004821.1"	"chr5"	108788324	108788467	2	"Intron (ENSMUST00000004943.1/ENSMUSG00000004821.1, intron 1 of 4)"	"sidd"	"Tmed11"
"ENSMUSG00000004892.13"	"chr3"	88001180	88001294	2	"Promoter (<=1kb)"	"sidd"	"Bcan"
"ENSMUSG00000005034.15"	"chr3"	146787751	146787907	2	"Promoter (<=1kb)"	"sidd"	"Prkacb"
"ENSMUSG00000005087.17"	"chr2"	102921462	102921570	2	"Distal Intergenic"	"sidd"	"Cd44"
"ENSMUSG00000005089.15"	"chr2"	102714929	102715057	1	"Intron (ENSMUST00000080210.9/ENSMUSG00000005089.15, intron 1 of 10)"	"sidd"	"Slc1a2"
"ENSMUSG00000005124.10"	"chr15"	66891790	66891878	1	"Promoter (<=1kb)"	"sidd"	"Ccn4"
"ENSMUSG00000005220.10"	"chr5"	72366919	72367082	2	"Intron (ENSMUST00000176396.1/ENSMUSG00000093400.1, intron 3 of 3)"	"sidd"	"Corin"
"ENSMUSG00000005267.13"	"chr11"	62717025	62717174	2	"Intron (ENSMUST00000150336.7/ENSMUSG00000005267.13, intron 5 of 7)"	"sidd"	"Zfp287"
"ENSMUSG00000005268.20"	"chr15"	10128025	10128243	1	"Distal Intergenic"	"sidd"	"Prlr"
"ENSMUSG00000005299.6"	"chr5"	33792163	33792352	2	"Distal Intergenic"	"sidd"	"Letm1"
"ENSMUSG00000005360.14"	"chr15"	8608177	8608303	2	"Distal Intergenic"	"sidd"	"Slc1a3"
"ENSMUSG00000005373.13"	"chr5"	135131869	135132056	1	"Promoter (1-2kb)"	"sidd"	"Mlxipl"
"ENSMUSG00000005533.10"	"chr7"	67952746	67952873	1	"Promoter (<=1kb)"	"sidd"	"Igf1r"
"ENSMUSG00000005609.16"	"chr7"	111034568	111034721	1	"Promoter (<=1kb)"	"sidd"	"Ctr9"
"ENSMUSG00000005803.14"	"chr2"	122849292	122849431	1	"Distal Intergenic"	"sidd"	"Sqor"
"ENSMUSG00000005836.10"	"chr18"	11059295	11059424	1	"Promoter (<=1kb)"	"sidd"	"Gata6"
"ENSMUSG00000005917.15"	"chr11"	22055083	22055251	2	"Intron (ENSMUST00000045167.10/ENSMUSG00000042302.14, intron 19 of 23)"	"sidd"	"Otx1"
"ENSMUSG00000005958.15"	"chr16"	21227876	21228002	1	"Distal Intergenic"	"sidd"	"Ephb3"
"ENSMUSG00000005973.6"	"chr2"	105344870	105345034	2	"Intron (ENSMUST00000068813.2/ENSMUSG00000055312.2, intron 3 of 3)"	"sidd"	"Rcn1"
"ENSMUSG00000005994.14"	"chr4"	80715378	80715518	1	"Distal Intergenic"	"sidd"	"Tyrp1"
"ENSMUSG00000006007.14"	"chr1"	150301130	150301359	1	"Distal Intergenic"	"sidd"	"Pdc"
"ENSMUSG00000006191.17"	"chr13"	29731668	29731781	2	"Intron (ENSMUST00000140278.7/ENSMUSG00000006191.17, intron 5 of 16)"	"sidd"	"Cdkal1"
"ENSMUSG00000006221.7"	"chr4"	141423255	141423352	1	"Promoter (2-3kb)"	"sidd"	"Hspb7"
"ENSMUSG00000006262.15"	"chr5"	88704376	88704533	1	"Distal Intergenic"	"sidd"	"Mob1b"
"ENSMUSG00000006270.7"	"chr19"	59168873	59168992	2	"Promoter (1-2kb)"	"sidd"	"Vax1"
"ENSMUSG00000006342.15"	"chr10"	75640992	75641090	2	"Promoter (2-3kb)"	"sidd"	"Susd2"
"ENSMUSG00000006362.16"	"chr8"	122710253	122710361	2	"Intron (ENSMUST00000127664.1/ENSMUSG00000092329.1, intron 1 of 15)"	"sidd"	"Cbfa2t3"
"ENSMUSG00000006386.15"	"chr4"	94845655	94845808	1	"Intron (ENSMUST00000073939.12/ENSMUSG00000006386.15, intron 11 of 21)"	"sidd"	"Tek"
"ENSMUSG00000006411.12"	"chr1"	171375367	171375510	1	"Intron (ENSMUST00000111286.8/ENSMUSG00000006411.12, intron 2 of 9)"	"sidd"	"Nectin4"
"ENSMUSG00000006445.3"	"chr4"	141313301	141313526	1	"Intron (ENSMUST00000006614.2/ENSMUSG00000006445.3, intron 3 of 16)"	"sidd"	"Epha2"
"ENSMUSG00000006462.6"	"chr2"	167727662	167727788	1	"Exon (ENSMUST00000141923.1/ENSMUSG00000006462.6, exon 4 of 4)"	"sidd"	"A530013C23Rik"
"ENSMUSG00000006464.9"	"chr19"	4897124	4897222	2	"Promoter (<=1kb)"	"sidd"	"Bbs1"
"ENSMUSG00000006490.3"	"chr13"	27570160	27570327	2	"Distal Intergenic"	"sidd"	"Prl8a9"
"ENSMUSG00000006570.3"	"chr8"	21844705	21844837	1	"Distal Intergenic"	"sidd"	"Defb2"
"ENSMUSG00000006764.8"	"chr10"	115099246	115099407	2	"Intron (ENSMUST00000006949.8/ENSMUSG00000006764.8, intron 8 of 10)"	"sidd"	"Tph2"
"ENSMUSG00000006800.14"	"chr2"	166122455	166122666	2	"Intron (ENSMUST00000109249.8/ENSMUSG00000006800.14, intron 2 of 20)"	"sidd"	"Sulf2"
"ENSMUSG00000007480.5"	"chr18"	68344918	68345143	1	"Distal Intergenic"	"sidd"	"Mc5r"
"ENSMUSG00000007613.15"	"chr4"	47395299	47395455	1	"Intron (ENSMUST00000007757.14/ENSMUSG00000007613.15, intron 3 of 8)"	"sidd"	"Tgfbr1"
"ENSMUSG00000007653.12"	"chr11"	42641327	42641460	1	"Distal Intergenic"	"sidd"	"Gabrb2"
"ENSMUSG00000007655.16"	"chr6"	17324488	17324601	1	"Intron (ENSMUST00000007799.12/ENSMUSG00000007655.16, intron 2 of 2)"	"sidd"	"Cav1"
"ENSMUSG00000007805.4"	"chr1"	91719917	91720039	1	"Distal Intergenic"	"sidd"	"Twist2"
"ENSMUSG00000007817.15"	"chr14"	25498760	25498896	1	"Intron (ENSMUST00000161766.7/ENSMUSG00000007817.15, intron 1 of 2)"	"sidd"	"Zmiz1"
"ENSMUSG00000007827.10"	"chr6"	118546665	118546863	2	"Promoter (2-3kb)"	"sidd"	"Ankrd26"
"ENSMUSG00000007950.9"	"chr8"	71451178	71451318	2	"Distal Intergenic"	"sidd"	"Abhd8"
"ENSMUSG00000008136.14"	"chr1"	43194935	43195068	2	"Promoter (1-2kb)"	"sidd"	"Fhl2"
"ENSMUSG00000008489.18"	"chr4"	91400318	91400437	2	"Promoter (<=1kb)"	"sidd"	"Elavl2"
"ENSMUSG00000008496.19"	"chr7"	25179477	25179583	2	"Promoter (<=1kb)"	"sidd"	"Pou2f2"
"ENSMUSG00000008540.11"	"chr6"	138136971	138137110	1	"Distal Intergenic"	"sidd"	"Mgst1"
"ENSMUSG00000008575.17"	"chr4"	82753324	82753425	2	"Distal Intergenic"	"sidd"	"Nfib"
"ENSMUSG00000008658.16"	"chr16"	6254562	6254719	1	"Intron (ENSMUST00000230658.1/ENSMUSG00000008658.16, intron 2 of 11)"	"sidd"	"Rbfox1"
"ENSMUSG00000008683.16"	"chr7"	118035364	118035478	2	"Distal Intergenic"	"sidd"	"Rps15a"
"ENSMUSG00000008734.9"	"chr7"	118993723	118993897	2	"Promoter (1-2kb)"	"sidd"	"Gprc5b"
"ENSMUSG00000008789.10"	"chr7"	17724859	17725002	1	"Intron (ENSMUST00000081907.7/ENSMUSG00000008789.10, intron 2 of 8)"	"sidd"	"Ceacam5"
"ENSMUSG00000008932.10"	"chr4"	107990134	107990340	1	"Intron (ENSMUST00000106713.4/ENSMUSG00000008932.10, intron 2 of 10)"	"sidd"	"Slc1a7"
"ENSMUSG00000008999.7"	"chr2"	172938158	172938278	2	"Promoter (1-2kb)"	"sidd"	"Bmp7"
"ENSMUSG00000009070.14"	"chr10"	75015823	75015960	2	"3' UTR"	"sidd"	"Rsph14"
"ENSMUSG00000009073.16"	"chr11"	4796412	4796545	2	"Intron (ENSMUST00000109910.8/ENSMUSG00000009073.16, intron 8 of 15)"	"sidd"	"Nf2"
"ENSMUSG00000009097.10"	"chr16"	18586144	18586264	2	"Promoter (<=1kb)"	"sidd"	"Tbx1"
"ENSMUSG00000009248.6"	"chr7"	142967008	142967180	2	"Promoter (1-2kb)"	"sidd"	"Ascl2"
"ENSMUSG00000009376.15"	"chr6"	17566710	17566839	1	"Intron (ENSMUST00000115443.7/ENSMUSG00000009376.15, intron 20 of 21)"	"sidd"	"Met"
"ENSMUSG00000009394.13"	"chr6"	115138464	115138595	1	"Intron (ENSMUST00000203768.2/ENSMUSG00000009394.13, intron 1 of 10)"	"sidd"	"Syn2"
"ENSMUSG00000009418.16"	"chr1"	135585573	135585651	2	"Promoter (<=1kb)"	"sidd"	"Nav1"
"ENSMUSG00000009471.4"	"chr7"	46385417	46385569	1	"Distal Intergenic"	"sidd"	"Myod1"
"ENSMUSG00000009487.10"	"chr7"	46253916	46254025	1	"Intron (ENSMUST00000164538.1/ENSMUSG00000009487.10, intron 12 of 55)"	"sidd"	"Otog"
"ENSMUSG00000009569.14"	"chr16"	13226748	13226874	1	"Distal Intergenic"	"sidd"	"Mrtfb"
"ENSMUSG00000009633.3"	"chr1"	193272125	193272275	2	"Promoter (<=1kb)"	"sidd"	"G0s2"
"ENSMUSG00000009647.13"	"chr10"	59655607	59655753	2	"Distal Intergenic"	"sidd"	"Mcu"
"ENSMUSG00000009733.9"	"chr15"	100566010	100566115	2	"Distal Intergenic"	"sidd"	"Tfcp2"
"ENSMUSG00000009734.18"	"chr13"	18185495	18185631	2	"Promoter (<=1kb)"	"sidd"	"Pou6f2"
"ENSMUSG00000009907.17"	"chr1"	106801462	106801622	2	"Distal Intergenic"	"sidd"	"Vps4b"
"ENSMUSG00000010066.15"	"chr9"	107505210	107505292	1	"Promoter (<=1kb)"	"sidd"	"Cacna2d2"
"ENSMUSG00000010175.13"	"chr1"	190173994	190174119	2	"Intron (ENSMUST00000110279.3/ENSMUSG00000079045.3, intron 1 of 1)"	"sidd"	"Prox1"
"ENSMUSG00000010461.15"	"chr10"	23330020	23330160	2	"Intron (ENSMUST00000092665.11/ENSMUSG00000010461.15, intron 1 of 18)"	"sidd"	"Eya4"
"ENSMUSG00000010476.14"	"chr7"	137320845	137321009	2	"Distal Intergenic"	"sidd"	"Ebf3"
"ENSMUSG00000010505.16"	"chr2"	181751429	181751528	1	"Distal Intergenic"	"sidd"	"Myt1"
"ENSMUSG00000010651.4"	"chr9"	119147641	119147712	2	"Promoter (2-3kb)"	"sidd"	"Acaa1b"
"ENSMUSG00000010803.13"	"chr11"	42093898	42094038	2	"Distal Intergenic"	"sidd"	"Gabra1"
"ENSMUSG00000011008.13"	"chr3"	146190492	146190677	1	"Promoter (<=1kb)"	"sidd"	"Mcoln2"
"ENSMUSG00000011958.17"	"chr9"	69922328	69922443	1	"Distal Intergenic"	"sidd"	"Bnip2"
"ENSMUSG00000012114.17"	"chr16"	17659102	17659288	2	"Intron (ENSMUST00000232645.1/ENSMUSG00000012114.17, intron 8 of 16)"	"sidd"	"Med15"
"ENSMUSG00000012405.16"	"chr14"	18256618	18256737	2	"Distal Intergenic"	"sidd"	"Rpl15"
"ENSMUSG00000012609.19"	"chr12"	85903666	85903807	1	"Intron (ENSMUST00000040179.13/ENSMUSG00000012609.19, intron 17 of 33)"	"sidd"	"Ttll5"
"ENSMUSG00000012819.15"	"chr10"	60325779	60325914	2	"Intron (ENSMUST00000073242.10/ENSMUSG00000012819.15, intron 43 of 66)"	"sidd"	"Cdh23"
"ENSMUSG00000013033.16"	"chr8"	83900673	83900720	1	"Promoter (<=1kb)"	"sidd"	"Adgrl1"
"ENSMUSG00000013236.17"	"chr17"	56412945	56413083	2	"Promoter (1-2kb)"	"sidd"	"Ptprs"
"ENSMUSG00000013483.14"	"chr11"	119310940	119311047	1	"Intron (ENSMUST00000106250.7/ENSMUSG00000013483.14, intron 1 of 22)"	"sidd"	"Card14"
"ENSMUSG00000013523.13"	"chr2"	170412749	170412938	2	"Intron (ENSMUST00000109152.8/ENSMUSG00000013523.13, intron 3 of 11)"	"sidd"	"Bcas1"
"ENSMUSG00000013584.5"	"chr9"	71246484	71246626	1	"Intron (ENSMUST00000034723.5/ENSMUSG00000013584.5, intron 1 of 13)"	"sidd"	"Aldh1a2"
"ENSMUSG00000013846.10"	"chr15"	67196256	67196390	2	"Distal Intergenic"	"sidd"	"St3gal1"
"ENSMUSG00000014313.15"	"chr15"	35964662	35964829	2	"Distal Intergenic"	"sidd"	"Cox6c"
"ENSMUSG00000014329.14"	"chr10"	71158760	71158885	2	"Promoter (<=1kb)"	"sidd"	"Bicc1"
"ENSMUSG00000014426.9"	"chr17"	12258822	12258974	2	"Intron (ENSMUST00000233755.1/ENSMUSG00000014426.9, intron 6 of 25)"	"sidd"	"Map3k4"
"ENSMUSG00000014470.4"	"chr8"	122466531	122466655	2	"Promoter (1-2kb)"	"sidd"	"Rnf166"
"ENSMUSG00000014592.21"	"chr4"	151226919	151227053	2	"Intron (ENSMUST00000169423.8/ENSMUSG00000014592.21, intron 6 of 24)"	"sidd"	"Camta1"
"ENSMUSG00000014601.13"	"chr3"	107638216	107638378	2	"Distal Intergenic"	"sidd"	"Strip1"
"ENSMUSG00000014602.15"	"chr1"	93034345	93034498	2	"Intron (ENSMUST00000171796.7/ENSMUSG00000014602.15, intron 36 of 47)"	"sidd"	"Kif1a"
"ENSMUSG00000014776.7"	"chr8"	105278601	105278713	1	"Promoter (2-3kb)"	"sidd"	"Nol3"
"ENSMUSG00000015002.18"	"chr15"	65854187	65854360	1	"Promoter (1-2kb)"	"sidd"	"Efr3a"
"ENSMUSG00000015053.14"	"chr6"	88197898	88197974	1	"Promoter (<=1kb)"	"sidd"	"Gata2"
"ENSMUSG00000015133.17"	"chr7"	66236362	66236530	2	"Intron (ENSMUST00000167705.7/ENSMUSG00000015133.17, intron 2 of 2)"	"sidd"	"Lrrk1"
"ENSMUSG00000015134.15"	"chr7"	66428181	66428332	2	"Promoter (<=1kb)"	"sidd"	"Aldh1a3"
"ENSMUSG00000015202.13"	"chr10"	7288845	7288982	2	"Distal Intergenic"	"sidd"	"Cnksr3"
"ENSMUSG00000015222.18"	"chr1"	66316356	66316510	1	"Intron (ENSMUST00000156636.8/ENSMUSG00000015222.18, intron 2 of 4)"	"sidd"	"Map2"
"ENSMUSG00000015242.14"	"chr4"	52991738	52991935	1	"Promoter (2-3kb)"	"sidd"	"Nipsnap3a"
"ENSMUSG00000015314.10"	"chr1"	171971679	171971797	1	"Distal Intergenic"	"sidd"	"Slamf6"
"ENSMUSG00000015396.4"	"chr13"	43812198	43812331	1	"Distal Intergenic"	"sidd"	"Cd83"
