"geneId"	"annotation"	"group"	"gene_name"
"ENSMUSG00000001657.7"	"Promoter (<=1kb)"	"z-dna"	"Hoxc8"
"ENSMUSG00000001661.5"	"Promoter (1-2kb)"	"z-dna"	"Hoxc6"
"ENSMUSG00000001672.14"	"Promoter (<=1kb)"	"z-dna"	"Marveld3"
"ENSMUSG00000001761.7"	"Promoter (<=1kb)"	"z-dna"	"Smo"
"ENSMUSG00000001768.16"	"Promoter (<=1kb)"	"z-dna"	"Rin2"
"ENSMUSG00000001783.3"	"Promoter (2-3kb)"	"z-dna"	"Rtcb"
"ENSMUSG00000001802.16"	"Promoter (<=1kb)"	"z-dna"	"Lrp3"
"ENSMUSG00000001815.15"	"Promoter (1-2kb)"	"z-dna"	"Evx2"
"ENSMUSG00000001819.4"	"Promoter (<=1kb)"	"z-dna"	"Hoxd13"
"ENSMUSG00000001864.13"	"Promoter (<=1kb)"	"z-dna"	"Aif1l"
"ENSMUSG00000001870.16"	"Promoter (<=1kb)"	"z-dna"	"Ltbp1"
"ENSMUSG00000001911.16"	"Promoter (<=1kb)"	"z-dna"	"Nfix"
"ENSMUSG00000001985.9"	"Promoter (<=1kb)"	"z-dna"	"Grik3"
"ENSMUSG00000001988.9"	"Promoter (<=1kb)"	"z-dna"	"Npas1"
"ENSMUSG00000001995.9"	"Promoter (<=1kb)"	"z-dna"	"Sipa1l2"
"ENSMUSG00000002006.12"	"Promoter (1-2kb)"	"z-dna"	"Pdzd4"
"ENSMUSG00000002012.13"	"Promoter (<=1kb)"	"z-dna"	"Pnck"
"ENSMUSG00000002020.15"	"Promoter (<=1kb)"	"z-dna"	"Ltbp2"
"ENSMUSG00000002032.17"	"Promoter (<=1kb)"	"z-dna"	"Tmem25"
"ENSMUSG00000002059.18"	"Promoter (<=1kb)"	"z-dna"	"Rab34"
"ENSMUSG00000002107.18"	"Promoter (<=1kb)"	"z-dna"	"Celf2"
"ENSMUSG00000002108.10"	"Promoter (<=1kb)"	"z-dna"	"Nr1h3"
"ENSMUSG00000002190.13"	"Promoter (<=1kb)"	"z-dna"	"Clgn"
"ENSMUSG00000002249.21"	"Promoter (<=1kb)"	"z-dna"	"Tead3"
"ENSMUSG00000002265.17"	"Promoter (<=1kb)"	"z-dna"	"Peg3"
"ENSMUSG00000002384.2"	"Promoter (<=1kb)"	"z-dna"	"Bmp8b"
"ENSMUSG00000002393.14"	"Promoter (<=1kb)"	"z-dna"	"Nr2f6"
"ENSMUSG00000002459.17"	"Promoter (<=1kb)"	"z-dna"	"Rgs20"
"ENSMUSG00000002489.16"	"Promoter (<=1kb)"	"z-dna"	"Tiam1"
"ENSMUSG00000002496.10"	"Promoter (<=1kb)"	"z-dna"	"Tsc2"
"ENSMUSG00000002565.16"	"Promoter (<=1kb)"	"z-dna"	"Scin"
"ENSMUSG00000002578.18"	"Promoter (<=1kb)"	"z-dna"	"Ikzf4"
"ENSMUSG00000002588.13"	"Promoter (2-3kb)"	"z-dna"	"Pon1"
"ENSMUSG00000002602.16"	"Promoter (<=1kb)"	"z-dna"	"Axl"
"ENSMUSG00000002688.8"	"Promoter (<=1kb)"	"z-dna"	"Prkd1"
"ENSMUSG00000002769.9"	"Promoter (<=1kb)"	"z-dna"	"Gnmt"
"ENSMUSG00000002771.12"	"Promoter (<=1kb)"	"z-dna"	"Grin2d"
"ENSMUSG00000002781.19"	"Promoter (<=1kb)"	"z-dna"	"Tmem143"
"ENSMUSG00000002791.17"	"Promoter (2-3kb)"	"z-dna"	"Pdxk-ps"
"ENSMUSG00000002799.6"	"Promoter (1-2kb)"	"z-dna"	"Jag2"
"ENSMUSG00000002804.4"	"Promoter (2-3kb)"	"z-dna"	"Nudt14"
"ENSMUSG00000002808.7"	"Promoter (<=1kb)"	"z-dna"	"Epdr1"
"ENSMUSG00000002900.17"	"Promoter (<=1kb)"	"z-dna"	"Lamb1"
"ENSMUSG00000002908.17"	"Promoter (<=1kb)"	"z-dna"	"Kcnn1"
"ENSMUSG00000002980.14"	"Promoter (<=1kb)"	"z-dna"	"Bcam"
"ENSMUSG00000002997.15"	"Promoter (<=1kb)"	"z-dna"	"Prkar2b"
"ENSMUSG00000003032.8"	"Promoter (1-2kb)"	"z-dna"	"Klf4"
"ENSMUSG00000003051.13"	"Promoter (2-3kb)"	"z-dna"	"Elf3"
"ENSMUSG00000003053.17"	"Promoter (1-2kb)"	"z-dna"	"Cyp2c29"
"ENSMUSG00000003070.6"	"Promoter (<=1kb)"	"z-dna"	"Efna2"
"ENSMUSG00000003134.10"	"Promoter (<=1kb)"	"z-dna"	"Tbc1d8"
"ENSMUSG00000003228.9"	"Promoter (<=1kb)"	"z-dna"	"Grk5"
"ENSMUSG00000003273.14"	"Promoter (<=1kb)"	"z-dna"	"Car11"
"ENSMUSG00000003279.17"	"Promoter (<=1kb)"	"z-dna"	"Dlgap1"
"ENSMUSG00000003345.16"	"Promoter (<=1kb)"	"z-dna"	"Csnk1g2"
"ENSMUSG00000003346.14"	"Promoter (<=1kb)"	"z-dna"	"Abhd17a"
"ENSMUSG00000003352.14"	"Promoter (<=1kb)"	"z-dna"	"Cacnb3"
"ENSMUSG00000003410.8"	"Promoter (1-2kb)"	"z-dna"	"Elavl3"
"ENSMUSG00000003411.10"	"Promoter (2-3kb)"	"z-dna"	"Rab3b"
"ENSMUSG00000003436.11"	"Promoter (2-3kb)"	"z-dna"	"Dll3"
"ENSMUSG00000003476.16"	"Promoter (<=1kb)"	"z-dna"	"Crhr2"
"ENSMUSG00000003526.12"	"Promoter (<=1kb)"	"z-dna"	"Prodh"
"ENSMUSG00000003534.17"	"Promoter (<=1kb)"	"z-dna"	"Ddr1"
"ENSMUSG00000003545.3"	"Promoter (<=1kb)"	"z-dna"	"Fosb"
"ENSMUSG00000003573.15"	"Promoter (<=1kb)"	"z-dna"	"Homer3"
"ENSMUSG00000003585.13"	"Promoter (<=1kb)"	"z-dna"	"Sec14l2"
"ENSMUSG00000003949.16"	"Promoter (2-3kb)"	"z-dna"	"Hlf"
"ENSMUSG00000003974.6"	"Promoter (<=1kb)"	"z-dna"	"Grm3"
"ENSMUSG00000003992.15"	"Promoter (<=1kb)"	"z-dna"	"Ssbp2"
"ENSMUSG00000004031.13"	"Promoter (1-2kb)"	"z-dna"	"Brinp2"
"ENSMUSG00000004032.10"	"Promoter (<=1kb)"	"z-dna"	"Gstm5"
"ENSMUSG00000004044.9"	"Promoter (1-2kb)"	"z-dna"	"Cavin1"
"ENSMUSG00000004113.18"	"Promoter (<=1kb)"	"z-dna"	"Cacna1b"
"ENSMUSG00000004231.15"	"Promoter (<=1kb)"	"z-dna"	"Pax2"
"ENSMUSG00000004347.17"	"Promoter (<=1kb)"	"z-dna"	"Pde1c"
"ENSMUSG00000004383.18"	"Promoter (<=1kb)"	"z-dna"	"Large1"
"ENSMUSG00000004415.15"	"Promoter (2-3kb)"	"z-dna"	"Col26a1"
"ENSMUSG00000004508.6"	"Promoter (<=1kb)"	"z-dna"	"Gab2"
"ENSMUSG00000004562.16"	"Promoter (<=1kb)"	"z-dna"	"Arhgef40"
"ENSMUSG00000004631.15"	"Promoter (<=1kb)"	"z-dna"	"Sgce"
"ENSMUSG00000004633.17"	"Promoter (<=1kb)"	"z-dna"	"Chn2"
"ENSMUSG00000004698.11"	"Promoter (2-3kb)"	"z-dna"	"Hdac9"
"ENSMUSG00000004788.11"	"Promoter (2-3kb)"	"z-dna"	"Eif2b2"
"ENSMUSG00000004864.13"	"Promoter (<=1kb)"	"z-dna"	"Mapk13"
"ENSMUSG00000004891.16"	"Promoter (<=1kb)"	"z-dna"	"Nes"
"ENSMUSG00000004892.13"	"Promoter (<=1kb)"	"z-dna"	"Bcan"
"ENSMUSG00000004894.10"	"Promoter (<=1kb)"	"z-dna"	"Hapln2"
"ENSMUSG00000004929.12"	"Promoter (1-2kb)"	"z-dna"	"Thop1"
"ENSMUSG00000004931.11"	"Promoter (<=1kb)"	"z-dna"	"Apba3"
"ENSMUSG00000004961.7"	"Promoter (<=1kb)"	"z-dna"	"Syt5"
"ENSMUSG00000005045.16"	"Promoter (<=1kb)"	"z-dna"	"Chd5"
"ENSMUSG00000005057.13"	"Promoter (<=1kb)"	"z-dna"	"Sh2b2"
"ENSMUSG00000005089.15"	"Promoter (<=1kb)"	"z-dna"	"Slc1a2"
"ENSMUSG00000005125.13"	"Promoter (<=1kb)"	"z-dna"	"Ndrg1"
"ENSMUSG00000005148.8"	"Promoter (<=1kb)"	"z-dna"	"Klf5"
"ENSMUSG00000005220.10"	"Promoter (<=1kb)"	"z-dna"	"Corin"
"ENSMUSG00000005237.14"	"Promoter (1-2kb)"	"z-dna"	"Dnah2"
"ENSMUSG00000005251.15"	"Promoter (<=1kb)"	"z-dna"	"Ripk4"
"ENSMUSG00000005320.9"	"Promoter (<=1kb)"	"z-dna"	"Fgfr4"
"ENSMUSG00000005338.13"	"Promoter (<=1kb)"	"z-dna"	"Cadm3"
"ENSMUSG00000005357.9"	"Promoter (<=1kb)"	"z-dna"	"Slc1a6"
"ENSMUSG00000005373.13"	"Promoter (<=1kb)"	"z-dna"	"Mlxipl"
"ENSMUSG00000005533.10"	"Promoter (1-2kb)"	"z-dna"	"Igf1r"
"ENSMUSG00000005580.11"	"Promoter (<=1kb)"	"z-dna"	"Adcy9"
"ENSMUSG00000005611.15"	"Promoter (<=1kb)"	"z-dna"	"Mrvi1"
"ENSMUSG00000005672.12"	"Promoter (<=1kb)"	"z-dna"	"Kit"
"ENSMUSG00000005716.16"	"Promoter (<=1kb)"	"z-dna"	"Pvalb"
"ENSMUSG00000005836.10"	"Promoter (<=1kb)"	"z-dna"	"Gata6"
"ENSMUSG00000005907.14"	"Promoter (2-3kb)"	"z-dna"	"Pex1"
"ENSMUSG00000005917.15"	"Promoter (<=1kb)"	"z-dna"	"Otx1"
"ENSMUSG00000005950.14"	"Promoter (<=1kb)"	"z-dna"	"P2rx5"
"ENSMUSG00000005958.15"	"Promoter (<=1kb)"	"z-dna"	"Ephb3"
"ENSMUSG00000006205.13"	"Promoter (<=1kb)"	"z-dna"	"Htra1"
"ENSMUSG00000006219.12"	"Promoter (<=1kb)"	"z-dna"	"Fblim1"
"ENSMUSG00000006270.7"	"Promoter (<=1kb)"	"z-dna"	"Vax1"
"ENSMUSG00000006356.10"	"Promoter (<=1kb)"	"z-dna"	"Crip2"
"ENSMUSG00000006435.16"	"Promoter (<=1kb)"	"z-dna"	"Neurl1a"
"ENSMUSG00000006445.3"	"Promoter (<=1kb)"	"z-dna"	"Epha2"
"ENSMUSG00000006538.12"	"Promoter (<=1kb)"	"z-dna"	"Ihh"
"ENSMUSG00000006546.3"	"Promoter (<=1kb)"	"z-dna"	"Cryba2"
"ENSMUSG00000006567.11"	"Promoter (<=1kb)"	"z-dna"	"Atp7b"
"ENSMUSG00000006576.16"	"Promoter (<=1kb)"	"z-dna"	"Slc4a3"
"ENSMUSG00000006586.15"	"Promoter (<=1kb)"	"z-dna"	"Runx1t1"
"ENSMUSG00000006587.6"	"Promoter (<=1kb)"	"z-dna"	"Snai3"
"ENSMUSG00000006642.3"	"Promoter (<=1kb)"	"z-dna"	"Tcf23"
"ENSMUSG00000006651.8"	"Promoter (<=1kb)"	"z-dna"	"Aplp1"
"ENSMUSG00000006705.13"	"Promoter (2-3kb)"	"z-dna"	"Pknox1"
"ENSMUSG00000006800.14"	"Promoter (<=1kb)"	"z-dna"	"Sulf2"
"ENSMUSG00000006930.15"	"Promoter (<=1kb)"	"z-dna"	"Hap1"
"ENSMUSG00000006931.15"	"Promoter (<=1kb)"	"z-dna"	"P3h4"
"ENSMUSG00000007021.5"	"Promoter (<=1kb)"	"z-dna"	"Syngr3"
"ENSMUSG00000007279.14"	"Promoter (<=1kb)"	"z-dna"	"Scube2"
"ENSMUSG00000007379.15"	"Promoter (<=1kb)"	"z-dna"	"Dennd2c"
"ENSMUSG00000007440.10"	"Promoter (1-2kb)"	"z-dna"	"Pcdha11"
"ENSMUSG00000007594.10"	"Promoter (<=1kb)"	"z-dna"	"Hapln4"
"ENSMUSG00000007610.15"	"Promoter (<=1kb)"	"z-dna"	"Gtpbp3"
"ENSMUSG00000007613.15"	"Promoter (<=1kb)"	"z-dna"	"Tgfbr1"
"ENSMUSG00000007653.12"	"Promoter (<=1kb)"	"z-dna"	"Gabrb2"
"ENSMUSG00000007655.16"	"Promoter (<=1kb)"	"z-dna"	"Cav1"
"ENSMUSG00000007805.4"	"Promoter (<=1kb)"	"z-dna"	"Twist2"
"ENSMUSG00000007888.15"	"Promoter (<=1kb)"	"z-dna"	"Crlf1"
"ENSMUSG00000007946.11"	"Promoter (<=1kb)"	"z-dna"	"Phox2a"
"ENSMUSG00000007989.7"	"Promoter (<=1kb)"	"z-dna"	"Fzd3"
"ENSMUSG00000008036.11"	"Promoter (2-3kb)"	"z-dna"	"Ap2s1"
"ENSMUSG00000008090.14"	"Promoter (<=1kb)"	"z-dna"	"Fgfrl1"
"ENSMUSG00000008136.14"	"Promoter (<=1kb)"	"z-dna"	"Fhl2"
"ENSMUSG00000008140.18"	"Promoter (<=1kb)"	"z-dna"	"Emc10"
"ENSMUSG00000008305.18"	"Promoter (<=1kb)"	"z-dna"	"Tle1"
"ENSMUSG00000008489.18"	"Promoter (<=1kb)"	"z-dna"	"Elavl2"
"ENSMUSG00000008496.19"	"Promoter (<=1kb)"	"z-dna"	"Pou2f2"
"ENSMUSG00000008575.17"	"Promoter (<=1kb)"	"z-dna"	"Nfib"
"ENSMUSG00000008658.16"	"Promoter (<=1kb)"	"z-dna"	"Rbfox1"
"ENSMUSG00000008734.9"	"Promoter (1-2kb)"	"z-dna"	"Gprc5b"
"ENSMUSG00000008999.7"	"Promoter (1-2kb)"	"z-dna"	"Bmp7"
"ENSMUSG00000009075.2"	"Promoter (<=1kb)"	"z-dna"	"Cabp7"
"ENSMUSG00000009097.10"	"Promoter (1-2kb)"	"z-dna"	"Tbx1"
"ENSMUSG00000009210.10"	"Promoter (<=1kb)"	"z-dna"	"Prr29"
"ENSMUSG00000009216.7"	"Promoter (<=1kb)"	"z-dna"	"Fam163b"
"ENSMUSG00000009248.6"	"Promoter (1-2kb)"	"z-dna"	"Ascl2"
"ENSMUSG00000009292.18"	"Promoter (<=1kb)"	"z-dna"	"Trpm2"
"ENSMUSG00000009376.15"	"Promoter (<=1kb)"	"z-dna"	"Met"
"ENSMUSG00000009378.4"	"Promoter (<=1kb)"	"z-dna"	"Slc16a12"
"ENSMUSG00000009394.13"	"Promoter (<=1kb)"	"z-dna"	"Syn2"
"ENSMUSG00000009418.16"	"Promoter (<=1kb)"	"z-dna"	"Nav1"
"ENSMUSG00000009471.4"	"Promoter (<=1kb)"	"z-dna"	"Myod1"
"ENSMUSG00000009545.14"	"Promoter (<=1kb)"	"z-dna"	"Kcnq1"
"ENSMUSG00000009569.14"	"Promoter (<=1kb)"	"z-dna"	"Mrtfb"
"ENSMUSG00000009596.9"	"Promoter (<=1kb)"	"z-dna"	"Taf7l"
"ENSMUSG00000009681.10"	"Promoter (<=1kb)"	"z-dna"	"Bcr"
"ENSMUSG00000009739.17"	"Promoter (2-3kb)"	"z-dna"	"Pou6f1"
"ENSMUSG00000009828.15"	"Promoter (<=1kb)"	"z-dna"	"Cilk1"
"ENSMUSG00000009876.13"	"Promoter (<=1kb)"	"z-dna"	"Cox4i2"
"ENSMUSG00000009900.7"	"Promoter (1-2kb)"	"z-dna"	"Wnt3a"
"ENSMUSG00000010064.15"	"Promoter (<=1kb)"	"z-dna"	"Slc38a3"
"ENSMUSG00000010066.15"	"Promoter (<=1kb)"	"z-dna"	"Cacna2d2"
"ENSMUSG00000010067.13"	"Promoter (<=1kb)"	"z-dna"	"Rassf1"
"ENSMUSG00000010080.15"	"Promoter (<=1kb)"	"z-dna"	"Epn3"
"ENSMUSG00000010122.14"	"Promoter (<=1kb)"	"z-dna"	"Slc47a1"
"ENSMUSG00000010154.7"	"Promoter (<=1kb)"	"z-dna"	"Spire2"
"ENSMUSG00000010175.13"	"Promoter (<=1kb)"	"z-dna"	"Prox1"
"ENSMUSG00000010311.15"	"Promoter (<=1kb)"	"z-dna"	"Optc"
"ENSMUSG00000010461.15"	"Promoter (1-2kb)"	"z-dna"	"Eya4"
"ENSMUSG00000010476.14"	"Promoter (<=1kb)"	"z-dna"	"Ebf3"
"ENSMUSG00000010529.6"	"Promoter (<=1kb)"	"z-dna"	"Gm266"
"ENSMUSG00000010592.9"	"Promoter (<=1kb)"	"z-dna"	"Dazl"
"ENSMUSG00000010796.11"	"Promoter (<=1kb)"	"z-dna"	"Asz1"
"ENSMUSG00000010797.6"	"Promoter (<=1kb)"	"z-dna"	"Wnt2"
"ENSMUSG00000010803.13"	"Promoter (<=1kb)"	"z-dna"	"Gabra1"
"ENSMUSG00000010825.17"	"Promoter (<=1kb)"	"z-dna"	"Grid2ip"
"ENSMUSG00000010830.8"	"Promoter (<=1kb)"	"z-dna"	"Kdelr3"
"ENSMUSG00000011034.6"	"Promoter (<=1kb)"	"z-dna"	"Slc5a1"
"ENSMUSG00000011350.15"	"Promoter (2-3kb)"	"z-dna"	"Gm5893"
"ENSMUSG00000011589.9"	"Promoter (<=1kb)"	"z-dna"	"Fsd1"
"ENSMUSG00000011751.16"	"Promoter (<=1kb)"	"z-dna"	"Sptbn4"
"ENSMUSG00000012017.4"	"Promoter (<=1kb)"	"z-dna"	"Scarf2"
"ENSMUSG00000012123.17"	"Promoter (<=1kb)"	"z-dna"	"Crybg2"
"ENSMUSG00000012520.10"	"Promoter (2-3kb)"	"z-dna"	"Phox2b"
"ENSMUSG00000012819.15"	"Promoter (1-2kb)"	"z-dna"	"Cdh23"
"ENSMUSG00000013033.16"	"Promoter (<=1kb)"	"z-dna"	"Adgrl1"
"ENSMUSG00000013076.17"	"Promoter (<=1kb)"	"z-dna"	"Amotl1"
"ENSMUSG00000013158.6"	"Promoter (1-2kb)"	"z-dna"	"4933405L10Rik"
"ENSMUSG00000013236.17"	"Promoter (<=1kb)"	"z-dna"	"Ptprs"
"ENSMUSG00000013367.5"	"Promoter (1-2kb)"	"z-dna"	"Iglon5"
"ENSMUSG00000013418.8"	"Promoter (<=1kb)"	"z-dna"	"B4galnt2"
"ENSMUSG00000013419.7"	"Promoter (1-2kb)"	"z-dna"	"Zfp651"
"ENSMUSG00000013483.14"	"Promoter (1-2kb)"	"z-dna"	"Card14"
"ENSMUSG00000013584.5"	"Promoter (<=1kb)"	"z-dna"	"Aldh1a2"
"ENSMUSG00000013611.14"	"Promoter (<=1kb)"	"z-dna"	"Snx31"
"ENSMUSG00000013833.15"	"Promoter (<=1kb)"	"z-dna"	"Med16"
"ENSMUSG00000014158.12"	"Promoter (<=1kb)"	"z-dna"	"Trpv4"
"ENSMUSG00000014303.13"	"Promoter (<=1kb)"	"z-dna"	"Glis2"
"ENSMUSG00000014329.14"	"Promoter (<=1kb)"	"z-dna"	"Bicc1"
"ENSMUSG00000014361.5"	"Promoter (<=1kb)"	"z-dna"	"Mertk"
"ENSMUSG00000014592.21"	"Promoter (<=1kb)"	"z-dna"	"Camta1"
"ENSMUSG00000014602.15"	"Promoter (2-3kb)"	"z-dna"	"Kif1a"
"ENSMUSG00000014603.3"	"Promoter (<=1kb)"	"z-dna"	"Alx3"
"ENSMUSG00000014704.10"	"Promoter (<=1kb)"	"z-dna"	"Hoxa2"
"ENSMUSG00000014773.13"	"Promoter (<=1kb)"	"z-dna"	"Dll1"
"ENSMUSG00000014776.7"	"Promoter (<=1kb)"	"z-dna"	"Nol3"
"ENSMUSG00000014782.16"	"Promoter (<=1kb)"	"z-dna"	"Plekhg4"
"ENSMUSG00000015002.18"	"Promoter (1-2kb)"	"z-dna"	"Efr3a"
"ENSMUSG00000015053.14"	"Promoter (<=1kb)"	"z-dna"	"Gata2"
"ENSMUSG00000015085.8"	"Promoter (<=1kb)"	"z-dna"	"Entpd2"
"ENSMUSG00000015094.16"	"Promoter (<=1kb)"	"z-dna"	"Npdc1"
"ENSMUSG00000015143.15"	"Promoter (<=1kb)"	"z-dna"	"Actn1"
"ENSMUSG00000015202.13"	"Promoter (<=1kb)"	"z-dna"	"Cnksr3"
"ENSMUSG00000015214.14"	"Promoter (2-3kb)"	"z-dna"	"Mtmr1"
"ENSMUSG00000015222.18"	"Promoter (<=1kb)"	"z-dna"	"Map2"
"ENSMUSG00000015305.6"	"Promoter (<=1kb)"	"z-dna"	"Sash1"
"ENSMUSG00000015354.8"	"Promoter (<=1kb)"	"z-dna"	"Pcolce2"
"ENSMUSG00000015476.6"	"Promoter (<=1kb)"	"z-dna"	"Prrt1"
"ENSMUSG00000015568.16"	"Promoter (<=1kb)"	"z-dna"	"Lpl"
"ENSMUSG00000015579.5"	"Promoter (2-3kb)"	"z-dna"	"Nkx2-5"
"ENSMUSG00000015597.17"	"Promoter (<=1kb)"	"z-dna"	"Zfp318"
"ENSMUSG00000015647.9"	"Promoter (<=1kb)"	"z-dna"	"Lama5"
"ENSMUSG00000015652.9"	"Promoter (<=1kb)"	"z-dna"	"Steap1"
"ENSMUSG00000015653.13"	"Promoter (<=1kb)"	"z-dna"	"Steap2"
"ENSMUSG00000015709.9"	"Promoter (<=1kb)"	"z-dna"	"Arnt2"
"ENSMUSG00000015846.15"	"Promoter (<=1kb)"	"z-dna"	"Rxra"
"ENSMUSG00000015957.12"	"Promoter (<=1kb)"	"z-dna"	"Wnt11"
"ENSMUSG00000015968.18"	"Promoter (<=1kb)"	"z-dna"	"Cacna1d"
"ENSMUSG00000015970.19"	"Promoter (<=1kb)"	"z-dna"	"Chdh"
"ENSMUSG00000015981.12"	"Promoter (<=1kb)"	"z-dna"	"Stk32c"
"ENSMUSG00000016028.11"	"Promoter (2-3kb)"	"z-dna"	"Celsr1"
"ENSMUSG00000016128.14"	"Promoter (<=1kb)"	"z-dna"	"Stard13"
