group	coordinates	miRNA (+ strand)	miRNA (- strand)	miRNA (intersection)	annotation	gene_info	cCRE (+-200bp slop)	LINE/LTR repeats (+-200bp slop)
sidd	chr10:102694854-102694993	miR-142, miR-340	miR-296, miR-495		Downstream (<=300bp)	Gm47142 (-)		LINE@Lx3_Mus (-)
sidd	chr10:102764882-102765038	miR-185, miR-203a (2), miR-33	miR-425		Distal Intergenic	Gm5175 (+)		LINE@Lx (+), LINE@L3b (-)
sidd	chr10:102780983-102781206	miR-193, miR-376c, miR-494	miR-203a, miR-382, miR-411, miR-499, miR-582		Distal Intergenic	Gm5175 (+)		LTR@MURVY-LTR (+)
sidd	chr10:102973148-102973285	miR-452, miR-543			Distal Intergenic	Alx1 (-)		LINE@Lx2 (-)
sidd	chr10:103412216-103412356		miR-361		Intron	Gm8768 (+)		LINE@L1_Mus4 (-), LINE@L1_Mus4 (+)
sidd	chr10:103519118-103519264	miR-374, miR-382, miR-582	miR-154, miR-374, miR-495, miR-539	miR-374	Intron	Gm47221 (+)		LINE@L1Md_A (-)
sidd	chr10:103742457-103742617	miR-493	miR-203a		Distal Intergenic	Gm47224 (-)		LINE@L1Md_A (-)
sidd	chr10:103796615-103796769	miR-203a, miR-670	miR-203a (2), miR-452	miR-203a	Distal Intergenic	Gm47224 (-)		LINE@L1Md_F2 (+), LINE@L1_Mus2 (-)
sidd	chr10:103824098-103824231	miR-378a			Distal Intergenic	Gm47224 (-)		LINE@L1_Mus3 (+), LINE@Lx3B (+)
sidd	chr10:103891292-103891449	miR-129, miR-141/200a, miR-146, miR-452	miR-130/301/454, miR-186, miR-19, miR-490		Promoter (2-3kb)	Gm47225 (+)		LINE@Lx3_Mus (-)
sidd	chr10:103930905-103931118	miR-340, miR-361, miR-374, miR-543	miR-374, miR-382	miR-374	Distal Intergenic	Gm25143 (+)		LINE@Lx (-)
sidd	chr10:104089972-104090157	miR-448 (2)	miR-1/206, miR-153, miR-186 (2), miR-203a, miR-374		Distal Intergenic	Gm47228 (-)		LTR@MLT1A1 (+), LINE@L1Md_F3 (-)
sidd	chr10:104354367-104354496	miR-203a (2)			Distal Intergenic	Mir6411 (+)		LINE@L1_Mur3 (+), LINE@Lx (+), LINE@Lx5c (+)
sidd	chr10:104377497-104377650	miR-296, miR-361	miR-340, miR-421, miR-495 (2)		Distal Intergenic	Mir6411 (+)		LINE@Lx (-), LINE@L1_Mur2 (-)
sidd	chr10:104418804-104418965	miR-142, miR-203a (2), miR-873			Distal Intergenic	Gm22945 (-)		LINE@L1_Mus4 (+), LTR@MYSERV-int (-)
sidd	chr10:104474597-104474733	miR-27, miR-455	miR-186, miR-203a, miR-378a		Distal Intergenic	Gm22945 (-)		LTR@BGLII (+), LINE@Lx3B (-)
sidd	chr10:104554359-104554519	miR-670	miR-137, miR-203a, miR-340		Distal Intergenic	Gm22945 (-)		LTR@MTA_Mm (-), LTR@MTA_Mm (-), LINE@L1Md_F2 (-)
sidd	chr10:104639562-104639735	miR-376ab			Distal Intergenic	Gm22945 (-)		LINE@L1Md_F2 (-), LINE@Lx6 (+), LINE@Lx6 (+)
sidd	chr10:104641771-104641909	miR-18, miR-27	miR-186, miR-200bc/429		Distal Intergenic	Gm22945 (-)		LINE@L1_Mus3 (-), LINE@L1_Mus1 (-)
sidd	chr10:104683517-104683674	miR-329/362	miR-125		Distal Intergenic	Gm25522 (-)		LINE@Lx2B2 (-), LINE@Lx2B2 (-), LINE@L1MA8 (+)
sidd	chr10:10481199-10481337		miR-410		Distal Intergenic	Adgb (-)		LTR@RLTR44B (+), LINE@L1MEc (+)
sidd	chr10:104948514-104948647	miR-204/211	miR-203a (2)		Distal Intergenic	Gm48184 (-)		LINE@Lx2 (-)
sidd	chr10:104959093-104959241	miR-340	miR-129, miR-494		Distal Intergenic	Gm25587 (+)		LINE@L1_Mus2 (+)
sidd	chr10:104974124-104974359	miR-27, miR-448, miR-455	miR-137, miR-203a, miR-374		Distal Intergenic	Gm25587 (+)		LINE@L1_Mus3 (-)
sidd	chr10:105002035-105002183	miR-192/215, miR-374	miR-27, miR-488, miR-582, miR-653		Distal Intergenic	Gm25587 (+)		LINE@L1_Mus1 (-)
sidd	chr10:105092880-105092996		miR-181		Distal Intergenic	Gm25422 (-)		LTR@LTRIS_Mm (-)
sidd	chr10:105197605-105197747	miR-203a (2), miR-495 (2), miR-504	miR-302abd		Promoter (1-2kb)	Tmtc2 (-)		LINE@L1_Mus2 (+), LINE@Lx8b (-)
sidd	chr10:105238567-105238773	miR-30, miR-409, miR-448	miR-124, miR-128, miR-199		Intron	Tmtc2 (-)		
sidd	chr10:105339494-105339627		miR-23		Promoter (<=1kb)	Gm48206 (+)		LINE@L1_Mus4 (+)
sidd	chr10:105508251-105508402	miR-199, miR-200bc/429, miR-495 (2)	miR-141/200a, miR-299		Promoter (<=1kb)	Gm15666 (-)	pELS@EM10E0487266, pELS@EM10E0487267	LTR@ORR1A2 (-), LTR@ORR1A2 (-)
sidd	chr10:105654834-105654978	miR-216a	miR-101, miR-216b, miR-365, miR-489		Distal Intergenic	Gm15663 (+)		LTR@MTB (-), LINE@L1_Mus3 (+)
sidd	chr10:105929911-105930035		miR-203a (2), miR-340		Promoter (<=1kb)	Gm24237 (-)		LTR@MTEb (-), LINE@L1_Mus1 (-)
sidd	chr10:105945065-105945212	miR-374, miR-543	miR-186, miR-203a (2), miR-30		Distal Intergenic	Gm24237 (-)		LINE@L1M5 (+), LINE@L1_Mus2 (-)
sidd	chr10:106119975-106120134	miR-140			Distal Intergenic	Gm48363 (+)		LINE@Lx8 (-), LTR@ORR1A2 (+), LINE@L1Md_F2 (+)
sidd	chr10:10612194-10612422		miR-145, miR-203a (2)		Promoter (<=1kb)	Gm5177 (+)		LTR@MTEa (-), LINE@L1_Mus1 (-)
sidd	chr10:106127443-106127576	miR-186 (2), miR-203a (2), miR-365	miR-188, miR-204/211, miR-325, miR-670		Distal Intergenic	Gm48376 (-)		LINE@Lx (+), LTR@MTD (+)
sidd	chr10:106139969-106140094	miR-124, miR-153, miR-495	miR-33, miR-452		Distal Intergenic	Gm48376 (-)		LINE@Lx3_Mus (+), LINE@L2a (-)
sidd	chr10:106257606-106257765	miR-214	miR-122, miR-325		Distal Intergenic	Rps15a-ps1 (-)		LINE@L1MB8 (+), LINE@Lx3A (-)
sidd	chr10:10633657-10633788	miR-23	miR-203a (2), miR-216b, miR-532		Distal Intergenic	Gm5177 (+)		LTR@MTEa (+), LINE@L1_Mus1 (-), LTR@MTEa (+)
sidd	chr10:106434664-106434840	miR-151a	miR-143, miR-203a, miR-544a, miR-96/1271		Distal Intergenic	Gm48380 (+)		
sidd	chr10:106435048-106435222	miR-369, miR-374, miR-655	miR-670		Distal Intergenic	Gm48380 (+)		
sidd	chr10:107063478-107063660	miR-203a (2), miR-488			Promoter (1-2kb)	Gm19181 (-)		LINE@L1_Mus3 (+)
sidd	chr10:10726468-10726635	miR-495 (2)	miR-188, miR-204/211		Intron	Gm48400 (+)		LINE@Lx2 (+)
sidd	chr10:107554430-107554539	miR-203a (2)			Intron	Myf6 (-)		LINE@L1_Mus1 (+), LINE@L1Md_T (-)
sidd	chr10:107693407-107693522	miR-203a (2)			Intron	Ptprq (-)		LINE@Lx (-), LINE@L1_Mus2 (+), LINE@Lx (+), LINE@L1_Mus1 (+)
sidd	chr10:107727272-107727422	miR-325	miR-124, miR-185, miR-203a (2)		Distal Intergenic	Ptprq (-)		LTR@RMER2 (-), LTR@RMER4A (+), LINE@Lx (-)
sidd	chr10:108020664-108020834	miR-216b, miR-875	miR-142, miR-146, miR-216b	miR-216b	Distal Intergenic	Gm29685 (+)		LTR@ORR1A4 (-), LINE@L1_Mur3 (-)
sidd	chr10:108031434-108031559	miR-203a (2)	miR-23, miR-409		Distal Intergenic	Gm29685 (+)		LINE@L1_Mus4 (+)
sidd	chr10:108415675-108415827		miR-330		Promoter (1-2kb)	Gm36283 (+)	DNase-H3K4me3@EM10E0487608	LTR@ORR1A2 (+)
sidd	chr10:109195923-109196081		miR-203a, miR-491		Distal Intergenic	Gm22097 (-)		LINE@L1Md_F (-), LINE@L1Md_F2 (-)
sidd	chr10:109237614-109237739	miR-186, miR-203a (2)			Distal Intergenic	Gm44495 (-)		LINE@L1_Mus4 (+)
sidd	chr10:109537902-109538041	miR-203a (2)			Distal Intergenic	3110043J17Rik (+)		LINE@L1_Mus1 (+), LINE@Lx9 (+)
sidd	chr10:109739240-109739461	miR-142, miR-216b, miR-340	miR-216a, miR-296, miR-653, miR-655		Intron	Nav3 (-)		LTR@MTC (+)
sidd	chr10:10992446-10992559	miR-532	miR-203a (2)		Intron	Gm48406 (+)		LINE@L1_Mus1 (-)
sidd	chr10:110066085-110066257	miR-361	miR-33, miR-483		Intron	Gm47337 (+)		LINE@Lx7 (-), LINE@Lx (+)
sidd	chr10:110066546-110066701	miR-203a (2)			Intron	Gm47337 (+)		LINE@Lx (+)
sidd	chr10:110075871-110076015	miR-186, miR-203a (2)			Promoter (2-3kb)	Gm47337 (+)		LINE@L1_Mus4 (+)
sidd	chr10:110236174-110236320	miR-369, miR-374, miR-381, miR-452, miR-655	miR-374	miR-374	Intron	Gm47340 (-)		
sidd	chr10:110710738-110710880	miR-299	miR-218, miR-758		Distal Intergenic	E2f7 (+)		LINE@Lx (+), LINE@Lx (+), LINE@Lx (+), LTR@MTE2a (-)
sidd	chr10:110873729-110873882	miR-203a (2)			Intron	Gm22186 (-)		LINE@L1_Mus3 (+), LTR@ORR1D2 (-)
sidd	chr10:110881697-110881828	miR-423	miR-124, miR-186, miR-203a (2)		Intron	Gm22186 (-)		LINE@Lx4A (+), LINE@L1_Mus2 (-), LINE@L1_Mus2 (+)
sidd	chr10:111077513-111077717	miR-130/301/454, miR-17/20/93/106/519d	miR-129, miR-190		Distal Intergenic	Gm48851 (-)		LTR@RMER4B (-), LTR@LTR40a (-)
sidd	chr10:11128375-11128579	miR-203a (2)			Distal Intergenic	Shprh (+)		LINE@L1_Mus2 (+), LTR@RLTR11A (+)
sidd	chr10:111342638-111342783	miR-153			Intron	Gm40761 (+)		LTR@MTC (-), LTR@MLT2C1 (-)
sidd	chr10:111418813-111418947	miR-96/1271			Distal Intergenic	Nap1l1 (+)		LINE@L1_Mus2 (+), LTR@MLT1J (+)
sidd	chr10:111440438-111440660	miR-141/200a, miR-153	miR-155, miR-544a, miR-653		Distal Intergenic	Nap1l1 (+)		LTR@ORR1A2 (+)
sidd	chr10:111444742-111444875	miR-219	miR-499		Distal Intergenic	Nap1l1 (+)		LTR@ORR1A2 (-)
sidd	chr10:111531870-111531976	miR-361, miR-448	miR-190		Distal Intergenic	Phlda1 (+)		LTR@MTC (-)
sidd	chr10:111705206-111705400	miR-205, miR-433, miR-544a	miR-410		Distal Intergenic	Gm30624 (+)		LTR@MTB (-)
sidd	chr10:112113685-112113821	miR-150, miR-17/20/93/106/519d, miR-670 (2)	miR-203a		Distal Intergenic	Gm15914 (-)		LINE@L1_Mus2 (-), LINE@L1Md_F2 (-)
sidd	chr10:112376278-112376389	miR-142, miR-193, miR-203a (2), miR-488, miR-493	miR-493	miR-493	Intron	Kcnc2 (+)		LINE@L1_Mus1 (+), LINE@L1_Mus3 (+)
sidd	chr10:112558175-112558282	miR-203a (2), miR-219	miR-365		Distal Intergenic	Kcnc2 (+)		LINE@Lx (+)
sidd	chr10:112689182-112689365	miR-185, miR-381, miR-409	miR-1193, miR-137, miR-216b		Promoter (2-3kb)	Gm47492 (+)		LTR@MTC (+)
sidd	chr10:112705846-112705972	miR-203a, miR-216a, miR-381			Distal Intergenic	Gm47492 (+)		LINE@MusHAL1 (+), LINE@L1Md_T (+)
sidd	chr10:112707824-112707956	miR-203a (2), miR-21/590			Distal Intergenic	Gm47492 (+)		LINE@L1_Mus4 (+)
sidd	chr10:112750758-112750896	miR-203a			Intron	1700010J16Rik (+)		LINE@L1_Mus4 (+), LINE@L1Md_F2 (-)
sidd	chr10:112828936-112829069	miR-142 (2)	miR-103/107, miR-15/16/195/424/497		Distal Intergenic	Gm3942 (+)		LINE@L1_Mus2 (+), LTR@RLTR11A (+)
sidd	chr10:112919593-112919731	miR-203a (2), miR-433	miR-433	miR-433	Distal Intergenic	Gm26596 (+)		LINE@L1Md_F2 (+)
sidd	chr10:112982516-112982673	miR-129, miR-205, miR-9	miR-142, miR-494		Distal Intergenic	Gm47519 (+)		LINE@Lx2 (+)
sidd	chr10:113093641-113093759	miR-452	miR-134, miR-203a (2)		Distal Intergenic	Gm47524 (+)		LINE@Lx (-)
sidd	chr10:113123625-113123841	miR-129	miR-203a (2), miR-340		Distal Intergenic	Gm47524 (+)		LINE@L1Md_F3 (+), LINE@L1_Mus1 (-)
sidd	chr10:113533755-113533932	miR-410, miR-495	miR-203a (2)		Distal Intergenic	Gm47534 (+)		LINE@L2b (+), LINE@L1_Mus1 (-)
sidd	chr10:113559701-113559927		miR-155, miR-182, miR-23, miR-340, miR-582, miR-653		Promoter (2-3kb)	Gm40765 (-)		LTR@IAPEY2_LTR (+), LINE@L1Md_F2 (+)
sidd	chr10:11376986-11377139	miR-186, miR-496	miR-203a (2), miR-582, miR-875		Intron	Rpl17-ps11 (-)		LINE@L1Md_T (-), LINE@L1M2 (-), LINE@Lx (-)
sidd	chr10:113916479-113916675	miR-203a	miR-1/206, miR-30, miR-495 (2), miR-544a		Distal Intergenic	Gm38333 (+)		
sidd	chr10:113918847-113919008	miR-155, miR-330, miR-369, miR-381, miR-655, miR-668	miR-302abd, miR-302c		Distal Intergenic	Gm38333 (+)		LTR@RLTR10D2 (-)
sidd	chr10:114126695-114126868	miR-128, miR-27, miR-410, miR-655	miR-142, miR-340, miR-374 (2), miR-655	miR-655	Distal Intergenic	Gm48104 (+)		LTR@RLTR10D (+)
sidd	chr10:114244783-114244975		miR-374 (2), miR-486		Distal Intergenic	Gm38281 (+)		LTR@MTA_Mm (-)
sidd	chr10:114610690-114610845	miR-135, miR-216a, miR-302c	miR-129, miR-330		Intron	4930473D10Rik (+)		LINE@Lx5 (+), LINE@Lx3B (-), LINE@Lx3B (+)
sidd	chr10:114762100-114762196	miR-374			Intron	4930473D10Rik (+)		LINE@Lx (+)
sidd	chr10:114824874-114825028	miR-103/107, miR-142			Distal Intergenic	Trhde (-)		LINE@Lx9 (+), LINE@Lx2 (+), LINE@Lx9 (+)
sidd	chr10:114830004-114830172	miR-216a, miR-302c	miR-153, miR-217, miR-330		Distal Intergenic	Trhde (-)		LINE@L1ME2 (-)
sidd	chr10:11488148-11488359	miR-181, miR-186, miR-199	miR-28/708, miR-448, miR-539		Distal Intergenic	Gm48679 (+)		LTR@MMERVK10C-int (-)
sidd	chr10:11491656-11491841	miR-142, miR-382, miR-495, miR-653			Distal Intergenic	Gm48679 (+)		LTR@MMERVK10C-int (-), LTR@MMERVK10C-int (-)
sidd	chr10:114988429-114988562		miR-203a (2)		Promoter (2-3kb)	Gm22070 (+)	dELS@EM10E0488451	LINE@L1_Mus4 (-)
sidd	chr10:115099245-115099407	miR-129, miR-154, miR-411, miR-539	miR-101, miR-194, miR-488		Intron	Tph2 (-)	dELS@EM10E0488463	LINE@Lx3C (+)
sidd	chr10:115586688-115586793	miR-199	miR-122, miR-216b		Promoter (<=1kb)	Lgr5 (-)	pELS@EM10E0488593, pELS@EM10E0488594, pELS@EM10E0488595	
sidd	chr10:115605161-115605304	miR-495	miR-122, miR-34/449		Distal Intergenic	Gm8960 (-)		LTR@MTC (-), LINE@L2a (-), LINE@Lx4A (-)
sidd	chr10:116080701-116080877	miR-136, miR-483	miR-186, miR-216b		Intron	Taf7l2 (-)		LINE@Lx8 (-), LTR@ORR1A2 (-)
sidd	chr10:11622992-11623107		miR-28/708, miR-346		Distal Intergenic	Gm9797 (+)		LINE@L1Md_F2 (+), LINE@L1Md_T (+)
sidd	chr10:116474584-116474746	miR-142, miR-146, miR-382, miR-452	miR-485, miR-493		Promoter (<=1kb)	Kcnmb4os2 (+)	pELS (CTCF-bound)@EM10E0488749, pELS@EM10E0488750	
sidd	chr10:116734284-116734381	miR-330, miR-495			Intron	4930579P08Rik (+)		
sidd	chr10:116734669-116734895	miR-218, miR-27, miR-30, miR-496	miR-124, miR-376c, miR-411		Intron	4930579P08Rik (+)		
sidd	chr10:11683414-11683529	miR-142, miR-340	miR-15/16/195/424/497		Distal Intergenic	Gm22546 (+)		LTR@MMERVK10D3_I-int (-)
sidd	chr10:11689329-11689520	miR-1/206, miR-299, miR-409, miR-483 (2), miR-582	miR-185, miR-186		Distal Intergenic	Gm22546 (+)		LTR@RLTR10A (-)
sidd	chr10:116941693-116941850	miR-216b			Intron	4933412E12Rik (+)		LTR@RMER19B (+), LINE@L1MC5a (+)
sidd	chr10:11712724-11712962	miR-132/212	miR-203a (2), miR-30, miR-499		Distal Intergenic	Gm22546 (+)		LTR@MTD (+), LINE@L1_Mus2 (-)
sidd	chr10:117511815-117511998	miR-141/200a, miR-452	miR-374		Distal Intergenic	Gm32235 (+)		LINE@L1M5 (+), LTR@MTE2a (+)
sidd	chr10:117551154-117551294	miR-873	miR-490, miR-9		Distal Intergenic	Gm32235 (+)		LINE@Lx8b (+), LTR@ORR1B1 (-)
sidd	chr10:117560616-117560748	miR-493	miR-122, miR-186		Promoter (1-2kb)	Gm32235 (+)		LINE@Lx3A (-)
sidd	chr10:117972918-117973051	miR-141/200a, miR-223			Distal Intergenic	Gm37852 (+)		LINE@Lx (-)
sidd	chr10:118001167-118001298	miR-325, miR-542	miR-542, miR-758	miR-542	Distal Intergenic	Gm37852 (+)		
sidd	chr10:118098604-118098726	miR-1251	miR-129, miR-27, miR-455		Distal Intergenic	5330439M10Rik (+)		LTR@MTD (+), LTR@RMER19A (-)
sidd	chr10:118252038-118252166	miR-151a, miR-155, miR-483	miR-139, miR-199, miR-325, miR-455, miR-501/502		Promoter (1-2kb)	Gm9030 (+)		LTR@MuRRS-int (-), LTR@MT2C_Mm (+), LTR@LTRIS_Mus (+)
sidd	chr10:118583839-118583971	miR-323a	miR-137		Distal Intergenic	Ifngas1 (-)		LTR@RMER19C (+), LTR@MTC (-)
sidd	chr10:118748787-118748920	miR-142, miR-340	miR-410		Distal Intergenic	Gm47425 (-)		LTR@MTD (-), LTR@ORR1B1 (-)
sidd	chr10:118849412-118849545	miR-122, miR-653	miR-128, miR-129, miR-136, miR-496		Distal Intergenic	4932442E05Rik (+)		LINE@Lx3_Mus (+), LTR@MTEa (-)
sidd	chr10:119314683-119314817	miR-670	miR-216b		Distal Intergenic	4930477N07Rik (+)		LTR@MTC-int (+), LINE@L1_Mus1 (-), LINE@L1Md_F2 (+)
sidd	chr10:119360482-119360609	miR-330	miR-218		Distal Intergenic	Gm19090 (+)		LINE@Lx (+), LTR@MLT1J-int (+)
sidd	chr10:119629576-119629740	miR-101 (2), miR-1251, miR-330, miR-495	miR-296, miR-493		Intron	Gm47027 (-)		
sidd	chr10:120026973-120027108		miR-142, miR-340, miR-496		Intron	Grip1 (+)	dELS@EM10E0489872	LINE@Lx5 (-)
sidd	chr10:120195166-120195286	miR-203a (2), miR-544a			Intron	Irak3 (-)		LINE@L1_Mus3 (+), LINE@L1MC3 (+), LTR@MTB (+)
sidd	chr10:120255251-120255421	miR-539	miR-1197		Distal Intergenic	Gm48115 (+)		LTR@MTC (+)
sidd	chr10:120530250-120530411	miR-383 (2)			Distal Intergenic	Hmga2 (-)		LTR@ORR1A4 (-)
sidd	chr10:121010357-121010470	miR-374			Distal Intergenic	Gm48341 (-)		LTR@MTE-int (-)
sidd	chr10:121023931-121024079	miR-129, miR-186, miR-448 (2), miR-876			Distal Intergenic	Wif1 (+)		
sidd	chr10:121090318-121090428	miR-202	miR-203a (2)		Intron	Wif1 (+)		LINE@Lx (-)
sidd	chr10:121252309-121252440	miR-185, miR-421, miR-505	miR-323a		Distal Intergenic	Gm35404 (+)		LINE@Lx3A (+), LINE@Lx3A (+)
sidd	chr10:121719600-121719754	miR-124, miR-495			Distal Intergenic	Gm35865 (-)		LTR@RLTR31_Mur (-)
sidd	chr10:12179639-12179783		miR-143		Distal Intergenic	Gm48723 (-)		LINE@Lx8b (-), LINE@Lx8b (-)
sidd	chr10:121879551-121879696	miR-142, miR-496	miR-483, miR-495 (2)		Intron	Gm48804 (-)		LTR@RMER17C (+)
sidd	chr10:12240691-12240831		miR-203a		Distal Intergenic	Gm48723 (-)		LINE@L1Md_F2 (+), LINE@L1Md_F2 (-)
sidd	chr10:122473042-122473188	miR-143, miR-185, miR-203a (3), miR-26	miR-216b		Intron	Gm48878 (+)		LINE@L1_Mus3 (+)
sidd	chr10:122610724-122610857	miR-153, miR-338	miR-15/16/195/424/497, miR-155		Distal Intergenic	Mir6412 (+)		LTR@RLTR12BD_Mm (+), LTR@MTB_Mm (-)
sidd	chr10:122740541-122740721	miR-653	miR-128, miR-27, miR-411		Intron	Ppm1h (+)		LTR@MTC (-)
sidd	chr10:123251176-123251372	miR-455	miR-374, miR-378a, miR-411, miR-665		Distal Intergenic	Tafa2 (+)		LINE@Lx3C (-)
sidd	chr10:123257339-123257469	miR-146, miR-217, miR-33, miR-483	miR-665		Distal Intergenic	Tafa2 (+)		LINE@Lx4A (-)
sidd	chr10:123370877-123371006		miR-27		Intron	Gm22958 (+)		LINE@L1_Mus4 (+)
sidd	chr10:12445204-12445331	miR-495			Intron	Gm48798 (-)		LINE@Lx2 (+)
sidd	chr10:124491717-124491836	miR-203a	miR-331		Intron	4930503E24Rik (+)		LINE@Lx (+), LINE@Lx (+)
sidd	chr10:124554359-124554485	miR-539			Distal Intergenic	4930503E24Rik (+)		LINE@L1Md_F2 (+), LTR@MTB_Mm (+)
sidd	chr10:124798932-124799048	miR-203a (2), miR-27, miR-30	miR-203a	miR-203a	Distal Intergenic	Gm47839 (-)		LINE@Lx2 (+), LINE@L1MDa (-), LTR@MTB (+)
sidd	chr10:124901198-124901358	miR-203a (2), miR-383, miR-494	miR-188, miR-204/211, miR-496		Distal Intergenic	Gm47840 (-)		LINE@L1_Mus3 (+)
sidd	chr10:125182368-125182539		miR-146		Distal Intergenic	Slc16a7 (-)		LTR@RLTR45 (+), LTR@MLT2B1 (+), LINE@L1MC3 (+)
sidd	chr10:125235601-125235833	miR-153, miR-539	miR-23, miR-493, miR-760		Intron	Slc16a7 (-)		LINE@Lx5 (+), LINE@L1Md_A (+)
sidd	chr10:125426345-125426457	miR-203a (2), miR-499	miR-325, miR-376ab		Distal Intergenic	Slc16a7 (-)		LINE@Lx2 (+), LINE@L1MA4 (-)
sidd	chr10:125589026-125589187		miR-216b		Distal Intergenic	Gm9102 (+)		LTR@MTA_Mm-int (+), LTR@MTA_Mm (+)
sidd	chr10:125680603-125680748	miR-330, miR-409	miR-494, miR-653, miR-9		Distal Intergenic	Gm9102 (+)		LTR@RLTR10C (-), LTR@ORR1A3 (-), LINE@Lx2A1 (-), LTR@ORR1A3 (-)
sidd	chr10:125794823-125794969	miR-129	miR-186, miR-203a		Distal Intergenic	Lrig3 (+)		LINE@Lx (-)
sidd	chr10:126243910-126244073	miR-670	miR-655, miR-873		Distal Intergenic	1700021G15Rik (+)		LTR@MTA_Mm (-)
sidd	chr10:126364049-126364192	miR-383	miR-181, miR-186, miR-495 (2), miR-543		Distal Intergenic	1700025K04Rik (+)		LTR@ORR1A3 (-), LTR@ORR1A3 (-), LINE@Lx (-)
sidd	chr10:127058891-127058991	miR-183	miR-129, miR-382, miR-431		Promoter (1-2kb)	Marchf9 (-)	pELS (CTCF-bound)@EM10E0491414	
sidd	chr10:127081430-127081539		miR-124, miR-150 (2), miR-214		Promoter (2-3kb)	Agap2 (+)	dELS (CTCF-bound)@EM10E0491452, dELS@EM10E0491453	
sidd	chr10:127145944-127146062	miR-330	miR-203a (2), miR-28/708		Distal Intergenic	Gm23664 (-)		LINE@L1_Mus4 (-)
sidd	chr10:127547922-127548139	miR-143, miR-186, miR-325, miR-382	miR-10, miR-125		Promoter (1-2kb)	Lrp1 (-)		LTR@RLTR11A2 (+), LINE@L2b (+)
sidd	chr10:127555317-127555497	miR-330	miR-143, miR-190, miR-221/222, miR-26		Intron	Lrp1 (-)		LINE@L2 (+), LINE@L2a (+)
sidd	chr10:127556968-127557117	miR-128	miR-874		Exon	Lrp1 (-)		
sidd	chr10:127559639-127559880	miR-185 (2), miR-203a, miR-383, miR-409, miR-455	miR-134, miR-217 (2), miR-369, miR-371 (290), miR-493, miR-655, miR-876, miR-96/1271		Intron	Lrp1 (-)		
