Flipon	Coordinates	Gene Name	Gene Strand	Gene Feature
g4	chr1:10695487-10695511	Gm15603	+	Promoter (<=1kb)
g4	chr1:10857882-10857908	Gm28659	+	Distal Intergenic
g4	chr1:11414405-11414430	A830018L16Rik	+	Promoter (<=1kb)
g4	chr1:11438270-11438295	Gm38178	+	Intron
g4	chr1:11487912-11487942	A830018L16Rik	+	Intron
g4	chr1:11709456-11709496	Gm38069	+	Intron
g4	chr1:12189267-12189303	Gm7560	+	Distal Intergenic
g4	chr1:12198676-12198753	Gm7560	+	Distal Intergenic
g4	chr1:12303748-12303772	Gm22633	+	Distal Intergenic
g4	chr1:12344870-12344895	Gm22633	+	Distal Intergenic
g4	chr1:12411048-12411102	Mir6341	+	Distal Intergenic
g4	chr1:12516021-12516039	Gm2383	+	Distal Intergenic
g4	chr1:12610874-12610910	Gm6216	+	Distal Intergenic
g4	chr1:12690101-12690168	Sulf1	+	Promoter (2-3kb)
g4	chr1:12774138-12774177	Sulf1	+	Intron
g4	chr1:12842036-12842060	Sulf1	+	Promoter (<=1kb)
g4	chr1:14216489-14216515	Eya1	-	Intron
g4	chr1:14467971-14467987	Eya1	-	Distal Intergenic
g4	chr1:14506816-14506880	Eya1	-	Distal Intergenic
g4	chr1:14704370-14704396	Gm9947	+	Distal Intergenic
g4	chr1:14756094-14756120	Msc	-	Promoter (<=1kb)
g4	chr1:14854465-14854486	Rpl5-ps1	+	Distal Intergenic
g4	chr1:15127463-15127486	Gm26345	-	Distal Intergenic
g4	chr1:15213387-15213420	Gm10566	-	Distal Intergenic
g4	chr1:15278119-15278149	Gm10566	-	Distal Intergenic
g4	chr1:15345936-15345981	Gm38116	+	Intron
g4	chr1:15554820-15554845	Gm37138	+	Promoter (1-2kb)
g4	chr1:15892322-15892351	Sbspon	-	Promoter (<=1kb)
g4	chr1:15892414-15892436	Sbspon	-	Promoter (<=1kb)
g4	chr1:15892730-15892753	Sbspon	-	Promoter (<=1kb)
g4	chr1:15892797-15892832	Sbspon	-	Promoter (<=1kb)
g4	chr1:16093043-16093072	4930444P10Rik	-	Promoter (<=1kb)
g4	chr1:16277574-16277627	Gm7568	+	Intron
g4	chr1:16291601-16291637	Gm7568	+	Intron
g4	chr1:16291655-16291680	Gm7568	+	Intron
g4	chr1:16385516-16385547	Stau2	-	Intron
g4	chr1:16503405-16503429	Stau2	-	Intron
g4	chr1:16884460-16884485	Gm28376	+	Distal Intergenic
g4	chr1:17097081-17097104	Jph1	-	Promoter (<=1kb)
g4	chr1:17097910-17097937	Jph1	-	Promoter (<=1kb)
g4	chr1:17097966-17098006	Jph1	-	Promoter (<=1kb)
g4	chr1:17634197-17634228	Gm28154	-	Intron
g4	chr1:17966425-17966491	Gm7690	+	Distal Intergenic
g4	chr1:17994662-17994683	Gm17969	+	Promoter (<=1kb)
g4	chr1:18406724-18406791	Defb41	-	Distal Intergenic
g4	chr1:18510818-18510872	Gm5252	+	Distal Intergenic
g4	chr1:18830747-18830794	Gm5252	+	Distal Intergenic
g4	chr1:18937537-18937587	Gm24075	-	Distal Intergenic
g4	chr1:19104891-19104915	Gm15825	-	Promoter (<=1kb)
g4	chr1:19855526-19855547	Gm37315	-	Distal Intergenic
g4	chr1:20061413-20061453	Gm37315	-	Intron
g4	chr1:20253815-20253849	4930486I03Rik	+	Intron
g4	chr1:20538958-20539002	Pkhd1	-	Intron
g4	chr1:20552486-20552513	Pkhd1	-	Intron
g4	chr1:21167583-21167614	Gm2693	+	Distal Intergenic
g4	chr1:21569430-21569460	Gm7658	-	Intron
g4	chr1:21677700-21677717	Gm38243	-	Intron
g4	chr1:21762378-21762412	Gm38243	-	Intron
g4	chr1:22020248-22020269	Gm5696	-	Distal Intergenic
g4	chr1:22030814-22030836	Gm5696	-	Promoter (<=1kb)
g4	chr1:22084753-22084826	Gm5696	-	Distal Intergenic
g4	chr1:22120728-22120768	Gm5696	-	Distal Intergenic
g4	chr1:22149529-22149567	Gm28239	+	Distal Intergenic
g4	chr1:22280910-22280964	Rims1	-	Distal Intergenic
g4	chr1:22280990-22281012	Rims1	-	Distal Intergenic
g4	chr1:22552022-22552066	Rims1	-	Intron
g4	chr1:22560241-22560307	Rims1	-	Intron
g4	chr1:22562407-22562455	Rims1	-	Intron
g4	chr1:22805426-22805460	Rims1	-	Promoter (<=1kb)
g4	chr1:22806070-22806115	Rims1	-	Promoter (<=1kb)
g4	chr1:22806158-22806189	Rims1	-	Promoter (<=1kb)
g4	chr1:22975560-22975584	Gm7761	-	Distal Intergenic
g4	chr1:23010557-23010582	Gm7761	-	Distal Intergenic
g4	chr1:23256334-23256362	Gm6420	-	Promoter (<=1kb)
g4	chr1:23293698-23293745	Gm29107	+	Promoter (<=1kb)
g4	chr1:23308138-23308159	Gm29107	+	Distal Intergenic
g4	chr1:23339474-23339498	Gm20954	-	Distal Intergenic
g4	chr1:23428813-23428835	Ogfrl1	-	Distal Intergenic
g4	chr1:23761872-23761899	B3gat2	+	Promoter (<=1kb)
g4	chr1:23762467-23762498	B3gat2	+	Promoter (<=1kb)
g4	chr1:23763250-23763298	B3gat2	+	Promoter (1-2kb)
g4	chr1:24447888-24447909	Col19a1	-	Intron
g4	chr1:24631070-24631106	Gm29216	-	Distal Intergenic
g4	chr1:24631191-24631214	Gm29216	-	Distal Intergenic
g4	chr1:24829026-24829060	Gm28594	-	Distal Intergenic
g4	chr1:25461078-25461100	Gm25294	+	Intron
g4	chr1:25564848-25564869	Gm37011	-	Intron
g4	chr1:25725454-25725488	8030445P17Rik	-	Promoter (<=1kb)
g4	chr1:25769708-25769733	Gm37895	-	Intron
g4	chr1:25829829-25829846	Adgrb3	-	Promoter (<=1kb)
g4	chr1:25829996-25830019	Adgrb3	-	Promoter (<=1kb)
g4	chr1:25830337-25830390	Gm9884	+	Promoter (<=1kb)
g4	chr1:25830398-25830433	Gm9884	+	Promoter (<=1kb)
g4	chr1:25903438-25903470	Gm9884	+	Distal Intergenic
g4	chr1:25937121-25937152	Gm18443	-	Distal Intergenic
g4	chr1:26178351-26178403	Gm18443	-	Distal Intergenic
g4	chr1:26189276-26189312	Gm18443	-	Distal Intergenic
g4	chr1:26192459-26192478	Gm18443	-	Distal Intergenic
g4	chr1:26219612-26219633	Gm18443	-	Distal Intergenic
g4	chr1:26388980-26389004	Gm19123	+	Distal Intergenic
g4	chr1:26468252-26468286	Gm19123	+	Promoter (2-3kb)
g4	chr1:26792895-26792936	4931408C20Rik	-	Distal Intergenic
g4	chr1:27024201-27024227	n-R5s209	-	Distal Intergenic
g4	chr1:27234566-27234595	Gm19641	-	Distal Intergenic
g4	chr1:27325492-27325516	Gm19641	-	Distal Intergenic
g4	chr1:27571513-27571567	Gm19641	-	Distal Intergenic
g4	chr1:27730930-27730957	Gm5524	+	Distal Intergenic
g4	chr1:27731001-27731025	Gm5524	+	Distal Intergenic
g4	chr1:27902987-27903022	Gm18776	-	Promoter (1-2kb)
g4	chr1:28090007-28090032	Gm19028	+	Distal Intergenic
g4	chr1:28090043-28090068	Gm19028	+	Distal Intergenic
g4	chr1:28090077-28090141	Gm19028	+	Distal Intergenic
g4	chr1:28090156-28090209	Gm19028	+	Distal Intergenic
g4	chr1:28090380-28090475	Gm19028	+	Distal Intergenic
g4	chr1:28090518-28090569	Gm19028	+	Distal Intergenic
g4	chr1:28090580-28090608	Gm19028	+	Distal Intergenic
g4	chr1:28090617-28090638	Gm19028	+	Distal Intergenic
g4	chr1:28392431-28392485	Gm38089	+	Distal Intergenic
g4	chr1:28525391-28525422	Gm38089	+	Distal Intergenic
g4	chr1:28574195-28574217	Gm38089	+	Distal Intergenic
g4	chr1:28656791-28656823	Gm7846	-	Distal Intergenic
g4	chr1:29048981-29049030	Gm6462	+	Distal Intergenic
g4	chr1:29097255-29097291	Gm18033	+	Distal Intergenic
g4	chr1:29132209-29132232	Gm18033	+	Distal Intergenic
g4	chr1:29431204-29431223	Mir6342	+	Distal Intergenic
g4	chr1:29918145-29918186	Gm7858	+	Distal Intergenic
g4	chr1:30090022-30090047	Gm23771	+	Distal Intergenic
g4	chr1:30118413-30118460	Gm23771	+	Distal Intergenic
g4	chr1:30451793-30451864	Gm27430	-	Distal Intergenic
g4	chr1:30717694-30717719	Gm9898	-	Promoter (2-3kb)
g4	chr1:31024071-31024091	Gm28644	+	Intron
g4	chr1:31211789-31211844	4931428L18Rik	-	Intron
g4	chr1:31406132-31406151	Gm6489	+	Distal Intergenic
g4	chr1:31444575-31444618	Eef1a1-ps2	+	Distal Intergenic
g4	chr1:31902929-31902949	Gm7910	+	Distal Intergenic
g4	chr1:32206136-32206168	Gm25814	-	Intron
g4	chr1:32342484-32342532	Khdrbs2	+	Intron
g4	chr1:32560127-32560156	Gm24732	-	Intron
g4	chr1:32952256-32952293	Gm37151	-	Distal Intergenic
g4	chr1:33380257-33380291	Gm7933	+	Distal Intergenic
g4	chr1:33406151-33406196	Gm23453	+	Distal Intergenic
g4	chr1:33680461-33680480	Gm38173	-	Distal Intergenic
g4	chr1:33907594-33907623	Bend6	-	Promoter (<=1kb)
g4	chr1:33908188-33908217	Dst	+	Promoter (<=1kb)
g4	chr1:34011502-34011524	Dst	+	Promoter (<=1kb)
g4	chr1:34012076-34012094	Dst	+	Promoter (<=1kb)
g4	chr1:34104448-34104472	Mir6896	+	Intron
g4	chr1:34236630-34236659	Dst	+	Promoter (<=1kb)
g4	chr1:34519979-34520008	Gm28416	-	Distal Intergenic
g4	chr1:34580090-34580119	1700101I19Rik	-	Promoter (<=1kb)
g4	chr1:34751108-34751137	Arhgef4	+	Promoter (<=1kb)
g4	chr1:34778066-34778092	Arhgef4	+	Intron
g4	chr1:34778278-34778315	Arhgef4	+	Intron
g4	chr1:35706657-35706689	Gm25634	+	Distal Intergenic
g4	chr1:35763483-35763524	Gm25634	+	Promoter (1-2kb)
g4	chr1:36012173-36012203	4930535G08Rik	+	Promoter (1-2kb)
g4	chr1:36018871-36018907	4930535G08Rik	+	Distal Intergenic
g4	chr1:36512331-36512357	Cnnm3	+	Promoter (<=1kb)
g4	chr1:36556577-36556603	Sema4c	-	Promoter (<=1kb)
g4	chr1:36557280-36557301	Sema4c	-	Promoter (<=1kb)
g4	chr1:36558429-36558460	D430040D24Rik	+	Promoter (<=1kb)
g4	chr1:36779558-36779605	Zap70	+	Promoter (<=1kb)
g4	chr1:37204025-37204049	Cnga3	+	Distal Intergenic
g4	chr1:37240672-37240697	Cnga3	+	Intron
g4	chr1:37240813-37240857	Cnga3	+	Intron
g4	chr1:37379819-37379845	Inpp4a	+	Promoter (2-3kb)
g4	chr1:37392184-37392219	Inpp4a	+	Intron
g4	chr1:37398539-37398559	Inpp4a	+	Intron
g4	chr1:37413176-37413211	Coa5	-	Distal Intergenic
g4	chr1:37606656-37606680	4930556I23Rik	+	Distal Intergenic
g4	chr1:37606862-37606879	4930556I23Rik	+	Distal Intergenic
g4	chr1:37719191-37719216	2010300C02Rik	-	Promoter (<=1kb)
g4	chr1:37720330-37720355	2010300C02Rik	-	Promoter (<=1kb)
g4	chr1:39006859-39006883	Pdcl3	+	Distal Intergenic
g4	chr1:39192248-39192304	Npas2	+	Promoter (1-2kb)
g4	chr1:39192880-39192901	Npas2	+	Promoter (<=1kb)
g4	chr1:39193129-39193150	Npas2	+	Promoter (<=1kb)
g4	chr1:39193461-39193490	Npas2	+	Promoter (<=1kb)
g4	chr1:39194098-39194130	Npas2	+	Promoter (<=1kb)
g4	chr1:39460351-39460397	Tbc1d8	-	Intron
g4	chr1:39478751-39478775	Tbc1d8	-	Promoter (<=1kb)
g4	chr1:39721029-39721054	Rfx8	-	Promoter (<=1kb)
g4	chr1:39756830-39756873	Rfx8	-	Distal Intergenic
g4	chr1:40063843-40063873	Il1r2	+	Distal Intergenic
g4	chr1:40155347-40155384	Gm37347	+	Distal Intergenic
g4	chr1:40187173-40187196	Il1r1	+	Distal Intergenic
g4	chr1:40326226-40326255	Il1rl2	+	Promoter (<=1kb)
g4	chr1:40475564-40475597	Il18r1	+	Intron
g4	chr1:40475606-40475625	Il18r1	+	Intron
g4	chr1:40681525-40681564	Slc9a2	+	Promoter (<=1kb)
g4	chr1:40848877-40848904	Gm5973	-	Intron
g4	chr1:41020830-41020854	Gm5973	-	Distal Intergenic
g4	chr1:41157699-41157732	4930448I06Rik	-	Distal Intergenic
g4	chr1:41195678-41195720	4930448I06Rik	-	Distal Intergenic
g4	chr1:41205881-41205901	4930448I06Rik	-	Distal Intergenic
g4	chr1:41220797-41220815	4930448I06Rik	-	Distal Intergenic
g4	chr1:41360851-41360874	Gm28634	-	Distal Intergenic
g4	chr1:42048427-42048458	Gm5267	+	Distal Intergenic
g4	chr1:42201021-42201047	Gm8176	-	Distal Intergenic
g4	chr1:42328170-42328195	Gm28140	-	Intron
g4	chr1:42442699-42442740	Gm37047	+	Distal Intergenic
g4	chr1:42684460-42684493	Pantr1	-	Intron
g4	chr1:42694642-42694664	Pantr1	-	Promoter (<=1kb)
g4	chr1:42694863-42694878	Pantr1	-	Promoter (<=1kb)
g4	chr1:42696991-42697018	Pou3f3	+	Promoter (1-2kb)
g4	chr1:42697027-42697057	Pou3f3	+	Promoter (1-2kb)
g4	chr1:42714589-42714639	Pantr2	-	Promoter (1-2kb)
g4	chr1:42767281-42767325	Dalir	+	Distal Intergenic
g4	chr1:42953243-42953282	Gpr45	+	Promoter (<=1kb)
g4	chr1:42953598-42953626	Gpr45	+	Promoter (<=1kb)
g4	chr1:43200876-43200895	Fhl2	-	Distal Intergenic
g4	chr1:43200915-43200946	Fhl2	-	Distal Intergenic
g4	chr1:43201131-43201158	Fhl2	-	Distal Intergenic
g4	chr1:43420871-43420904	Gm29041	+	Distal Intergenic
g4	chr1:43420913-43420952	Gm29041	+	Distal Intergenic
g4	chr1:43420991-43421012	Gm29041	+	Distal Intergenic
g4	chr1:43421021-43421108	Gm29041	+	Distal Intergenic
g4	chr1:43423936-43423955	Gm29041	+	Distal Intergenic
g4	chr1:43423984-43424063	Gm29041	+	Distal Intergenic
g4	chr1:43625866-43625912	Gm38228	+	Distal Intergenic
g4	chr1:43730533-43730556	Ecrg4	+	Promoter (<=1kb)
g4	chr1:43730772-43730793	Ecrg4	+	Promoter (<=1kb)
g4	chr1:44631780-44631818	Gm16102	+	Intron
g4	chr1:44789023-44789060	Gm38110	+	Intron
g4	chr1:45218873-45218905	Gm5268	+	Distal Intergenic
g4	chr1:45999319-45999340	Gm3852	-	Distal Intergenic
g4	chr1:46088789-46088855	Dnah7b	+	Intron
g4	chr1:46089143-46089195	Dnah7b	+	Intron
g4	chr1:46463703-46463728	Dnah7c	+	Intron
g4	chr1:46579652-46579678	Dnah7c	+	Intron
g4	chr1:46724605-46724659	Dnah7c	+	Intron
g4	chr1:46751377-46751408	Slc39a10	-	Intron
g4	chr1:46899010-46899031	Gm28527	-	Promoter (2-3kb)
g4	chr1:47008706-47008742	Gm28825	+	Distal Intergenic
g4	chr1:47407812-47407833	Gm38090	-	Distal Intergenic
g4	chr1:47760580-47760625	Gm23829	-	Distal Intergenic
g4	chr1:48026400-48026477	Gm19206	-	Distal Intergenic
g4	chr1:48150609-48150659	Gm5974	-	Distal Intergenic
g4	chr1:49059670-49059701	Gm22693	+	Distal Intergenic
g4	chr1:49547847-49547886	Gm28388	-	Distal Intergenic
g4	chr1:49735680-49735695	Gm28388	-	Distal Intergenic
g4	chr1:49735742-49735761	Gm28388	-	Distal Intergenic
g4	chr1:49968071-49968101	Gm8384	+	Distal Intergenic
g4	chr1:50166180-50166205	Gm8391	-	Distal Intergenic
g4	chr1:50437032-50437059	Gm29665	-	Distal Intergenic
g4	chr1:50461797-50461863	Gm29665	-	Distal Intergenic
g4	chr1:50490257-50490282	Gm20118	+	Distal Intergenic
g4	chr1:50738997-50739063	Gm28321	+	Distal Intergenic
g4	chr1:50890995-50891017	Tmeff2	+	Distal Intergenic
g4	chr1:50927071-50927104	Tmeff2	+	Promoter (<=1kb)
g4	chr1:51391944-51391968	9330175M20Rik	-	Distal Intergenic
g4	chr1:51574246-51574283	Gm17767	-	Intron
g4	chr1:51602031-51602078	Gm17767	-	Distal Intergenic
g4	chr1:51721223-51721252	Gm28055	-	Intron
g4	chr1:52327188-52327254	Gm5975	-	Distal Intergenic
g4	chr1:52365204-52365228	Gm5975	-	Distal Intergenic
g4	chr1:52732067-52732091	Mfsd6	-	Distal Intergenic
g4	chr1:52761830-52761878	Gm28650	+	Distal Intergenic
g4	chr1:52783201-52783236	Inpp1	-	Distal Intergenic
g4	chr1:52986341-52986364	1700019D03Rik	-	Intron
g4	chr1:53126420-53126447	Gm24349	+	Distal Intergenic
g4	chr1:53248225-53248258	Pms1	-	Intron
g4	chr1:53330047-53330071	Gm18800	-	Intron
g4	chr1:53382719-53382766	Gm6801	+	Distal Intergenic
g4	chr1:53388743-53388769	Gm6801	+	Promoter (1-2kb)
g4	chr1:53388882-53388905	Gm6801	+	Promoter (1-2kb)
g4	chr1:53671632-53671653	Dnah7a	-	Intron
g4	chr1:53803925-53803948	Gm37863	+	Distal Intergenic
g4	chr1:53863431-53863470	Hecw2	-	Intron
g4	chr1:53883263-53883285	Gm24251	-	Intron
g4	chr1:54194537-54194560	Hecw2	-	Promoter (<=1kb)
g4	chr1:55112459-55112482	Gm5147	-	Distal Intergenic
g4	chr1:55112556-55112577	Gm5147	-	Distal Intergenic
g4	chr1:55220331-55220376	Gm10561	+	Intron
g4	chr1:55362829-55362851	Boll	-	Promoter (<=1kb)
g4	chr1:55406664-55406684	Plcl1	+	Promoter (<=1kb)
g4	chr1:55545266-55545315	Gm37382	+	Intron
g4	chr1:56259781-56259810	Gm28900	+	Distal Intergenic
g4	chr1:56547083-56547098	Gm28240	+	Distal Intergenic
g4	chr1:56547112-56547143	Gm28240	+	Distal Intergenic
g4	chr1:56784340-56784376	Hsfy2	-	Distal Intergenic
g4	chr1:56784557-56784582	Hsfy2	-	Distal Intergenic
g4	chr1:56784956-56784971	Hsfy2	-	Distal Intergenic
g4	chr1:56802249-56802276	Hsfy2	-	Intron
g4	chr1:56802297-56802328	Hsfy2	-	Intron
g4	chr1:56969875-56969915	Satb2	-	Promoter (<=1kb)
g4	chr1:56971882-56971910	Satb2	-	Promoter (<=1kb)
g4	chr1:56971953-56972004	Satb2	-	Promoter (<=1kb)
g4	chr1:57626610-57626635	Gm17929	-	Distal Intergenic
g4	chr1:57626655-57626699	Gm17929	-	Distal Intergenic
g4	chr1:57722602-57722666	Spats2l	+	Distal Intergenic
g4	chr1:57775369-57775395	Spats2l	+	Promoter (<=1kb)
g4	chr1:58650604-58650640	Gm20257	+	Promoter (2-3kb)
g4	chr1:58974049-58974070	Stradb	+	Promoter (<=1kb)
g4	chr1:59420527-59420573	Gm37737	-	Distal Intergenic
g4	chr1:59482078-59482100	Fzd7	+	Promoter (<=1kb)
g4	chr1:59508739-59508767	Gm973	+	Distal Intergenic
g4	chr1:59556817-59556839	Gm973	+	Promoter (1-2kb)
g4	chr1:59763954-59763982	Bmpr2	+	Promoter (<=1kb)
g4	chr1:59947623-59947643	Gm18829	-	Intron
g4	chr1:59947843-59947873	Gm18829	-	Intron
g4	chr1:60043143-60043168	Ica1l	-	Promoter (<=1kb)
g4	chr1:60043589-60043604	Ica1l	-	Promoter (<=1kb)
g4	chr1:60350378-60350403	6030460B20Rik	+	Promoter (2-3kb)
g4	chr1:60410037-60410058	Abi2	+	Promoter (<=1kb)
g4	chr1:60566347-60566372	Raph1	-	Promoter (<=1kb)
g4	chr1:60566572-60566594	Raph1	-	Promoter (<=1kb)
g4	chr1:60566733-60566758	Raph1	-	Promoter (<=1kb)
g4	chr1:60567138-60567160	Raph1	-	Promoter (<=1kb)
g4	chr1:61283759-61283778	Gm28083	-	Distal Intergenic
g4	chr1:61361870-61361963	9530026F06Rik	+	Distal Intergenic
g4	chr1:61639068-61639093	Pard3b	+	Promoter (<=1kb)
g4	chr1:62126863-62126913	Pard3bos2	-	Intron
g4	chr1:62680352-62680426	Gm11599	+	Distal Intergenic
g4	chr1:63248415-63248446	1700039I01Rik	-	Promoter (<=1kb)
g4	chr1:63273029-63273052	Gm11608	-	Promoter (<=1kb)
g4	chr1:63273138-63273172	Gm11608	-	Promoter (<=1kb)
g4	chr1:63273679-63273716	Gm24513	-	Promoter (<=1kb)
g4	chr1:63309344-63309413	Gm23448	-	Exon
g4	chr1:63309427-63309509	Gm23448	-	Exon
g4	chr1:63309578-63309620	Gm23448	-	Exon
g4	chr1:63309668-63309719	Gm23448	-	Exon
g4	chr1:63322240-63322266	Gm23448	-	Distal Intergenic
g4	chr1:63336403-63336430	Gm11606	-	Distal Intergenic
g4	chr1:63445686-63445710	Adam23	+	Promoter (<=1kb)
g4	chr1:63446067-63446097	Adam23	+	Promoter (<=1kb)
g4	chr1:63446138-63446164	Adam23	+	Promoter (<=1kb)
g4	chr1:63614230-63614265	Gm39653	+	Promoter (1-2kb)
g4	chr1:64012210-64012235	Mir6899	-	Distal Intergenic
g4	chr1:64012252-64012300	Mir6899	-	Distal Intergenic
g4	chr1:64736992-64737024	Fzd5	-	Promoter (<=1kb)
g4	chr1:64998948-64998975	Gm24788	-	Promoter (2-3kb)
g4	chr1:65470642-65470708	Gm28922	-	Promoter (<=1kb)
g4	chr1:65495214-65495247	Gm28922	-	Distal Intergenic
g4	chr1:65524130-65524172	Gm28728	-	Promoter (<=1kb)
g4	chr1:65573912-65573935	Gm8805	+	Distal Intergenic
g4	chr1:65598624-65598669	Gm8805	+	Distal Intergenic
g4	chr1:65598687-65598711	Gm8805	+	Distal Intergenic
g4	chr1:65605835-65605854	Gm8805	+	Distal Intergenic
g4	chr1:65627791-65627821	Gm8805	+	Distal Intergenic
g4	chr1:65732944-65732977	Gm8805	+	Distal Intergenic
g4	chr1:66007747-66007777	Gm8809	-	Distal Intergenic
g4	chr1:66064987-66065026	Gm8812	+	Promoter (2-3kb)
g4	chr1:66175219-66175254	Map2	+	Promoter (<=1kb)
g4	chr1:66468275-66468296	Unc80	+	Promoter (<=1kb)
g4	chr1:66539861-66539887	Unc80	+	Intron
g4	chr1:66643444-66643492	Unc80	+	Intron
g4	chr1:66842521-66842551	Gm15793	-	Intron
g4	chr1:66842588-66842635	Gm15793	-	Intron
g4	chr1:66916348-66916376	Myl1	-	Distal Intergenic
g4	chr1:67114679-67114701	Cps1	+	Distal Intergenic
g4	chr1:67308934-67308961	Gm26342	+	Intron
g4	chr1:67335449-67335468	Gm26342	+	Distal Intergenic
g4	chr1:67412364-67412395	Gm26342	+	Distal Intergenic
g4	chr1:67762125-67762163	Gm15669	+	Distal Intergenic
g4	chr1:67916274-67916291	Gm37957	+	Distal Intergenic
g4	chr1:68177432-68177470	Gm37100	-	Intron
g4	chr1:68558966-68559000	Gm19335	-	Intron
g4	chr1:68559022-68559071	Gm19335	-	Intron
g4	chr1:68573772-68573806	Gm19335	-	Intron
g4	chr1:69107274-69107292	Erbb4	-	Promoter (<=1kb)
g4	chr1:69107580-69107607	Erbb4	-	Promoter (<=1kb)
g4	chr1:69107848-69107879	Erbb4	-	Promoter (<=1kb)
g4	chr1:69456733-69456788	Gm28497	+	Distal Intergenic
g4	chr1:69456803-69456866	Gm28497	+	Distal Intergenic
g4	chr1:69456887-69456908	Gm28497	+	Distal Intergenic
g4	chr1:69456948-69457005	Gm28497	+	Distal Intergenic
g4	chr1:69687433-69687450	Ikzf2	-	Promoter (<=1kb)
g4	chr1:69687479-69687497	Ikzf2	-	Promoter (<=1kb)
g4	chr1:69687726-69687762	Ikzf2	-	Promoter (<=1kb)
g4	chr1:69954427-69954442	Gm23879	-	Promoter (<=1kb)
g4	chr1:70090155-70090175	Gm28580	-	Intron
g4	chr1:70243503-70243532	Gm38272	-	Intron
g4	chr1:70675341-70675408	Vwc2l	+	Intron
g4	chr1:70946218-70946238	Gm16236	-	Distal Intergenic
g4	chr1:70946375-70946400	Gm16236	-	Distal Intergenic
g4	chr1:71191727-71191759	Gm8870	-	Distal Intergenic
g4	chr1:71809788-71809842	Gm37217	-	Distal Intergenic
g4	chr1:71863265-71863300	Gm37217	-	Distal Intergenic
g4	chr1:72086435-72086460	Gm8885	+	Promoter (1-2kb)
g4	chr1:72134672-72134690	Gm4319	-	Distal Intergenic
g4	chr1:72477980-72478023	Gm15843	+	Intron
g4	chr1:72535189-72535209	Marchf4	-	Promoter (1-2kb)
