Flipon	Coordinates	LINE/LTR (+-200bp)
g4	chr1:46579652-46579678	LINE@L1Md_F2(-)
g4	chr1:46724605-46724659	LINE@L1_Mus2(+)
g4	chr1:46751377-46751408	LTR@ORR1A4-int(+), LINE@L1Md_F2(+), LINE@L1Md_A(+)
g4	chr1:46899010-46899031	LINE@L1_Mus3(+)
g4	chr1:47008706-47008742	LTR@MMERGLN_LTR(-)
g4	chr1:47407812-47407833	LINE@Lx3B(-)
g4	chr1:47760580-47760625	LINE@L1Md_T(+), LINE@Lx9(+)
g4	chr1:48026400-48026477	LINE@L1Md_F2(+), LINE@L1M3(+)
g4	chr1:48150609-48150659	LTR@MTA_Mm(-), LINE@L1Md_F2(-)
g4	chr1:49059670-49059701	LTR@RMER17A(+), LTR@ORR1E(+)
g4	chr1:49547847-49547886	LINE@L1_Mus2(+)
g4	chr1:49968071-49968101	LINE@L1_Mus3(-)
g4	chr1:50166180-50166205	LINE@Lx2(+)
g4	chr1:50437032-50437059	LINE@L1Md_F2(-)
g4	chr1:50461797-50461863	LINE@L1Md_T(+), LTR@MTE2b(-)
g4	chr1:50490257-50490282	LINE@L1_Mus3(+)
g4	chr1:50738997-50739063	LINE@L1Md_T(+), LINE@L1_Mus2(+)
g4	chr1:50890995-50891017	LINE@Lx(+), LINE@Lx2B(+)
g4	chr1:51391944-51391968	LINE@Lx(-), LTR@RLTR10A(+)
g4	chr1:51574246-51574283	LTR@MTB(-), LTR@MTB(-)
g4	chr1:51602031-51602078	LINE@L1_Mus1(+), LINE@Lx7(-)
g4	chr1:51721223-51721252	LINE@Lx(-), LINE@L1_Mus2(-)
g4	chr1:52327188-52327254	LTR@MLT1B(+), LINE@L1Md_F2(-)
g4	chr1:52365204-52365228	LINE@Lx7(-), LINE@Lx2A(-), LINE@Lx2A1(-)
g4	chr1:52732067-52732091	LINE@L1_Mus4(+)
g4	chr1:52761830-52761878	LINE@L1_Mus2(-)
g4	chr1:52783201-52783236	LTR@RMER17B(+), LINE@Lx3B(+)
g4	chr1:52986341-52986364	LINE@Lx(+)
g4	chr1:53126420-53126447	LINE@Lx3A(-)
g4	chr1:53248225-53248258	LTR@RMER17A2(-), LINE@Lx5c(+)
g4	chr1:53330047-53330071	LINE@Lx(-)
g4	chr1:53382719-53382766	LINE@L1_Mus2(+)
g4	chr1:53388743-53388769	LTR@MMVL30-int(-)
g4	chr1:53388882-53388905	LTR@MMVL30-int(-)
g4	chr1:53671632-53671653	LTR@LTRIS_Mm(-), LINE@L1VL1(+)
g4	chr1:53803925-53803948	LINE@L1MC3(-), LINE@Lx(-), LINE@L1MC3(-)
g4	chr1:53863431-53863470	LTR@RMER17C(+)
g4	chr1:55112459-55112482	LINE@Lx6(-), LTR@RMER17B2(-), LTR@RMER17B2(-)
g4	chr1:55112556-55112577	LINE@Lx6(-), LTR@RMER17B2(-), LTR@RMER17B2(-)
g4	chr1:55220331-55220376	LTR@RMER17B(+)
g4	chr1:55545266-55545315	LINE@L1_Mus2(-)
g4	chr1:56259781-56259810	LINE@L1_Mus3(-)
g4	chr1:56547083-56547098	LINE@L1MA9(-), LINE@L1_Mus2(+)
g4	chr1:56547112-56547143	LINE@L1MA9(-), LINE@L1_Mus2(+)
g4	chr1:56784340-56784376	LTR@RMER17D2(-)
g4	chr1:56784557-56784582	LTR@RMER17D2(-)
g4	chr1:56784956-56784971	LTR@RMER17D2(-)
g4	chr1:57626610-57626635	LINE@Lx(-)
g4	chr1:57626655-57626699	LINE@Lx(-)
g4	chr1:57722602-57722666	LINE@MusHAL1(+), LINE@MusHAL1(+), LINE@L1Md_F2(-)
g4	chr1:58650604-58650640	LTR@MMERGLN-int(+), LTR@MMERGLN_LTR(+)
g4	chr1:59420527-59420573	LINE@Lx5(-)
g4	chr1:59556817-59556839	LTR@RLTR17B_Mm(-), LTR@MTC(-)
g4	chr1:59947623-59947643	LINE@Lx2(+)
g4	chr1:59947843-59947873	LINE@Lx2(+), LTR@RLTR10C(-)
g4	chr1:60350378-60350403	LTR@RLTR1B(-)
g4	chr1:61283759-61283778	LINE@Lx(+)
g4	chr1:61361870-61361963	LINE@L1Md_F2(-)
g4	chr1:62126863-62126913	LINE@L1Md_F2(-)
g4	chr1:62680352-62680426	LINE@L1Md_F2(+)
g4	chr1:63322240-63322266	LTR@RLTR1B-int(-)
g4	chr1:63336403-63336430	LINE@L1VL2(-)
g4	chr1:64012210-64012235	LTR@RMER13B(-)
g4	chr1:64012252-64012300	LTR@RMER13B(-)
g4	chr1:64998948-64998975	LTR@MTE2a(+)
g4	chr1:65470642-65470708	LINE@L1Md_A(-)
g4	chr1:65495214-65495247	LINE@Lx(+)
g4	chr1:65524130-65524172	LINE@L1Md_F3(-)
g4	chr1:65573912-65573935	LINE@Lx(+)
g4	chr1:65598624-65598669	LINE@Lx(-)
g4	chr1:65598687-65598711	LINE@Lx(-)
g4	chr1:65605835-65605854	LINE@L1Md_F2(-)
g4	chr1:65627791-65627821	LINE@L1_Mus1(+), LINE@L1Md_F2(-)
g4	chr1:65732944-65732977	LINE@L1_Mus1(-)
g4	chr1:66007747-66007777	LTR@RMER17C(-)
g4	chr1:66064987-66065026	LINE@L1_Mus2(-)
g4	chr1:66539861-66539887	LINE@L1_Mur1(-), LINE@L1_Mur1(-)
g4	chr1:66643444-66643492	LINE@L1_Mus2(-), LINE@L1_Mus2(+)
g4	chr1:66842521-66842551	LINE@Lx(-)
g4	chr1:66842588-66842635	LINE@Lx(-)
g4	chr1:66916348-66916376	LTR@MTC(-)
g4	chr1:67114679-67114701	LINE@Lx3A(-)
g4	chr1:67308934-67308961	LINE@L1_Mus3(+)
g4	chr1:67335449-67335468	LINE@L1_Mus1(-)
g4	chr1:67762125-67762163	LINE@L1_Mus4(-)
g4	chr1:67916274-67916291	LINE@L1Md_F2(-), LTR@MamRep1527(+), LINE@L1Md_F2(-)
g4	chr1:68177432-68177470	LINE@L1_Mus3(-)
g4	chr1:68558966-68559000	LINE@Lx2B2(+)
g4	chr1:68559022-68559071	LINE@Lx2B2(+)
g4	chr1:68573772-68573806	LINE@L1_Mus2(+), LTR@ORR1E(-)
g4	chr1:69954427-69954442	LINE@L1Md_F2(-)
g4	chr1:70090155-70090175	LINE@Lx9(-), LINE@L1_Mus2(-)
g4	chr1:70243503-70243532	LINE@L1_Mus4(-)
g4	chr1:71191727-71191759	LINE@Lx(-)
g4	chr1:71809788-71809842	LTR@RMER17C(+), LTR@MLT1A1(-)
g4	chr1:71863265-71863300	LTR@IAPLTR2b(+)
g4	chr1:72086435-72086460	LINE@Lx7(+), LINE@L1_Mus4(-)
g4	chr1:72134672-72134690	LTR@ORR1D2(+), LTR@MTB(-)
g4	chr1:72477980-72478023	LTR@RMER10B(+), LINE@L1_Mus1(-)
g4	chr1:72603549-72603598	LINE@L1Md_F2(+)
g4	chr1:73396505-73396526	LTR@MTB(+), LTR@ORR1D2(-)
g4	chr1:73527279-73527310	LINE@L1MB7(+), LTR@RMER17C(+)
g4	chr1:74148986-74149018	LINE@L1_Mus3(+)
g4	chr1:74647760-74647802	LTR@MERVL-int(+), LTR@RMER17A2(-)
g4	chr1:75403914-75403941	LTR@RLTR20A4(+)
g4	chr1:76241076-76241104	LINE@L1_Mus3(-), LINE@Lx3_Mus(-)
g4	chr1:76241266-76241288	LINE@L1_Mus3(-), LINE@Lx3_Mus(-)
g4	chr1:76480897-76480928	LINE@L1_Mus1(+)
g4	chr1:76588349-76588385	LTR@ORR1D2(-), LINE@L1_Mus2(-), LTR@IAPLTR2_Mm(+)
g4	chr1:76592799-76592820	LTR@IAPLTR2a2_Mm(-), LINE@L1_Mus2(-), LINE@L1_Mus2(+)
g4	chr1:78305239-78305256	LINE@Lx2(-)
g4	chr1:79164742-79164764	LINE@Lx7(-), LINE@L1_Mus4(-)
g4	chr1:79503363-79503408	LINE@L1Md_F2(+)
g4	chr1:79534232-79534256	LINE@L1MB7(+), LINE@L1_Mus1(-)
g4	chr1:79786510-79786535	LINE@Lx(+)
g4	chr1:80198182-80198220	LINE@L1_Mus3(+), LTR@MTE2a(+)
g4	chr1:80198313-80198333	LINE@L1_Mus3(+), LTR@MTE2a(+)
g4	chr1:80442515-80442534	LINE@L1_Mus2(-)
g4	chr1:80442966-80443031	LINE@L1Md_T(-)
g4	chr1:80767388-80767425	LINE@L1_Mus3(-)
g4	chr1:80833040-80833092	LINE@L1_Mus1(-), LINE@L1_Mus1(+), LINE@L1MA6(-)
g4	chr1:80983314-80983350	LTR@MTE2a(-), LINE@L1_Mus2(-)
g4	chr1:81115802-81115824	LINE@Lx(-)
g4	chr1:81115844-81115874	LINE@Lx(-)
g4	chr1:81239469-81239498	LINE@Lx3C(-)
g4	chr1:82336808-82336832	LTR@MTC-int(-), LTR@MTC(-)
g4	chr1:82657580-82657602	LINE@Lx2(-)
g4	chr1:83093261-83093309	LINE@Lx8(+), LTR@RLTR10B(-)
g4	chr1:83415272-83415291	LINE@L1_Mus3(+), LINE@L1Md_F2(+)
g4	chr1:83477962-83478011	LINE@L1Md_F2(-)
g4	chr1:83508807-83508826	LINE@Lx(+), LINE@Lx3_Mus(+)
g4	chr1:83563663-83563700	LINE@Lx3_Mus(-)
g4	chr1:83607309-83607333	LINE@L1_Mus4(+)
g4	chr1:83607498-83607531	LINE@L1_Mus4(+)
g4	chr1:84226700-84226732	LTR@RMER17B(+)
g4	chr1:84405048-84405081	LTR@RMER13B(+)
g4	chr1:84652705-84652731	LINE@L1_Mus3(-)
g4	chr1:85278142-85278171	LTR@ORR1F(-), LINE@L1_Mus3(-)
g4	chr1:85712903-85712957	LINE@L1_Mus1(+), LTR@MTA_Mm(-)
g4	chr1:86635351-86635387	LTR@MER34A1(-), LINE@L1Md_F2(-)
g4	chr1:86819014-86819049	LINE@Lx3A(+), LTR@IAPEY_LTR(+), LINE@Lx3A(-)
g4	chr1:86842971-86843025	LTR@ORR1D2-int(+), LTR@MTC(-), LINE@L1_Mus1(-)
g4	chr1:86908246-86908270	LINE@L1Md_F2(+), LINE@L1MD2(+)
g4	chr1:86980393-86980443	LINE@L1Md_F3(-)
g4	chr1:88977637-88977668	LTR@IAPLTR2_Mm(+)
g4	chr1:89181606-89181649	LTR@MURVY-LTR(-)
g4	chr1:90168409-90168430	LINE@Lx5b(-)
g4	chr1:90631360-90631382	LTR@MTC(+), LTR@RMER17C(-)
g4	chr1:90956147-90956210	LTR@RLTR20C2_MM(+)
g4	chr1:91038405-91038478	LINE@L1Md_F2(-)
g4	chr1:92977222-92977251	LTR@ORR1C2(-)
g4	chr1:92977284-92977331	LTR@ORR1C2(-)
g4	chr1:94022177-94022231	LINE@L1_Mus1(+)
g4	chr1:94458964-94458995	LINE@L1_Mus1(+), LINE@L1_Mur2(+), LINE@L1_Mur2(+)
g4	chr1:95003162-95003191	LINE@L1Md_F2(-)
g4	chr1:95090810-95090853	LTR@RMER17A(+), LINE@L1_Mus1(-), LINE@L1_Mus4(-)
g4	chr1:95208648-95208674	LINE@Lx6(-), LINE@L1_Mus2(+), LINE@L1_Mur3(-)
g4	chr1:95474180-95474210	LINE@L1_Mus1(+), LTR@MTB(+)
g4	chr1:96139484-96139528	LTR@ORR1A0(-), LINE@L1Md_F2(-)
g4	chr1:96223950-96224016	LINE@Lx3A(-), LINE@L1Md_T(-)
g4	chr1:96347934-96347983	LTR@RLTR22_Mur(-), LINE@L1Md_F3(-), LTR@RLTR22_Mur(-)
g4	chr1:96389239-96389270	LINE@Lx2(+)
g4	chr1:96607727-96607802	LINE@L1Md_F3(-)
g4	chr1:96898499-96898549	LTR@ORR1A2-int(-), LTR@ORR1A2(-), LINE@L1_Mus1(-), LTR@ORR1A2(-)
g4	chr1:96932543-96932563	LINE@L1_Mus4(+), LINE@L2a(-)
g4	chr1:96950900-96950939	LINE@Lx2A1(-), LINE@L1_Mus2(-)
g4	chr1:96960331-96960364	LINE@L1_Mus2(+)
g4	chr1:97138757-97138777	LTR@RLTR13D3(-), LINE@L1_Mus2(-)
g4	chr1:97235334-97235365	LINE@L1_Mus1(+), LINE@L1Md_F2(+)
g4	chr1:97324202-97324235	LINE@Lx3B(-), LTR@RMER17B(-)
g4	chr1:97457475-97457519	LINE@L1_Mus1(+)
g4	chr1:97560384-97560424	LTR@MTEb(-), LINE@L1_Mus1(-)
g4	chr1:97581100-97581117	LTR@MTB_Mm(+)
g4	chr1:97683124-97683149	LINE@L1Md_F(-)
g4	chr1:97691186-97691226	LINE@L1Md_F2(+)
g4	chr1:97739533-97739556	LINE@L1M5(+), LINE@L1_Mus1(-)
g4	chr1:97890861-97890897	LINE@L1_Mus4(+)
g4	chr1:97947767-97947805	LINE@Lx(+)
g4	chr1:98022356-98022382	LINE@L1_Mus1(-)
g4	chr1:98288293-98288320	LTR@RLTR6-int(+)
g4	chr1:98549407-98549431	LINE@L1MA5A(-), LTR@ERVB4_1B-LTR_MM(-)
g4	chr1:98637347-98637395	LINE@L1Md_F2(-)
g4	chr1:98657223-98657241	LINE@L1_Mus3(+), LINE@Lx9(-)
g4	chr1:99109018-99109070	LINE@L1_Mus3(+), LINE@L1Md_F2(-)
g4	chr1:99200763-99200786	LINE@L1_Mus3(-)
g4	chr1:99233880-99233934	LINE@L1_Mus1(+)
g4	chr1:99245533-99245570	LTR@RMER17D2(-)
g4	chr1:99245747-99245772	LTR@RMER17D2(-)
g4	chr1:99318448-99318524	LINE@L1M4(+), LINE@L1_Mus2(-)
g4	chr1:99373567-99373597	LINE@L1_Mus3(-), LINE@L1Md_F2(-)
g4	chr1:99747217-99747239	LINE@Lx(+)
g4	chr1:99805228-99805279	LINE@Lx8b(+), LINE@L1_Mus1(-)
g4	chr1:100206247-100206280	LINE@L1_Mus2(+)
g4	chr1:100291858-100291888	LINE@Lx8b(-), LTR@RLTR1D(-)
g4	chr1:100706854-100706904	LINE@L1Md_F3(+)
g4	chr1:100731123-100731156	LINE@L1_Mus2(+), LTR@ORR1A2(+)
g4	chr1:101021154-101021194	LINE@L1_Mus2(-), LINE@L1_Mus2(-), LTR@ORR1E(-)
g4	chr1:101069677-101069701	LINE@L1_Mus2(+), LTR@RMER15(+)
g4	chr1:101577317-101577352	LTR@ORR1C2-int(+), LINE@L1_Mus2(-)
g4	chr1:102540640-102540706	LINE@L1Md_T(+), LTR@IAPEY3_LTR(+)
g4	chr1:102828218-102828249	LINE@L1_Mus1(-), LINE@L1_Mus1(-)
g4	chr1:102989765-102989808	LINE@L1Md_A(+)
g4	chr1:104002454-104002484	LTR@RMER17A(-)
g4	chr1:104013073-104013095	LINE@L1Md_F2(-)
