Flipon	Coordinates	Gene Name	Gene Strand	Gene Feature	miRNA (+)	miRNA (-)	miRNA (intersection)	cCRE (+-200bp)	LINE/LTR (+-200bp)	Feature Group
g4	chr1:14506816-14506880	Eya1	-	Distal Intergenic	miR-744 (2)			dELS@EM10E0432322, dELS@EM10E0432323		cCRE
g4	chr1:14854465-14854486	Rpl5-ps1	+	Distal Intergenic		miR-486 (1), miR-504 (1)			LINE@L1_Mus1(+), LTR@MLT2D(+)	LINE/LTR
g4	chr1:15892797-15892832	Sbspon	-	Promoter (<=1kb)	miR-183 (1), miR-330 (1), miR-760 (1)	miR-296 (1)		PLS@EM10E0432402, pELS@EM10E0432403		cCRE
g4	chr1:16093043-16093072	4930444P10Rik	-	Promoter (<=1kb)	miR-34/449 (1)			pELS@EM10E0432420, PLS@EM10E0432421		cCRE
g4	chr1:16291601-16291637	Gm7568	+	Intron		miR-532 (1)			LINE@Lx2(+), LINE@Lx2(+)	LINE/LTR
g4	chr1:16503405-16503429	Stau2	-	Intron		miR-122 (1)				
g4	chr1:17634197-17634228	Gm28154	-	Intron		miR-296 (1)			LINE@L1_Mus3(+), LTR@RMER17A(-)	LINE/LTR
g4	chr1:17966425-17966491	Gm7690	+	Distal Intergenic		miR-328 (1)			LINE@L1Md_T(+), LTR@RLTR10(+)	LINE/LTR
g4	chr1:18406724-18406791	Defb41	-	Distal Intergenic		miR-504 (1), miR-532 (1)			LINE@L1_Mus2(+)	LINE/LTR
g4	chr1:18510818-18510872	Gm5252	+	Distal Intergenic		miR-486 (1)			LINE@L1_Mus1(-), LINE@L1_Mus1(+)	LINE/LTR
g4	chr1:18830747-18830794	Gm5252	+	Distal Intergenic		miR-532 (1), miR-874 (1)			LINE@L1_Mus2(+)	LINE/LTR
g4	chr1:20061413-20061453	Gm37315	-	Intron		miR-185 (1)				
g4	chr1:20253815-20253849	4930486I03Rik	+	Intron	miR-339 (1)	miR-423 (1)			LINE@Lx(-)	LINE/LTR
g4	chr1:20552486-20552513	Pkhd1	-	Intron		miR-185 (1)			LTR@RLTR10A(+)	LINE/LTR
g4	chr1:22020248-22020269	Gm5696	-	Distal Intergenic		miR-133 (1), miR-532 (1)			LINE@Lx3_Mus(+), LINE@Lx3_Mus(-)	LINE/LTR
g4	chr1:22084753-22084826	Gm5696	-	Distal Intergenic		miR-328 (1), miR-329/362 (1)			LINE@L1Md_F2(+)	LINE/LTR
g4	chr1:22120728-22120768	Gm5696	-	Distal Intergenic	miR-185 (1), miR-299 (1), miR-491 (1)				LTR@RMER17D2(-), LTR@RMER17D2(-)	LINE/LTR
g4	chr1:22280910-22280964	Rims1	-	Distal Intergenic	let-7/miR-98 (1)				LTR@RMER17C(-), LTR@RMER17C(-)	LINE/LTR
g4	chr1:22560241-22560307	Rims1	-	Intron		miR-328 (1)			LINE@L1_Mus1(+), LINE@L1Md_T(+), LINE@L1_Mus1(+)	LINE/LTR
g4	chr1:22805426-22805460	Rims1	-	Promoter (<=1kb)		miR-423 (1)		pELS@EM10E0432984, pELS@EM10E0432985		cCRE
g4	chr1:22806070-22806115	Rims1	-	Promoter (<=1kb)	miR-744 (1)			PLS@EM10E0432986, pELS@EM10E0432987		cCRE
g4	chr1:23010557-23010582	Gm7761	-	Distal Intergenic	miR-551 (1)				LTR@RLTR11B(-), LINE@L1_Mus2(-)	LINE/LTR
g4	chr1:23428813-23428835	Ogfrl1	-	Distal Intergenic	miR-330 (1)				LINE@Lx(-)	LINE/LTR
g4	chr1:23761872-23761899	B3gat2	+	Promoter (<=1kb)		miR-744 (1)		PLS@EM10E0433094, PLS (CTCF-bound)@EM10E0433095		cCRE & CTCF
g4	chr1:23763250-23763298	B3gat2	+	Promoter (1-2kb)		miR-329/362 (1)		pELS (CTCF-bound)@EM10E0433098, pELS@EM10E0433099		cCRE & CTCF
g4	chr1:24447888-24447909	Col19a1	-	Intron	miR-330 (1)				LINE@L1_Mus3(-), LINE@L1_Mus3(+)	LINE/LTR
g4	chr1:24631070-24631106	Gm29216	-	Distal Intergenic	miR-185 (1)				LTR@ORR1C2(-), LTR@ORR1C2(-)	LINE/LTR
g4	chr1:24829026-24829060	Gm28594	-	Distal Intergenic	miR-874 (1)				LINE@L1_Mus1(-)	LINE/LTR
g4	chr1:25830398-25830433	Gm9884	+	Promoter (<=1kb)		miR-151a (1)		pELS (CTCF-bound)@EM10E0433304, PLS@EM10E0433305		cCRE & CTCF
g4	chr1:26178351-26178403	Gm18443	-	Distal Intergenic	miR-296 (1)				LINE@L1Md_F2(+), LINE@L1Md_F2(-)	LINE/LTR
g4	chr1:26189276-26189312	Gm18443	-	Distal Intergenic	miR-491 (1)				LINE@L1_Mus1(+), LINE@L1M2(-)	LINE/LTR
g4	chr1:26388980-26389004	Gm19123	+	Distal Intergenic	miR-188 (1)				LINE@L1_Mus3(-)	LINE/LTR
g4	chr1:26792895-26792936	4931408C20Rik	-	Distal Intergenic	miR-365 (1)				LINE@L1_Mus2(-)	LINE/LTR
g4	chr1:27024201-27024227	n-R5s209	-	Distal Intergenic		miR-532 (1)			LINE@L1_Mus1(+), LINE@Lx8b(-)	LINE/LTR
g4	chr1:27571513-27571567	Gm19641	-	Distal Intergenic	miR-874 (1)				LINE@L1_Mus1(-)	LINE/LTR
g4	chr1:27730930-27730957	Gm5524	+	Distal Intergenic	miR-339 (1)				LTR@RLTR6-int(+)	LINE/LTR
g4	chr1:27731001-27731025	Gm5524	+	Distal Intergenic	miR-24 (1)	miR-125 (1)			LTR@RLTR6-int(+)	LINE/LTR
g4	chr1:28090007-28090032	Gm19028	+	Distal Intergenic		miR-185 (1)				
g4	chr1:28090043-28090068	Gm19028	+	Distal Intergenic		miR-185 (1)				
g4	chr1:28090077-28090141	Gm19028	+	Distal Intergenic	miR-339 (1)	miR-185 (2)				
g4	chr1:28090156-28090209	Gm19028	+	Distal Intergenic	miR-339 (1)	miR-185 (2)				
g4	chr1:28090380-28090475	Gm19028	+	Distal Intergenic	miR-339 (2)	miR-185 (3)				
g4	chr1:28090518-28090569	Gm19028	+	Distal Intergenic	miR-339 (1)	miR-423 (2)				
g4	chr1:28392431-28392485	Gm38089	+	Distal Intergenic	miR-122 (1)				LINE@L1_Mus1(+), LINE@L1_Rod(-)	LINE/LTR
g4	chr1:28574195-28574217	Gm38089	+	Distal Intergenic		miR-532 (1)			LINE@Lx3A(+), LINE@L1_Mus3(+)	LINE/LTR
g4	chr1:29048981-29049030	Gm6462	+	Distal Intergenic		miR-328 (1), miR-331 (1)			LINE@L1_Mus2(+), LTR@MTB_Mm(-), LINE@L1_Mus2(-)	LINE/LTR
g4	chr1:31902929-31902949	Gm7910	+	Distal Intergenic		miR-296 (1)			LINE@L1_Mus4(-)	LINE/LTR
g4	chr1:33380257-33380291	Gm7933	+	Distal Intergenic		miR-491 (1)			LINE@L1_Mur2(-), LINE@L1_Mus3(-)	LINE/LTR
g4	chr1:33907594-33907623	Bend6	-	Promoter (<=1kb)	miR-24 (1)	miR-125 (1)		PLS (CTCF-bound)@EM10E0433615		cCRE & CTCF
g4	chr1:33908188-33908217	Dst	+	Promoter (<=1kb)		miR-744 (2)		PLS@EM10E0433616, PLS@EM10E0433617		cCRE
g4	chr1:34236630-34236659	Dst	+	Promoter (<=1kb)	miR-615 (1)			dELS (CTCF-bound)@EM10E0433774		cCRE & CTCF
g4	chr1:34778066-34778092	Arhgef4	+	Intron	miR-129 (1)				LTR@RMER17D2(+)	LINE/LTR
g4	chr1:35706657-35706689	Gm25634	+	Distal Intergenic	miR-185 (1)				LTR@RMER17B(-)	LINE/LTR
g4	chr1:35763483-35763524	Gm25634	+	Promoter (1-2kb)	miR-193 (1)	miR-744 (1)				
g4	chr1:36012173-36012203	4930535G08Rik	+	Promoter (1-2kb)	miR-185 (1)	miR-339 (1)		pELS@EM10E0434135	LTR@RMER17C(-)	cCRE & LINE/LTR
g4	chr1:36018871-36018907	4930535G08Rik	+	Distal Intergenic	miR-532 (1)			dELS@EM10E0434147	LTR@ORR1A4(-)	cCRE & LINE/LTR
g4	chr1:36557280-36557301	Sema4c	-	Promoter (<=1kb)		miR-1249 (1)		pELS (CTCF-bound)@EM10E0434407, PLS (CTCF-bound)@EM10E0434408		cCRE & CTCF
g4	chr1:36779558-36779605	Zap70	+	Promoter (<=1kb)		miR-150 (1)				
g4	chr1:37204025-37204049	Cnga3	+	Distal Intergenic		miR-1306 (1), miR-532 (1)			LINE@Lx3A(+), LTR@RLTR12H(+)	LINE/LTR
g4	chr1:37392184-37392219	Inpp4a	+	Intron	miR-204/211 (1)				LTR@ORR1F(-), LTR@RMER17B2(+), LTR@RMER17B2(+), LTR@ORR1F(-)	LINE/LTR
g4	chr1:37413176-37413211	Coa5	-	Distal Intergenic	miR-532 (1)				LTR@RMER17B(+), LTR@RMER17B(+)	LINE/LTR
g4	chr1:37606656-37606680	4930556I23Rik	+	Distal Intergenic	miR-1306 (1)				LTR@MLT1F1(-)	LINE/LTR
g4	chr1:37719191-37719216	2010300C02Rik	-	Promoter (<=1kb)	miR-339 (1)			pELS (CTCF-bound)@EM10E0434926, pELS@EM10E0434927		cCRE & CTCF
g4	chr1:39192880-39192901	Npas2	+	Promoter (<=1kb)	miR-34/449 (1)			pELS (CTCF-bound)@EM10E0435326		cCRE & CTCF
g4	chr1:39194098-39194130	Npas2	+	Promoter (<=1kb)	miR-744 (1)			PLS (CTCF-bound)@EM10E0435329		cCRE & CTCF
g4	chr1:39460351-39460397	Tbc1d8	-	Intron	miR-134 (1), miR-299 (1)	miR-532 (1)			LINE@Lx4A(+), LTR@MER57C2(-)	LINE/LTR
g4	chr1:39721029-39721054	Rfx8	-	Promoter (<=1kb)		miR-324 (1), miR-338 (1), miR-532 (1)		PLS (CTCF-bound)@EM10E0435571, PLS@EM10E0435572		cCRE & CTCF
g4	chr1:40063843-40063873	Il1r2	+	Distal Intergenic		miR-185 (1)			LTR@RMER17C(+)	LINE/LTR
g4	chr1:40326226-40326255	Il1rl2	+	Promoter (<=1kb)	miR-150 (1), miR-339 (1)	miR-491 (1)		DNase-H3K4me3@EM10E0435838, DNase-H3K4me3@EM10E0435839		cCRE
g4	chr1:40475564-40475597	Il18r1	+	Intron	miR-185 (3)			dELS@EM10E0435893		cCRE
g4	chr1:40681525-40681564	Slc9a2	+	Promoter (<=1kb)		miR-744 (1)		PLS@EM10E0435927, pELS@EM10E0435928, pELS@EM10E0435926		cCRE
g4	chr1:41195678-41195720	4930448I06Rik	-	Distal Intergenic	miR-873 (1)				LINE@Lx(-)	LINE/LTR
g4	chr1:42048427-42048458	Gm5267	+	Distal Intergenic	miR-188 (1)				LTR@MTD(-), LINE@L1_Mus4(-), LTR@MTD(-)	LINE/LTR
g4	chr1:42684460-42684493	Pantr1	-	Intron	miR-874 (2)	miR-744 (1)		dELS (CTCF-bound)@EM10E0436153, dELS@EM10E0436154		cCRE & CTCF
g4	chr1:42694863-42694878	Pantr1	-	Promoter (<=1kb)		miR-532 (1)		PLS (CTCF-bound)@EM10E0436174, PLS@EM10E0436175		cCRE & CTCF
g4	chr1:42714589-42714639	Pantr2	-	Promoter (1-2kb)		miR-299 (1)		pELS (CTCF-bound)@EM10E0436212		cCRE & CTCF
g4	chr1:43200876-43200895	Fhl2	-	Distal Intergenic	miR-185 (1)					
g4	chr1:43730772-43730793	Ecrg4	+	Promoter (<=1kb)	miR-10 (1)	miR-140 (1)		PLS (CTCF-bound)@EM10E0436539		cCRE & CTCF
g4	chr1:45218873-45218905	Gm5268	+	Distal Intergenic	miR-874 (1)				LINE@Lx3A(-), LINE@L1_Mus1(-), LINE@Lx3_Mus(-)	LINE/LTR
g4	chr1:46088789-46088855	Dnah7b	+	Intron	miR-185 (1)					
g4	chr1:46089143-46089195	Dnah7b	+	Intron	miR-744 (1)					
g4	chr1:46463703-46463728	Dnah7c	+	Intron	miR-185 (1)					
g4	chr1:46724605-46724659	Dnah7c	+	Intron		miR-874 (1)			LINE@L1_Mus2(+)	LINE/LTR
g4	chr1:46751377-46751408	Slc39a10	-	Intron	miR-122 (1)				LTR@ORR1A4-int(+), LINE@L1Md_F2(+), LINE@L1Md_A(+)	LINE/LTR
g4	chr1:47008706-47008742	Gm28825	+	Distal Intergenic		miR-532 (1)			LTR@MMERGLN_LTR(-)	LINE/LTR
g4	chr1:47407812-47407833	Gm38090	-	Distal Intergenic	miR-339 (1)	miR-7 (1)			LINE@Lx3B(-)	LINE/LTR
g4	chr1:48026400-48026477	Gm19206	-	Distal Intergenic		miR-328 (1), miR-532 (1)			LINE@L1Md_F2(+), LINE@L1M3(+)	LINE/LTR
g4	chr1:48150609-48150659	Gm5974	-	Distal Intergenic		miR-122 (1)			LTR@MTA_Mm(-), LINE@L1Md_F2(-)	LINE/LTR
g4	chr1:49547847-49547886	Gm28388	-	Distal Intergenic	miR-491 (1)				LINE@L1_Mus2(+)	LINE/LTR
g4	chr1:50461797-50461863	Gm29665	-	Distal Intergenic		miR-328 (1)			LINE@L1Md_T(+), LTR@MTE2b(-)	LINE/LTR
g4	chr1:50738997-50739063	Gm28321	+	Distal Intergenic		miR-328 (1)			LINE@L1Md_T(+), LINE@L1_Mus2(+)	LINE/LTR
g4	chr1:51721223-51721252	Gm28055	-	Intron	miR-328 (1), miR-339 (1)				LINE@Lx(-), LINE@L1_Mus2(-)	LINE/LTR
g4	chr1:52327188-52327254	Gm5975	-	Distal Intergenic	miR-328 (1)				LTR@MLT1B(+), LINE@L1Md_F2(-)	LINE/LTR
g4	chr1:52783201-52783236	Inpp1	-	Distal Intergenic	miR-342 (1)				LTR@RMER17B(+), LINE@Lx3B(+)	LINE/LTR
g4	chr1:53126420-53126447	Gm24349	+	Distal Intergenic	miR-483 (1)				LINE@Lx3A(-)	LINE/LTR
g4	chr1:53388882-53388905	Gm6801	+	Promoter (1-2kb)	miR-296 (1)	miR-296 (1), miR-504 (1)	miR-296		LTR@MMVL30-int(-)	LINE/LTR
g4	chr1:53803925-53803948	Gm37863	+	Distal Intergenic	miR-532 (1)				LINE@L1MC3(-), LINE@Lx(-), LINE@L1MC3(-)	LINE/LTR
g4	chr1:53863431-53863470	Hecw2	-	Intron		miR-185 (1)			LTR@RMER17C(+)	LINE/LTR
g4	chr1:53883263-53883285	Gm24251	-	Intron	miR-204/211 (1)	miR-185 (1)				
g4	chr1:55112459-55112482	Gm5147	-	Distal Intergenic		miR-532 (1)			LINE@Lx6(-), LTR@RMER17B2(-), LTR@RMER17B2(-)	LINE/LTR
g4	chr1:56259781-56259810	Gm28900	+	Distal Intergenic	miR-330 (1)				LINE@L1_Mus3(-)	LINE/LTR
g4	chr1:56784557-56784582	Hsfy2	-	Distal Intergenic	miR-185 (1)				LTR@RMER17D2(-)	LINE/LTR
g4	chr1:57626655-57626699	Gm17929	-	Distal Intergenic	miR-1306 (1), miR-532 (1), miR-874 (1)				LINE@Lx(-)	LINE/LTR
g4	chr1:57722602-57722666	Spats2l	+	Distal Intergenic	miR-328 (1)				LINE@MusHAL1(+), LINE@MusHAL1(+), LINE@L1Md_F2(-)	LINE/LTR
g4	chr1:57775369-57775395	Spats2l	+	Promoter (<=1kb)		miR-874 (1)		pELS (CTCF-bound)@EM10E0438211, pELS (CTCF-bound)@EM10E0438212		cCRE & CTCF
g4	chr1:58650604-58650640	Gm20257	+	Promoter (2-3kb)	miR-532 (1)				LTR@MMERGLN-int(+), LTR@MMERGLN_LTR(+)	LINE/LTR
g4	chr1:59947623-59947643	Gm18829	-	Intron		miR-330 (1)			LINE@Lx2(+)	LINE/LTR
g4	chr1:59947843-59947873	Gm18829	-	Intron		miR-1306 (1)			LINE@Lx2(+), LTR@RLTR10C(-)	LINE/LTR
g4	chr1:60350378-60350403	6030460B20Rik	+	Promoter (2-3kb)		miR-1306 (1)			LTR@RLTR1B(-)	LINE/LTR
g4	chr1:60410037-60410058	Abi2	+	Promoter (<=1kb)		miR-339 (1)		pELS (CTCF-bound)@EM10E0439021		cCRE & CTCF
g4	chr1:60566347-60566372	Raph1	-	Promoter (<=1kb)		miR-744 (1)		pELS@EM10E0439043, pELS (CTCF-bound)@EM10E0439044		cCRE & CTCF
g4	chr1:60567138-60567160	Raph1	-	Promoter (<=1kb)	miR-328 (1)			PLS (CTCF-bound)@EM10E0439045, pELS (CTCF-bound)@EM10E0439046		cCRE & CTCF
g4	chr1:61361870-61361963	9530026F06Rik	+	Distal Intergenic		miR-299 (1), miR-491 (1)			LINE@L1Md_F2(-)	LINE/LTR
g4	chr1:62680352-62680426	Gm11599	+	Distal Intergenic		miR-328 (1)			LINE@L1Md_F2(+)	LINE/LTR
g4	chr1:63248415-63248446	1700039I01Rik	-	Promoter (<=1kb)		miR-127 (1)		pELS@EM10E0439713, PLS@EM10E0439714, pELS@EM10E0439715		cCRE
g4	chr1:63309427-63309509	Gm23448	-	Exon	miR-296 (1)	miR-744 (1)				
g4	chr1:63309578-63309620	Gm23448	-	Exon	miR-532 (1)			DNase-H3K4me3@EM10E0439740		cCRE
g4	chr1:63446138-63446164	Adam23	+	Promoter (<=1kb)		miR-744 (1)		PLS (CTCF-bound)@EM10E0439756, pELS (CTCF-bound)@EM10E0439757		cCRE & CTCF
g4	chr1:64012210-64012235	Mir6899	-	Distal Intergenic		miR-423 (1)			LTR@RMER13B(-)	LINE/LTR
g4	chr1:64736992-64737024	Fzd5	-	Promoter (<=1kb)		miR-34/449 (1)		pELS@EM10E0440062, pELS@EM10E0440063		cCRE
g4	chr1:65470642-65470708	Gm28922	-	Promoter (<=1kb)	miR-328 (1)				LINE@L1Md_A(-)	LINE/LTR
g4	chr1:65495214-65495247	Gm28922	-	Distal Intergenic		miR-330 (1)			LINE@Lx(+)	LINE/LTR
g4	chr1:65573912-65573935	Gm8805	+	Distal Intergenic		miR-330 (1)			LINE@Lx(+)	LINE/LTR
g4	chr1:65598624-65598669	Gm8805	+	Distal Intergenic	miR-331 (1)				LINE@Lx(-)	LINE/LTR
g4	chr1:65598687-65598711	Gm8805	+	Distal Intergenic	miR-532 (1)				LINE@Lx(-)	LINE/LTR
g4	chr1:66643444-66643492	Unc80	+	Intron		miR-875 (1)			LINE@L1_Mus2(-), LINE@L1_Mus2(+)	LINE/LTR
g4	chr1:66842521-66842551	Gm15793	-	Intron		miR-491 (1)			LINE@Lx(-)	LINE/LTR
g4	chr1:66842588-66842635	Gm15793	-	Intron		miR-381 (1), miR-491 (1)			LINE@Lx(-)	LINE/LTR
g4	chr1:67308934-67308961	Gm26342	+	Intron		miR-188 (1)			LINE@L1_Mus3(+)	LINE/LTR
g4	chr1:68177432-68177470	Gm37100	-	Intron	miR-874 (1)				LINE@L1_Mus3(-)	LINE/LTR
g4	chr1:68559022-68559071	Gm19335	-	Intron		miR-532 (1)			LINE@Lx2B2(+)	LINE/LTR
g4	chr1:68573772-68573806	Gm19335	-	Intron		miR-329/362 (1)			LINE@L1_Mus2(+), LTR@ORR1E(-)	LINE/LTR
g4	chr1:69107580-69107607	Erbb4	-	Promoter (<=1kb)	miR-423 (1), miR-542 (1)			PLS@EM10E0440463		cCRE
g4	chr1:69456887-69456908	Gm28497	+	Distal Intergenic	miR-296 (1)					
g4	chr1:69456948-69457005	Gm28497	+	Distal Intergenic	miR-296 (1)					
g4	chr1:69687479-69687497	Ikzf2	-	Promoter (<=1kb)	miR-423 (1)			PLS@EM10E0440558		cCRE
g4	chr1:70243503-70243532	Gm38272	-	Intron		miR-15/16/195/424/497 (1)			LINE@L1_Mus4(-)	LINE/LTR
g4	chr1:70675341-70675408	Vwc2l	+	Intron	miR-184 (3)					
g4	chr1:71863265-71863300	Gm37217	-	Distal Intergenic		miR-339 (1)			LTR@IAPLTR2b(+)	LINE/LTR
g4	chr1:72134672-72134690	Gm4319	-	Distal Intergenic		miR-532 (1)			LTR@ORR1D2(+), LTR@MTB(-)	LINE/LTR
g4	chr1:72477980-72478023	Gm15843	+	Intron		miR-493 (1)			LTR@RMER10B(+), LINE@L1_Mus1(-)	LINE/LTR
g4	chr1:72536491-72536521	Marchf4	-	Promoter (<=1kb)	miR-491 (1)			pELS (CTCF-bound)@EM10E0440958, pELS@EM10E0440959		cCRE & CTCF
g4	chr1:72873719-72873744	Igfbp5	-	Promoter (<=1kb)		miR-491 (1)		pELS@EM10E0441094, pELS (CTCF-bound)@EM10E0441095		cCRE & CTCF
g4	chr1:73396505-73396526	D530049I02Rik	+	Promoter (2-3kb)		miR-491 (1)			LTR@MTB(+), LTR@ORR1D2(-)	LINE/LTR
g4	chr1:73986564-73986588	Tns1	-	Promoter (<=1kb)		miR-134 (1)		dELS (CTCF-bound)@EM10E0441351		cCRE & CTCF
g4	chr1:74068167-74068195	Tns1	-	Intron	miR-1306 (1)			dELS@EM10E0441430		cCRE
g4	chr1:74099397-74099437	Tns1	-	Promoter (<=1kb)	miR-504 (1)	miR-423 (1)		dELS@EM10E0441465		cCRE
g4	chr1:74099632-74099683	Tns1	-	Promoter (<=1kb)		miR-17/20/93/106/519d (1)		dELS@EM10E0441465		cCRE
g4	chr1:74124677-74124733	Tns1	-	Promoter (<=1kb)	miR-423 (1)			PLS (CTCF-bound)@EM10E0441487, pELS (CTCF-bound)@EM10E0441488		cCRE & CTCF
g4	chr1:74409048-74409083	Vil1	+	Promoter (<=1kb)		miR-744 (1)		pELS (CTCF-bound)@EM10E0441675, PLS@EM10E0441676		cCRE & CTCF
g4	chr1:74647760-74647802	Ttll4	+	Distal Intergenic	miR-138 (1)	miR-483 (1)			LTR@MERVL-int(+), LTR@RMER17A2(-)	LINE/LTR
g4	chr1:74771816-74771849	Wnt6	+	Promoter (<=1kb)	miR-339 (1)			DNase-H3K4me3@EM10E0441778, pELS@EM10E0441779		cCRE
g4	chr1:74771858-74771885	Wnt6	+	Promoter (<=1kb)	miR-532 (1)			DNase-H3K4me3@EM10E0441778, pELS@EM10E0441779		cCRE
g4	chr1:74784104-74784134	Wnt6	+	Promoter (1-2kb)	miR-1249 (1)	miR-744 (1)		DNase-H3K4me3 (CTCF-bound)@EM10E0441793, DNase-H3K4me3 (CTCF-bound)@EM10E0441794		cCRE & CTCF
g4	chr1:74885217-74885261	Fev	-	Promoter (<=1kb)	miR-183 (1)	miR-532 (1)		pELS@EM10E0441874, PLS@EM10E0441875		cCRE
g4	chr1:74885361-74885393	Fev	-	Promoter (<=1kb)		miR-504 (1)		PLS@EM10E0441875		cCRE
g4	chr1:74885573-74885601	Fev	-	Promoter (<=1kb)		miR-744 (1)		PLS@EM10E0441875, DNase-H3K4me3@EM10E0441876		cCRE
g4	chr1:74951511-74951557	Ihh	-	Promoter (<=1kb)	miR-744 (1)			pELS (CTCF-bound)@EM10E0441909, PLS@EM10E0441910, PLS (CTCF-bound)@EM10E0441911		cCRE & CTCF
g4	chr1:75252907-75252955	Gm28294	+	Promoter (<=1kb)	miR-1306 (1), miR-483 (2), miR-532 (1)	miR-491 (1)				
g4	chr1:75375932-75375963	Speg	+	Promoter (<=1kb)	miR-296 (1)			pELS@EM10E0442103		cCRE
g4	chr1:75381893-75381923	Speg	+	Promoter (<=1kb)		miR-129 (1), miR-204/211 (1)		pELS (CTCF-bound)@EM10E0442107, PLS@EM10E0442108		cCRE & CTCF
