Gene ID	Gene Name	Gene Type	g4	h-dna	sidd	z-dna	Flipon types
ENSMUSG00000103015.1	Gm37549	TEC			1.0	1.0	SZ
ENSMUSG00000103053.1	Gm38271	TEC		1.0			H
ENSMUSG00000103195.1	Gm37644	TEC				1.0	Z
ENSMUSG00000104605.1	Gm42922	TEC	1.0			6.0	GZ
ENSMUSG00000103324.1	Gm37402	TEC				5.0	Z
ENSMUSG00000103376.1	Gm37179	TEC	2.0			1.0	GZ
ENSMUSG00000104516.1	Gm9884	TEC	2.0			3.0	GZ
ENSMUSG00000103466.1	Gm37247	TEC				1.0	Z
ENSMUSG00000103486.1	Gm10657	TEC				1.0	Z
ENSMUSG00000104429.1	2610034O05Rik	TEC	2.0				G
ENSMUSG00000104868.1	Gm9954	TEC	1.0				G
ENSMUSG00000104376.1	Gm37516	TEC	1.0				G
ENSMUSG00000104330.1	Gm38285	TEC	1.0		1.0	1.0	GSZ
ENSMUSG00000104299.1	Gm9924	TEC				3.0	Z
ENSMUSG00000103563.1	8030445P17Rik	TEC	1.0				G
ENSMUSG00000103608.1	4930442P19Rik	TEC	1.0	1.0	1.0	5.0	GHSZ
ENSMUSG00000104094.1	Gm37314	TEC		1.0			H
ENSMUSG00000104061.1	Gm37953	TEC			1.0		S
ENSMUSG00000104051.1	Gm38128	TEC				1.0	Z
ENSMUSG00000104036.1	Gm37775	TEC			1.0		S
ENSMUSG00000104025.1	E330040D14Rik	TEC				1.0	Z
ENSMUSG00000103710.1	D030062O11Rik	TEC	1.0		1.0	1.0	GSZ
ENSMUSG00000103830.1	Gm37609	TEC			1.0	1.0	SZ
ENSMUSG00000103494.1	Gm37410	TEC				1.0	Z
ENSMUSG00000102963.1	Gm37945	TEC			1.0		S
ENSMUSG00000102934.1	Gm38117	TEC				3.0	Z
ENSMUSG00000104901.1	Gm42692	TEC			1.0		S
ENSMUSG00000115641.1	Gm9891	TEC		1.0			H
ENSMUSG00000102470.1	Gm37244	TEC	1.0				G
ENSMUSG00000102536.1	1700039I01Rik	TEC	1.0			1.0	GZ
ENSMUSG00000105741.1	C79130	TEC	1.0				G
ENSMUSG00000102599.1	Gm38386	TEC		2.0			H
ENSMUSG00000102605.1	Gm37264	TEC				1.0	Z
ENSMUSG00000102615.1	Gm37844	TEC				9.0	Z
ENSMUSG00000105555.1	Gm43856	TEC			1.0		S
ENSMUSG00000105442.1	Gm42614	TEC			1.0		S
ENSMUSG00000102673.1	Gm37437	TEC				1.0	Z
ENSMUSG00000102684.1	Gm37374	TEC		1.0			H
ENSMUSG00000102701.1	9430083B18Rik	TEC			1.0		S
ENSMUSG00000102705.2	4632432E15Rik	TEC				1.0	Z
ENSMUSG00000105284.1	Gm42693	TEC				1.0	Z
ENSMUSG00000105261.1	Gm43333	TEC	1.0	1.0			GH
ENSMUSG00000102759.1	Gm10463	TEC	3.0			1.0	GZ
ENSMUSG00000102763.1	Gm37257	TEC	1.0	2.0			GH
ENSMUSG00000102766.1	Gm6420	TEC	1.0	1.0		4.0	GHZ
ENSMUSG00000105112.1	Gm42778	TEC	1.0			4.0	GZ
ENSMUSG00000102803.1	Gm37477	TEC	2.0	1.0	1.0	2.0	GHSZ
ENSMUSG00000054450.1	Gm9945	TEC	1.0				G
ENSMUSG00000105036.1	1110060G06Rik	TEC				4.0	Z
ENSMUSG00000102876.1	Gm37136	TEC	2.0			1.0	GZ
ENSMUSG00000104964.1	4930597L12Rik	TEC				1.0	Z
ENSMUSG00000102900.1	Gm37811	TEC	1.0			2.0	GZ
ENSMUSG00000102303.1	Gm38191	TEC		2.0			H
ENSMUSG00000115647.1	Gm49265	TEC	1.0		1.0		GS
ENSMUSG00000103755.1	Gm37805	TEC				1.0	Z
ENSMUSG00000116882.1	Gm49614	TEC		1.0			H
ENSMUSG00000116682.1	Gm49789	TEC				2.0	Z
ENSMUSG00000076888.1	Traj42	TR_J_gene		1.0			H
ENSMUSG00000076887.1	Traj43	TR_J_gene				1.0	Z
ENSMUSG00000076750.6	Trgv3	TR_V_gene			1.0		S
ENSMUSG00000092251.3	Trav9n-1	TR_V_pseudogene				1.0	Z
ENSMUSG00000116125.1	Gm41361	antisense	2.0			6.0	GZ
ENSMUSG00000086067.1	Gm16183	antisense	1.0				G
ENSMUSG00000097915.2	A330009N23Rik	antisense	1.0				G
ENSMUSG00000097911.2	Gm26691	antisense	3.0	2.0		2.0	GHZ
ENSMUSG00000117004.1	Gm38593	antisense	1.0			1.0	GZ
ENSMUSG00000108832.1	Gm44832	antisense				1.0	Z
ENSMUSG00000097903.2	Gm26679	antisense				1.0	Z
ENSMUSG00000052371.5	Hoxd3os1	antisense	1.0			1.0	GZ
ENSMUSG00000097887.2	Gm26542	antisense	1.0				G
ENSMUSG00000108934.1	Gm44732	antisense	3.0			2.0	GZ
ENSMUSG00000097825.5	9630001P10Rik	antisense				1.0	Z
ENSMUSG00000097847.1	4930478K11Rik	antisense	2.0			4.0	GZ
ENSMUSG00000097840.1	Gm26756	antisense	2.0			6.0	GZ
ENSMUSG00000108624.1	Gm45091	antisense	1.0			7.0	GZ
ENSMUSG00000097794.2	Gm2990	antisense	2.0				G
ENSMUSG00000086112.1	4930563I02Rik	antisense	1.0				G
ENSMUSG00000097788.2	Gm16596	antisense	2.0	1.0		1.0	GHZ
ENSMUSG00000109307.1	Gm44700	antisense	4.0			2.0	GZ
ENSMUSG00000097762.1	4732463B04Rik	antisense				4.0	Z
ENSMUSG00000109341.1	Gm30873	antisense		1.0			H
ENSMUSG00000086108.2	Gm5602	antisense	1.0			1.0	GZ
ENSMUSG00000108613.1	Gm36694	antisense			1.0		S
ENSMUSG00000086043.1	Gm12473	antisense				1.0	Z
ENSMUSG00000098129.1	Gm27040	antisense				3.0	Z
ENSMUSG00000107766.1	Gm44073	antisense		1.0			H
ENSMUSG00000099969.1	Gm28960	antisense	1.0	1.0			GH
ENSMUSG00000099928.1	Gm29202	antisense	3.0			2.0	GZ
ENSMUSG00000117053.1	A730049N16Rik	antisense	1.0				G
ENSMUSG00000052629.5	Gm9885	antisense			1.0	1.0	SZ
ENSMUSG00000099874.1	Gm29629	antisense			1.0	2.0	SZ
ENSMUSG00000099635.1	Gm28528	antisense		1.0		1.0	HZ
ENSMUSG00000099472.1	Gm29539	antisense		1.0			H
ENSMUSG00000099354.6	1700124L16Rik	antisense				1.0	Z
ENSMUSG00000020164.7	Kcnmb4os1	antisense		1.0			H
ENSMUSG00000108523.1	4933430L12Rik	antisense				2.0	Z
ENSMUSG00000098760.1	Gm2164	antisense	2.0			6.0	GZ
ENSMUSG00000098729.1	Gm27200	antisense		1.0			H
ENSMUSG00000108171.1	Gm43915	antisense	1.0			1.0	GZ
ENSMUSG00000108175.1	Gm16499	antisense				2.0	Z
ENSMUSG00000108190.1	Gm44731	antisense	1.0				G
ENSMUSG00000098649.2	Gm27199	antisense	1.0			2.0	GZ
ENSMUSG00000023737.14	1700082M22Rik	antisense			1.0		S
ENSMUSG00000108351.1	Gm36736	antisense	1.0			3.0	GZ
ENSMUSG00000052403.11	Fcnaos	antisense	1.0			1.0	GZ
ENSMUSG00000098383.1	Gm27197	antisense				2.0	Z
ENSMUSG00000097761.1	4930534D22Rik	antisense				1.0	Z
ENSMUSG00000108079.1	Gm44210	antisense				1.0	Z
ENSMUSG00000052188.6	Gm14964	antisense	5.0	2.0	1.0	2.0	GHSZ
ENSMUSG00000097745.1	AI115009	antisense			1.0	1.0	SZ
ENSMUSG00000100209.1	Gm28793	antisense			1.0	1.0	SZ
ENSMUSG00000097440.2	Gm6277	antisense	2.0			5.0	GZ
ENSMUSG00000097433.1	Gm26781	antisense				1.0	Z
ENSMUSG00000110373.1	Gm42303	antisense		2.0		2.0	HZ
ENSMUSG00000110410.1	4933421D24Rik	antisense			1.0		S
ENSMUSG00000097414.2	B130046B21Rik	antisense	3.0			1.0	GZ
ENSMUSG00000086155.7	9430041J12Rik	antisense	2.0				G
ENSMUSG00000110475.1	Gm31036	antisense	1.0				G
ENSMUSG00000097406.1	Gm26833	antisense				3.0	Z
ENSMUSG00000097405.1	D630044L22Rik	antisense	2.0			1.0	GZ
ENSMUSG00000097386.1	9130213A22Rik	antisense	8.0			3.0	GZ
ENSMUSG00000110611.1	Gm20163	antisense				1.0	Z
ENSMUSG00000097379.2	Gm26873	antisense	1.0				G
ENSMUSG00000097315.1	Gm26568	antisense				1.0	Z
ENSMUSG00000097305.2	Gm17276	antisense	1.0			1.0	GZ
ENSMUSG00000097288.1	Gm2155	antisense				2.0	Z
ENSMUSG00000110692.1	Gm33460	antisense		1.0			H
ENSMUSG00000116764.1	Gm49748	antisense	1.0			1.0	GZ
ENSMUSG00000097256.1	Gm26769	antisense		3.0			H
ENSMUSG00000110831.1	Gm48159	antisense		1.0			H
ENSMUSG00000097250.1	Gm26771	antisense	1.0				G
ENSMUSG00000097209.2	AU022754	antisense	1.0			1.0	GZ
ENSMUSG00000110976.1	Gm48093	antisense		1.0			H
ENSMUSG00000086164.1	Gm13029	antisense	1.0				G
ENSMUSG00000097441.1	Gm26633	antisense	1.0			2.0	GZ
ENSMUSG00000097756.2	A730056A06Rik	antisense	1.0			1.0	GZ
ENSMUSG00000110258.1	Gm45406	antisense			1.0		S
ENSMUSG00000110236.1	Gm40493	antisense	2.0			1.0	GZ
ENSMUSG00000097726.7	9530036O11Rik	antisense	2.0		1.0	9.0	GSZ
ENSMUSG00000097710.2	2310026I22Rik	antisense				2.0	Z
ENSMUSG00000051638.2	Gm9857	antisense				1.0	Z
ENSMUSG00000109587.1	Gm31105	antisense				3.0	Z
ENSMUSG00000116913.1	Gm49566	antisense				2.0	Z
ENSMUSG00000097633.2	Gm16617	antisense	1.0				G
ENSMUSG00000109780.1	Gm45447	antisense	2.0				G
ENSMUSG00000097626.5	4921504A21Rik	antisense	2.0			2.0	GZ
ENSMUSG00000109847.1	Gm45278	antisense				1.0	Z
ENSMUSG00000109855.1	Gm45613	antisense	1.0				G
ENSMUSG00000086119.2	Gm2415	antisense	4.0			1.0	GZ
ENSMUSG00000097623.7	B230323A14Rik	antisense	2.0		1.0	1.0	GSZ
ENSMUSG00000109954.1	Gm45371	antisense	1.0			1.0	GZ
ENSMUSG00000097615.1	Gm2061	antisense				1.0	Z
ENSMUSG00000097593.2	Gm26676	antisense	2.0			6.0	GZ
ENSMUSG00000097575.2	Gm26796	antisense				10.0	Z
ENSMUSG00000097548.1	Gm26748	antisense	1.0				G
ENSMUSG00000110138.1	4831440D22Rik	antisense			1.0		S
ENSMUSG00000097535.1	Gm26592	antisense	1.0			1.0	GZ
ENSMUSG00000086389.1	Gm15998	antisense	2.0				G
ENSMUSG00000097520.2	4930488L21Rik	antisense	4.0			6.0	GZ
ENSMUSG00000097496.1	Gm26653	antisense				3.0	Z
ENSMUSG00000097482.2	Gm17634	antisense	1.0	1.0		1.0	GHZ
ENSMUSG00000086128.8	St8sia3os	antisense		1.0			H
ENSMUSG00000107384.1	Gm42557	antisense	1.0	4.0			GH
ENSMUSG00000107353.1	4930430O22Rik	antisense	2.0				G
ENSMUSG00000100320.1	Gm29417	antisense		1.0	1.0	1.0	HSZ
ENSMUSG00000085041.1	BB031773	antisense				4.0	Z
ENSMUSG00000054412.5	Gm4793	antisense	3.0				G
ENSMUSG00000104786.1	Gm43573	antisense	1.0			7.0	GZ
ENSMUSG00000085069.2	Prdm16os	antisense	2.0	1.0	1.0	3.0	GHSZ
ENSMUSG00000104850.1	Gm42901	antisense	1.0			1.0	GZ
ENSMUSG00000117992.1	Gm41760	antisense	1.0			1.0	GZ
ENSMUSG00000117987.1	Gm50222	antisense		1.0			H
ENSMUSG00000085134.1	Gm11659	antisense			1.0		S
ENSMUSG00000085185.10	BC028777	antisense				2.0	Z
ENSMUSG00000085207.1	Gm11767	antisense			1.0	1.0	SZ
ENSMUSG00000117893.1	Gm46658	antisense	1.0			2.0	GZ
ENSMUSG00000085224.2	Gm13425	antisense	1.0		1.0		GS
ENSMUSG00000117872.1	A530088E08Rik	antisense				4.0	Z
ENSMUSG00000085256.1	Dmrta2os	antisense	1.0			2.0	GZ
ENSMUSG00000085263.1	1700125G02Rik	antisense	1.0			5.0	GZ
ENSMUSG00000102774.1	Gm9748	antisense	1.0			5.0	GZ
ENSMUSG00000085319.1	Gm13330	antisense	2.0			2.0	GZ
ENSMUSG00000085322.2	Gm14261	antisense	1.0		1.0	4.0	GSZ
ENSMUSG00000085323.1	9130410C08Rik	antisense	1.0				G
ENSMUSG00000085333.1	1700030A11Rik	antisense	1.0				G
ENSMUSG00000117676.1	Gm50314	antisense	2.0				G
ENSMUSG00000105391.1	Gm43401	antisense		1.0			H
ENSMUSG00000117592.1	Gm46603	antisense	3.0			2.0	GZ
ENSMUSG00000103309.1	BC037039	antisense				1.0	Z
ENSMUSG00000085019.2	Pard3bos2	antisense		1.0			H
ENSMUSG00000084950.7	Gm5577	antisense	2.0	1.0		2.0	GHZ
ENSMUSG00000104507.1	A430027H14Rik	antisense				3.0	Z
ENSMUSG00000045238.9	A730035I17Rik	antisense	1.0			6.0	GZ
ENSMUSG00000029360.3	Gm9754	antisense				1.0	Z
ENSMUSG00000103705.1	4930518J20Rik	antisense				3.0	Z
ENSMUSG00000103659.1	Gm32569	antisense	1.0	1.0	1.0		GHS
ENSMUSG00000103961.1	Gm36388	antisense		1.0	2.0	2.0	HSZ
ENSMUSG00000103620.1	Gm37359	antisense				1.0	Z
ENSMUSG00000103985.1	Gm37446	antisense				3.0	Z
ENSMUSG00000084085.2	Gm16140	antisense			1.0		S
ENSMUSG00000084783.1	Gm15419	antisense	1.0	4.0			GH
ENSMUSG00000118436.1	Gm32880	antisense	1.0	1.0			GH
ENSMUSG00000084837.1	1700108N11Rik	antisense	1.0			5.0	GZ
ENSMUSG00000085388.1	Ptf1aos	antisense				1.0	Z
ENSMUSG00000084844.3	Hoxb3os	antisense		1.0			H
ENSMUSG00000118392.1	4930524O05Rik	antisense		1.0			H
ENSMUSG00000054061.8	Gm9934	antisense	1.0				G
ENSMUSG00000118365.1	Gm41724	antisense	1.0			1.0	GZ
ENSMUSG00000084849.1	Gm16105	antisense		1.0		1.0	HZ
ENSMUSG00000118330.1	Gm30042	antisense	1.0				G
ENSMUSG00000084862.1	Gm16278	antisense				1.0	Z
ENSMUSG00000084863.1	Gm12523	antisense	1.0				G
ENSMUSG00000084865.1	Gm15723	antisense				3.0	Z
ENSMUSG00000118263.1	Gm42064	antisense				6.0	Z
ENSMUSG00000039098.3	Gm9767	antisense	1.0			2.0	GZ
ENSMUSG00000045815.4	1700101I19Rik	antisense	1.0			1.0	GZ
ENSMUSG00000053613.6	Notumos	antisense				1.0	Z
ENSMUSG00000097137.1	Gm26627	antisense	1.0				G
ENSMUSG00000085397.1	Gm13524	antisense	2.0	1.0		1.0	GHZ
ENSMUSG00000054909.11	Wbscr25	antisense				1.0	Z
ENSMUSG00000085837.8	Kcnmb4os2	antisense			1.0	3.0	SZ
ENSMUSG00000101651.1	Gm28402	antisense				3.0	Z
ENSMUSG00000106588.1	Gm17590	antisense			1.0	4.0	SZ
ENSMUSG00000106589.1	4931419H13Rik	antisense				1.0	Z
ENSMUSG00000101089.1	2610016A17Rik	antisense				1.0	Z
ENSMUSG00000085923.1	Gm12781	antisense	1.0		1.0	2.0	GSZ
ENSMUSG00000100980.1	Gm29100	antisense				1.0	Z
ENSMUSG00000100890.1	1700085C21Rik	antisense			1.0		S
ENSMUSG00000100860.1	2010009K17Rik	antisense				1.0	Z
ENSMUSG00000117185.1	Gm34510	antisense	1.0			4.0	GZ
ENSMUSG00000100812.1	A730098A19Rik	antisense		2.0			H
ENSMUSG00000100789.6	Gm29508	antisense				1.0	Z
ENSMUSG00000100779.1	Gm29292	antisense	1.0			2.0	GZ
ENSMUSG00000107014.1	1700126H18Rik	antisense			1.0		S
ENSMUSG00000100707.1	Gm28523	antisense		2.0	1.0	1.0	HSZ
ENSMUSG00000107081.1	Gm43701	antisense				1.0	Z
ENSMUSG00000107090.1	Gm42884	antisense				1.0	Z
ENSMUSG00000100600.6	A230077H06Rik	antisense	1.0				G
ENSMUSG00000107219.1	Gm42738	antisense		2.0	1.0	1.0	HSZ
ENSMUSG00000046109.6	AB041806	antisense		1.0		3.0	HZ
ENSMUSG00000086029.7	Pax6os1	antisense				1.0	Z
ENSMUSG00000107265.1	Gm15469	antisense	2.0	1.0			GH
ENSMUSG00000100393.1	Gm29491	antisense	1.0			1.0	GZ
ENSMUSG00000085830.1	Grin1os	antisense	4.0		1.0	3.0	GSZ
ENSMUSG00000085828.1	Gm15612	antisense	1.0			2.0	GZ
ENSMUSG00000101840.1	Gm28294	antisense	1.0	1.0			GH
ENSMUSG00000101995.1	Gm29480	antisense	3.0				G
ENSMUSG00000085407.1	1700095J03Rik	antisense				1.0	Z
ENSMUSG00000085416.1	1700019G24Rik	antisense	1.0		1.0		GS
ENSMUSG00000105698.1	Gm31881	antisense				2.0	Z
ENSMUSG00000117494.1	Gm49970	antisense				1.0	Z
ENSMUSG00000085454.1	Grip1os3	antisense				1.0	Z
ENSMUSG00000105784.1	Gm35065	antisense	1.0			2.0	GZ
ENSMUSG00000102564.1	Gm37035	antisense				1.0	Z
ENSMUSG00000085457.3	1110046J04Rik	antisense	2.0	1.0		1.0	GHZ
ENSMUSG00000105855.1	Gm42681	antisense			1.0		S
ENSMUSG00000039133.8	9330171B17Rik	antisense				2.0	Z
ENSMUSG00000085501.1	Gm11772	antisense	2.0				G
ENSMUSG00000054493.2	Gm9947	antisense				3.0	Z
ENSMUSG00000085511.1	Gm11738	antisense		1.0			H
ENSMUSG00000102413.1	Gm36937	antisense	2.0				G
ENSMUSG00000085573.1	Gm15418	antisense	1.0			3.0	GZ
ENSMUSG00000102377.1	Gm37974	antisense	3.0			3.0	GZ
ENSMUSG00000085653.7	Gm15179	antisense				1.0	Z
ENSMUSG00000117418.1	Gm50063	antisense				2.0	Z
ENSMUSG00000085689.1	Gm16838	antisense	1.0			1.0	GZ
ENSMUSG00000085696.8	Hoxaas3	antisense	5.0	1.0		1.0	GHZ
ENSMUSG00000085707.1	Gm12212	antisense				3.0	Z
ENSMUSG00000085794.5	Vax2os	antisense	2.0	2.0		1.0	GHZ
ENSMUSG00000052951.5	C130021I20Rik	antisense	2.0	1.0	1.0	2.0	GHSZ
ENSMUSG00000102062.1	Gm29246	antisense	1.0	1.0			GH
ENSMUSG00000105945.1	Gm43570	antisense	1.0				G
ENSMUSG00000097098.8	9330111N05Rik	antisense	2.0	2.0		1.0	GHZ
ENSMUSG00000086126.1	Evx1os	antisense	2.0				G
ENSMUSG00000074346.6	Kcnd3os	antisense	4.0			5.0	GZ
ENSMUSG00000087143.9	A830082K12Rik	antisense	2.0	1.0		2.0	GHZ
ENSMUSG00000074987.9	Wt1os	antisense	2.0				G
ENSMUSG00000113696.1	1700015C15Rik	antisense				1.0	Z
ENSMUSG00000091393.1	5330438I03Rik	antisense	1.0			3.0	GZ
ENSMUSG00000091329.2	1700112D23Rik	antisense				1.0	Z
ENSMUSG00000091192.1	Sardhos	antisense				1.0	Z
ENSMUSG00000075585.3	6330403L08Rik	antisense	1.0			2.0	GZ
ENSMUSG00000086296.2	D030055H07Rik	antisense	2.0	2.0		1.0	GHZ
ENSMUSG00000090724.1	4930542C12Rik	antisense				1.0	Z
ENSMUSG00000090589.1	Gm17180	antisense			2.0	1.0	SZ
ENSMUSG00000087264.1	Gad1os	antisense	1.0			1.0	GZ
ENSMUSG00000087293.1	Gm14341	antisense	1.0				G
ENSMUSG00000046413.14	Irx3os	antisense	4.0			2.0	GZ
ENSMUSG00000090374.1	Gm17232	antisense				2.0	Z
ENSMUSG00000090199.1	Gm16029	antisense	2.0				G
ENSMUSG00000090088.1	Gm15934	antisense	1.0			3.0	GZ
ENSMUSG00000090642.2	Gm17182	antisense	1.0			2.0	GZ
ENSMUSG00000078247.5	Airn	antisense	1.0	1.0		1.0	GHZ
ENSMUSG00000074664.3	A830092H15Rik	antisense	2.0			1.0	GZ
ENSMUSG00000087114.1	Gm16099	antisense	1.0				G
ENSMUSG00000092375.1	A730060N03Rik	antisense	1.0				G
ENSMUSG00000092369.1	1700039E22Rik	antisense	1.0			2.0	GZ
ENSMUSG00000086896.1	Cyp4x1os	antisense	2.0				G
ENSMUSG00000113121.1	Gm35161	antisense				1.0	Z
ENSMUSG00000073728.10	Tmem51os1	antisense	2.0	1.0		1.0	GHZ
ENSMUSG00000092130.2	D030025P21Rik	antisense	2.0	1.0		2.0	GHZ
ENSMUSG00000073731.12	AI507597	antisense	1.0				G
ENSMUSG00000043168.12	4930426D05Rik	antisense	2.0				G
ENSMUSG00000086930.1	Frs3os	antisense	1.0				G
ENSMUSG00000087011.1	Gm12930	antisense	7.0	1.0			GH
ENSMUSG00000087095.2	Emx2os	antisense	1.0	1.0		1.0	GHZ
ENSMUSG00000074354.11	Arhgap20os	antisense				1.0	Z
ENSMUSG00000086282.1	Sox5os4	antisense	1.0				G
ENSMUSG00000087103.1	Gm13344	antisense	3.0			1.0	GZ
ENSMUSG00000074466.12	Gm15417	antisense	2.0	1.0			GH
ENSMUSG00000087104.7	Tmem132cos	antisense			1.0		S
ENSMUSG00000092071.1	A230065N10Rik	antisense				1.0	Z
ENSMUSG00000092474.1	Gm20478	antisense	1.0				G
ENSMUSG00000090039.1	Gm15894	antisense		1.0			H
ENSMUSG00000114935.1	Gm47040	antisense				2.0	Z
ENSMUSG00000114357.1	Gm48449	antisense				1.0	Z
ENSMUSG00000087657.8	Gm16764	antisense	2.0			2.0	GZ
ENSMUSG00000087652.1	Gm15918	antisense	1.0			1.0	GZ
ENSMUSG00000116260.1	1700041B01Rik	antisense				1.0	Z
ENSMUSG00000087626.1	Gm15050	antisense	1.0			2.0	GZ
ENSMUSG00000087615.2	Pnpla1os	antisense				1.0	Z
ENSMUSG00000114493.2	Gm47071	antisense	1.0	1.0	1.0	3.0	GHSZ
ENSMUSG00000087500.1	Gm12426	antisense				1.0	Z
ENSMUSG00000087571.1	Gm15202	antisense	1.0		1.0	5.0	GSZ
ENSMUSG00000114563.1	1700016K05Rik	antisense				1.0	Z
ENSMUSG00000114597.1	Gm47067	antisense		1.0			H
ENSMUSG00000087565.1	Gm14662	antisense	1.0			1.0	GZ
ENSMUSG00000087515.1	Gm13554	antisense			2.0		S
ENSMUSG00000087563.1	Gm14205	antisense				1.0	Z
ENSMUSG00000114647.1	Gm30127	antisense			1.0	1.0	SZ
ENSMUSG00000087524.1	Gm14285	antisense				2.0	Z
ENSMUSG00000114742.1	Gm47936	antisense	1.0			6.0	GZ
ENSMUSG00000030664.3	Sox6os	antisense			1.0		S
ENSMUSG00000087658.2	Hotairm1	antisense	1.0				G
ENSMUSG00000087459.8	Csmd2os	antisense	1.0	2.0			GH
ENSMUSG00000089968.1	Nckap5los	antisense	3.0				G
ENSMUSG00000087348.1	Gm15582	antisense		1.0	1.0		HS
ENSMUSG00000087383.7	Gm12446	antisense				2.0	Z
ENSMUSG00000087386.1	Gm15637	antisense			1.0		S
ENSMUSG00000079045.3	Prox1os	antisense		1.0		1.0	HZ
ENSMUSG00000089881.1	Gm16280	antisense				1.0	Z
ENSMUSG00000114136.1	4921511I17Rik	antisense			1.0		S
ENSMUSG00000087704.1	Gm14978	antisense	1.0			1.0	GZ
ENSMUSG00000089871.1	Speer4cos	antisense		1.0	1.0		HS
