Flipon	Coordinates	cCRE (+-200bp)
g4	chr1:89454436-89454451	pELS@EM10E0445163, PLS (CTCF-bound)@EM10E0445164
g4	chr1:89454806-89454834	PLS (CTCF-bound)@EM10E0445164, PLS@EM10E0445165
g4	chr1:89481275-89481294	dELS@EM10E0445184
g4	chr1:89580899-89580929	pELS@EM10E0445225
g4	chr1:89922690-89922707	dELS@EM10E0445338, dELS (CTCF-bound)@EM10E0445339
g4	chr1:89923196-89923224	dELS (CTCF-bound)@EM10E0445339, dELS@EM10E0445340
g4	chr1:89930177-89930202	pELS@EM10E0445351, PLS@EM10E0445352
g4	chr1:89931897-89931917	pELS@EM10E0445356, pELS@EM10E0445355
g4	chr1:89942030-89942056	dELS (CTCF-bound)@EM10E0445370, dELS@EM10E0445371
g4	chr1:89992439-89992458	DNase-H3K4me3@EM10E0445380
g4	chr1:90956147-90956210	CTCF-only (CTCF-bound)@EM10E0445716
g4	chr1:90998659-90998694	pELS@EM10E0445732, PLS@EM10E0445733
g4	chr1:90998924-90998959	PLS@EM10E0445733, pELS (CTCF-bound)@EM10E0445734
g4	chr1:91038405-91038478	dELS (CTCF-bound)@EM10E0445766
g4	chr1:91180376-91180397	PLS (CTCF-bound)@EM10E0445849, pELS@EM10E0445850
g4	chr1:91180572-91180596	pELS@EM10E0445850, pELS@EM10E0445851
g4	chr1:91800567-91800593	pELS@EM10E0446113, pELS@EM10E0446114
g4	chr1:91801328-91801351	pELS@EM10E0446115, PLS@EM10E0446116
g4	chr1:91802184-91802203	pELS (CTCF-bound)@EM10E0446118, pELS@EM10E0446119
g4	chr1:92787237-92787273	dELS@EM10E0446451
g4	chr1:92831332-92831361	pELS@EM10E0446465, PLS@EM10E0446466
g4	chr1:92831381-92831400	pELS@EM10E0446465, PLS@EM10E0446466
g4	chr1:92831535-92831629	pELS@EM10E0446465, PLS@EM10E0446466
g4	chr1:92831645-92831667	pELS@EM10E0446465, PLS@EM10E0446466
g4	chr1:92831864-92831893	pELS@EM10E0446467, PLS@EM10E0446466
g4	chr1:92832887-92832910	pELS (CTCF-bound)@EM10E0446469
g4	chr1:92848341-92848364	PLS (CTCF-bound)@EM10E0446478
g4	chr1:92848415-92848441	PLS (CTCF-bound)@EM10E0446478
g4	chr1:92850418-92850447	pELS@EM10E0446482
g4	chr1:93100737-93100765	pELS@EM10E0446568, pELS@EM10E0446569
g4	chr1:93100808-93100829	pELS@EM10E0446569
g4	chr1:93101891-93101922	PLS@EM10E0446571, PLS@EM10E0446572
g4	chr1:93102027-93102047	PLS@EM10E0446572
g4	chr1:93176330-93176358	dELS@EM10E0446599
g4	chr1:93176725-93176751	dELS@EM10E0446600
g4	chr1:93176930-93176956	dELS@EM10E0446600
g4	chr1:93227473-93227507	dELS@EM10E0446628
g4	chr1:93235765-93235788	PLS (CTCF-bound)@EM10E0446632
g4	chr1:93235954-93235984	PLS (CTCF-bound)@EM10E0446632
g4	chr1:97581100-97581117	dELS@EM10E0446934
g4	chr1:104768745-104768769	PLS@EM10E0447158, pELS (CTCF-bound)@EM10E0447159
g4	chr1:105355944-105355970	pELS@EM10E0447233, PLS (CTCF-bound)@EM10E0447234
g4	chr1:105780653-105780696	PLS (CTCF-bound)@EM10E0447276, pELS@EM10E0447277
g4	chr1:109982621-109982642	PLS (CTCF-bound)@EM10E0447752
g4	chr1:109982715-109982749	PLS (CTCF-bound)@EM10E0447752, PLS (CTCF-bound)@EM10E0447753
g4	chr1:109982933-109982971	PLS (CTCF-bound)@EM10E0447752, PLS (CTCF-bound)@EM10E0447753
g4	chr1:109983154-109983172	PLS (CTCF-bound)@EM10E0447753, PLS@EM10E0447754
g4	chr1:113372217-113372240	dELS@EM10E0447795
g4	chr1:119048213-119048271	dELS@EM10E0448053
g4	chr1:119048301-119048334	dELS@EM10E0448053
g4	chr1:119054174-119054202	pELS (CTCF-bound)@EM10E0448067
g4	chr1:119421140-119421162	pELS@EM10E0448174, pELS@EM10E0448175
g4	chr1:119421169-119421188	pELS@EM10E0448174, pELS@EM10E0448175
g4	chr1:119421234-119421263	pELS@EM10E0448174, pELS@EM10E0448175, pELS@EM10E0448176
g4	chr1:119421281-119421313	pELS@EM10E0448175, pELS@EM10E0448176
g4	chr1:119421323-119421345	pELS@EM10E0448175, pELS@EM10E0448176
g4	chr1:119422481-119422499	PLS@EM10E0448179, DNase-H3K4me3 (CTCF-bound)@EM10E0448180
g4	chr1:119523242-119523272	dELS@EM10E0448227
g4	chr1:120007338-120007361	pELS@EM10E0448333, pELS@EM10E0448334
g4	chr1:120340668-120340707	DNase-H3K4me3@EM10E0448476, PLS (CTCF-bound)@EM10E0448475
g4	chr1:120341405-120341434	DNase-H3K4me3@EM10E0448477, DNase-H3K4me3@EM10E0448478
g4	chr1:120341815-120341846	DNase-H3K4me3@EM10E0448478, DNase-H3K4me3@EM10E0448479, DNase-H3K4me3@EM10E0448480
g4	chr1:120602129-120602163	PLS@EM10E0448529
g4	chr1:120603224-120603268	pELS@EM10E0448531, pELS (CTCF-bound)@EM10E0448532
g4	chr1:120603586-120603608	pELS (CTCF-bound)@EM10E0448532, pELS@EM10E0448533
g4	chr1:120606831-120606865	dELS (CTCF-bound)@EM10E0448541, dELS@EM10E0448542
g4	chr1:121177938-121177960	dELS@EM10E0448614, dELS@EM10E0448615
g4	chr1:124045584-124045626	PLS@EM10E0448753
g4	chr1:124045704-124045735	PLS@EM10E0448753, pELS (CTCF-bound)@EM10E0448754
g4	chr1:124046079-124046104	pELS (CTCF-bound)@EM10E0448754
g4	chr1:124046208-124046237	pELS (CTCF-bound)@EM10E0448754
g4	chr1:125912265-125912291	PLS (CTCF-bound)@EM10E0448896
g4	chr1:126492946-126492992	PLS (CTCF-bound)@EM10E0448931
g4	chr1:127443079-127443111	dELS@EM10E0449163
g4	chr1:127677963-127677987	pELS (CTCF-bound)@EM10E0449225, PLS (CTCF-bound)@EM10E0449226
g4	chr1:127678307-127678329	PLS (CTCF-bound)@EM10E0449226, pELS@EM10E0449227
g4	chr1:129273329-129273357	PLS (CTCF-bound)@EM10E0449585, PLS (CTCF-bound)@EM10E0449586
g4	chr1:131245222-131245240	PLS (CTCF-bound)@EM10E0449965
g4	chr1:131245444-131245472	PLS (CTCF-bound)@EM10E0449965, pELS@EM10E0449966
g4	chr1:131962850-131962883	pELS@EM10E0450236, PLS@EM10E0450237
g4	chr1:131970919-131970940	pELS@EM10E0450249, pELS@EM10E0450250
g4	chr1:131971099-131971136	pELS@EM10E0450249, pELS@EM10E0450250
g4	chr1:132139630-132139652	PLS@EM10E0450350, PLS@EM10E0450351
g4	chr1:132190011-132190037	pELS@EM10E0450377, pELS@EM10E0450378
g4	chr1:132190362-132190386	pELS@EM10E0450378, pELS@EM10E0450379
g4	chr1:132190543-132190592	pELS@EM10E0450378, pELS@EM10E0450379, pELS (CTCF-bound)@EM10E0450380
g4	chr1:132190915-132190955	pELS@EM10E0450379, pELS (CTCF-bound)@EM10E0450380, PLS (CTCF-bound)@EM10E0450381
g4	chr1:132191081-132191107	pELS (CTCF-bound)@EM10E0450380, PLS (CTCF-bound)@EM10E0450381
g4	chr1:132191543-132191564	PLS (CTCF-bound)@EM10E0450381, PLS@EM10E0450382, pELS (CTCF-bound)@EM10E0450383
g4	chr1:132265832-132265868	dELS@EM10E0450430
g4	chr1:132298651-132298678	PLS@EM10E0450458, pELS (CTCF-bound)@EM10E0450459
g4	chr1:132298831-132298849	PLS@EM10E0450458, pELS (CTCF-bound)@EM10E0450459
g4	chr1:132298975-132298997	PLS@EM10E0450458, pELS (CTCF-bound)@EM10E0450459, pELS@EM10E0450460
g4	chr1:132299457-132299481	pELS@EM10E0450460
g4	chr1:132357300-132357327	dELS@EM10E0450516
g4	chr1:132391592-132391619	pELS@EM10E0450560
g4	chr1:132391612-132391658	pELS@EM10E0450560
g4	chr1:132520784-132520810	DNase-H3K4me3 (CTCF-bound)@EM10E0450603
g4	chr1:132521008-132521046	DNase-H3K4me3 (CTCF-bound)@EM10E0450603
g4	chr1:132542989-132543016	PLS@EM10E0450620
g4	chr1:132881240-132881272	pELS@EM10E0450716, pELS@EM10E0450717
g4	chr1:132881509-132881536	pELS@EM10E0450716, pELS@EM10E0450717
g4	chr1:133164558-133164586	dELS@EM10E0450861
g4	chr1:133182184-133182212	pELS@EM10E0450875, pELS (CTCF-bound)@EM10E0450876
g4	chr1:133183202-133183234	pELS@EM10E0450877, pELS (CTCF-bound)@EM10E0450878
g4	chr1:133363399-133363422	PLS@EM10E0451001
g4	chr1:133363526-133363547	PLS@EM10E0451001
g4	chr1:133364040-133364071	pELS@EM10E0451002, pELS@EM10E0451003
g4	chr1:133423581-133423602	pELS@EM10E0451050, pELS@EM10E0451051
g4	chr1:133908481-133908499	pELS@EM10E0451266, pELS@EM10E0451267
g4	chr1:133908578-133908625	pELS@EM10E0451266, pELS@EM10E0451267, pELS@EM10E0451268
g4	chr1:134046443-134046468	dELS (CTCF-bound)@EM10E0451337, dELS@EM10E0451338
g4	chr1:134234806-134234826	PLS@EM10E0451502, pELS@EM10E0451503
g4	chr1:134299056-134299077	dELS@EM10E0451533, dELS@EM10E0451534
g4	chr1:134327103-134327124	DNase-H3K4me3@EM10E0451545
g4	chr1:134646542-134646562	PLS@EM10E0451711
g4	chr1:135100414-135100438	dELS@EM10E0451916
g4	chr1:135105026-135105066	PLS@EM10E0451918
g4	chr1:135583979-135584000	pELS@EM10E0452183, pELS@EM10E0452184
g4	chr1:135584522-135584541	pELS@EM10E0452185, PLS@EM10E0452186
g4	chr1:135584925-135584952	PLS@EM10E0452186
g4	chr1:135585391-135585418	PLS (CTCF-bound)@EM10E0452187
g4	chr1:135585442-135585471	PLS (CTCF-bound)@EM10E0452187, PLS (CTCF-bound)@EM10E0452188
g4	chr1:135688266-135688284	PLS@EM10E0452263, pELS (CTCF-bound)@EM10E0452264
g4	chr1:135919018-135919046	PLS@EM10E0452434, PLS@EM10E0452435
g4	chr1:136051238-136051263	DNase-H3K4me3 (CTCF-bound)@EM10E0452473
g4	chr1:136052763-136052783	PLS@EM10E0452475
g4	chr1:136052832-136052894	PLS@EM10E0452475
g4	chr1:136233582-136233610	pELS@EM10E0452571, pELS@EM10E0452572, pELS@EM10E0452573
g4	chr1:136233846-136233873	pELS@EM10E0452572, pELS@EM10E0452573, PLS@EM10E0452574
g4	chr1:136233980-136234028	pELS@EM10E0452573, PLS@EM10E0452574, PLS (CTCF-bound)@EM10E0452575
g4	chr1:136260959-136260980	PLS@EM10E0452584
g4	chr1:137323520-137323548	dELS@EM10E0452883
g4	chr1:137323565-137323613	dELS@EM10E0452883
g4	chr1:138847901-138847928	pELS@EM10E0453239
g4	chr1:138848076-138848106	pELS@EM10E0453239, pELS (CTCF-bound)@EM10E0453240
g4	chr1:138848762-138848785	PLS@EM10E0453241
g4	chr1:140246119-140246163	PLS@EM10E0453387, PLS@EM10E0453388
g4	chr1:150993257-150993275	PLS@EM10E0453906, pELS (CTCF-bound)@EM10E0453907
g4	chr1:151582331-151582363	dELS@EM10E0454129
g4	chr1:152089613-152089646	pELS@EM10E0454346, pELS@EM10E0454347
g4	chr1:152089879-152089904	pELS@EM10E0454347
g4	chr1:152090241-152090265	PLS@EM10E0454348
g4	chr1:152090344-152090379	PLS@EM10E0454348, pELS (CTCF-bound)@EM10E0454349
g4	chr1:152090440-152090489	PLS@EM10E0454348, pELS (CTCF-bound)@EM10E0454349
g4	chr1:152400403-152400440	pELS (CTCF-bound)@EM10E0454412, pELS@EM10E0454413, pELS@EM10E0454414
