"Flipon"	"Coordinates"	"miRNA (+)"	"miRNA (-)"	"miRNA (intersection)"
"g4"	"chr10:107335118-107335157"	""	""	""
"g4"	"chr10:107335179-107335213"	""	""	""
"g4"	"chr10:107343245-107343264"	""	""	""
"g4"	"chr10:107554395-107554442"	""	""	""
"g4"	"chr10:107693388-107693424"	""	""	""
"g4"	"chr10:10788317-10788375"	""	""	""
"g4"	"chr10:10788486-10788549"	""	""	""
"g4"	"chr10:107972786-107972812"	""	"miR-330 (1)"	""
"g4"	"chr10:108331954-108331974"	"miR-423 (1)"	""	""
"g4"	"chr10:108332459-108332504"	""	""	""
"g4"	"chr10:108333318-108333348"	"miR-744 (2)"	"miR-615 (1)"	""
"g4"	"chr10:108897523-108897589"	"miR-328 (1)"	""	""
"g4"	"chr10:109010703-109010727"	""	"miR-329/362 (1)"	""
"g4"	"chr10:109196082-109196101"	""	""	""
"g4"	"chr10:109396052-109396089"	""	""	""
"g4"	"chr10:109486313-109486378"	"miR-185 (4)"	""	""
"g4"	"chr10:109537871-109537925"	""	""	""
"g4"	"chr10:109594034-109594059"	""	"miR-491 (1)"	""
"g4"	"chr10:109603820-109603841"	""	""	""
"g4"	"chr10:110066523-110066557"	""	"miR-188 (1)"	""
"g4"	"chr10:110333106-110333139"	""	""	""
"g4"	"chr10:110456103-110456129"	""	""	""
"g4"	"chr10:110873710-110873734"	""	""	""
"g4"	"chr10:111122611-111122632"	""	""	""
"g4"	"chr10:111392523-111392553"	""	""	""
"g4"	"chr10:111399009-111399034"	""	""	""
"g4"	"chr10:111565889-111565915"	""	""	""
"g4"	"chr10:111710050-111710076"	""	""	""
"g4"	"chr10:112201124-112201169"	""	""	""
"g4"	"chr10:112269998-112270016"	""	""	""
"g4"	"chr10:112727760-112727800"	""	""	""
"g4"	"chr10:112828906-112828945"	""	""	""
"g4"	"chr10:112988433-112988475"	""	"miR-486 (1), miR-874 (1)"	""
"g4"	"chr10:113004074-113004102"	""	"miR-874 (1)"	""
"g4"	"chr10:113046508-113046562"	""	""	""
"g4"	"chr10:113121832-113121904"	""	"miR-185 (5)"	""
"g4"	"chr10:113269034-113269059"	""	""	""
"g4"	"chr10:113496976-113497001"	""	""	""
"g4"	"chr10:113681867-113681901"	""	""	""
"g4"	"chr10:113681953-113681976"	"miR-504 (1)"	""	""
"g4"	"chr10:114116771-114116823"	""	""	""
"g4"	"chr10:11444563-11444596"	""	""	""
"g4"	"chr10:114553642-114553711"	"miR-504 (1)"	""	""
"g4"	"chr10:114750172-114750206"	""	""	""
"g4"	"chr10:114762188-114762210"	""	"miR-330 (1)"	""
"g4"	"chr10:11480771-11480789"	""	""	""
"g4"	"chr10:11492026-11492065"	""	""	""
"g4"	"chr10:11492132-11492164"	""	""	""
"g4"	"chr10:115053795-115053832"	""	"miR-1306 (1), miR-532 (1)"	""
"g4"	"chr10:115587867-115587896"	"miR-532 (1)"	""	""
"g4"	"chr10:115695243-115695269"	""	""	""
"g4"	"chr10:115695453-115695473"	""	""	""
"g4"	"chr10:115867614-115867634"	""	""	""
"g4"	"chr10:115939618-115939640"	""	""	""
"g4"	"chr10:11597120-11597155"	""	""	""
"g4"	"chr10:116473550-116473570"	""	""	""
"g4"	"chr10:116473756-116473788"	"miR-615 (1)"	""	""
"g4"	"chr10:11682869-11682899"	""	""	""
"g4"	"chr10:11712977-11713004"	""	""	""
"g4"	"chr10:117240674-117240728"	""	"miR-874 (1)"	""
"g4"	"chr10:117316539-117316564"	"miR-331 (1)"	""	""
"g4"	"chr10:11733895-11733935"	"miR-1/206 (1)"	"miR-23 (1)"	""
"g4"	"chr10:117406965-117406999"	""	"miR-185 (1)"	""
"g4"	"chr10:117450459-117450482"	""	""	""
"g4"	"chr10:117560731-117560748"	""	""	""
"g4"	"chr10:117973093-117973139"	"miR-504 (1), miR-532 (1)"	""	""
"g4"	"chr10:117974248-117974283"	""	""	""
"g4"	"chr10:117974303-117974335"	""	""	""
"g4"	"chr10:11807863-11807898"	""	"miR-324 (1)"	""
"g4"	"chr10:11807928-11807963"	""	"miR-324 (1)"	""
"g4"	"chr10:118098711-118098734"	"miR-1251 (1)"	""	""
"g4"	"chr10:118313192-118313218"	"miR-1306 (1)"	""	""
"g4"	"chr10:118368937-118368989"	""	"miR-1306 (1)"	""
"g4"	"chr10:118455442-118455467"	""	""	""
"g4"	"chr10:118528854-118528890"	""	""	""
"g4"	"chr10:118570114-118570137"	""	"miR-185 (1)"	""
"g4"	"chr10:118570996-118571014"	""	""	""
"g4"	"chr10:118780132-118780154"	""	""	""
"g4"	"chr10:118803258-118803292"	"miR-491 (1)"	""	""
"g4"	"chr10:118803525-118803567"	"miR-185 (1)"	"miR-205 (1), miR-532 (1)"	""
"g4"	"chr10:118845342-118845361"	""	""	""
"g4"	"chr10:118961095-118961127"	""	""	""
"g4"	"chr10:119142599-119142644"	""	""	""
"g4"	"chr10:119384104-119384129"	"miR-188 (1)"	""	""
"g4"	"chr10:119453488-119453522"	""	""	""
"g4"	"chr10:119453610-119453648"	"miR-423 (1)"	"miR-615 (1)"	""
"g4"	"chr10:119454073-119454098"	""	""	""
"g4"	"chr10:119676909-119676938"	"miR-346 (1)"	""	""
"g4"	"chr10:119916389-119916437"	"miR-188 (1)"	""	""
"g4"	"chr10:120044964-120045028"	"miR-185 (4)"	""	""
"g4"	"chr10:120045064-120045093"	""	"miR-382 (1)"	""
"g4"	"chr10:120165417-120165446"	""	"miR-491 (1)"	""
"g4"	"chr10:120376567-120376589"	""	""	""
"g4"	"chr10:120474952-120474990"	""	""	""
"g4"	"chr10:120475256-120475285"	""	""	""
"g4"	"chr10:120476579-120476603"	"miR-185 (1)"	""	""
"g4"	"chr10:120477460-120477486"	""	""	""
"g4"	"chr10:120552401-120552423"	""	""	""
"g4"	"chr10:120606665-120606692"	"miR-491 (1)"	""	""
"g4"	"chr10:120898262-120898281"	""	""	""
"g4"	"chr10:120898426-120898451"	""	""	""
"g4"	"chr10:120898721-120898765"	""	""	""
"g4"	"chr10:120898794-120898826"	""	""	""
"g4"	"chr10:121024364-121024450"	""	""	""
"g4"	"chr10:121070112-121070151"	""	""	""
"g4"	"chr10:121090516-121090552"	"miR-1306 (1), miR-532 (1)"	""	""
"g4"	"chr10:121641621-121641654"	"miR-744 (1)"	"miR-615 (1)"	""
"g4"	"chr10:121879906-121879931"	""	""	""
"g4"	"chr10:122047317-122047333"	""	""	""
"g4"	"chr10:122252483-122252521"	""	""	""
"g4"	"chr10:122671507-122671525"	""	""	""
"g4"	"chr10:122678816-122678840"	""	""	""
"g4"	"chr10:122678933-122678953"	""	""	""
"g4"	"chr10:122679069-122679103"	""	"miR-491 (1)"	""
"g4"	"chr10:122679577-122679606"	""	""	""
"g4"	"chr10:122707361-122707380"	""	"miR-491 (1)"	""
"g4"	"chr10:123215246-123215268"	""	""	""
"g4"	"chr10:123229096-123229132"	""	"miR-122 (1)"	""
"g4"	"chr10:123264942-123264963"	""	""	""
"g4"	"chr10:123265142-123265176"	""	""	""
"g4"	"chr10:123940366-123940383"	""	""	""
"g4"	"chr10:124001935-124001963"	"miR-296 (1)"	""	""
"g4"	"chr10:124554326-124554345"	""	""	""
"g4"	"chr10:124554354-124554380"	""	""	""
"g4"	"chr10:124867693-124867729"	""	"miR-483 (2)"	""
"g4"	"chr10:12493500-12493519"	""	""	""
"g4"	"chr10:124996497-124996526"	""	""	""
"g4"	"chr10:125178737-125178759"	""	""	""
"g4"	"chr10:125426306-125426329"	"miR-34/449 (1)"	""	""
"g4"	"chr10:125552817-125552850"	""	""	""
"g4"	"chr10:125723621-125723644"	"miR-185 (1)"	"miR-204/211 (1)"	""
"g4"	"chr10:125798679-125798697"	""	""	""
"g4"	"chr10:125966531-125966558"	""	""	""
"g4"	"chr10:126376508-126376550"	""	""	""
"g4"	"chr10:126537369-126537435"	""	"miR-328 (1)"	""
"g4"	"chr10:126626922-126626958"	""	"miR-532 (1)"	""
"g4"	"chr10:126928407-126928444"	"miR-744 (1)"	""	""
"g4"	"chr10:127059202-127059229"	""	""	""
"g4"	"chr10:127059296-127059331"	"miR-331 (1)"	"miR-744 (1)"	""
"g4"	"chr10:127059358-127059376"	""	""	""
"g4"	"chr10:127059911-127059941"	"miR-744 (1)"	""	""
"g4"	"chr10:127059991-127060020"	"miR-24 (1)"	"miR-125 (1)"	""
"g4"	"chr10:127060233-127060257"	"miR-744 (1)"	""	""
"g4"	"chr10:127060266-127060298"	""	""	""
"g4"	"chr10:127079575-127079599"	""	""	""
"g4"	"chr10:127080581-127080604"	""	""	""
"g4"	"chr10:127146048-127146084"	""	""	""
"g4"	"chr10:127180162-127180189"	"miR-874 (1)"	""	""
"g4"	"chr10:127188351-127188377"	"miR-296 (1)"	"miR-296 (1)"	"miR-296"
"g4"	"chr10:127188391-127188429"	"miR-744 (1)"	""	""
"g4"	"chr10:127188538-127188560"	"miR-744 (1)"	""	""
"g4"	"chr10:127188965-127188985"	"miR-330 (1), miR-760 (1)"	""	""
"g4"	"chr10:127189094-127189122"	""	""	""
"g4"	"chr10:127189271-127189293"	""	"miR-331 (1)"	""
"g4"	"chr10:127189831-127189856"	""	""	""
"g4"	"chr10:127326519-127326550"	""	""	""
"g4"	"chr10:127339366-127339398"	""	""	""
"g4"	"chr10:127339433-127339483"	""	"miR-324 (1), miR-338 (1)"	""
"g4"	"chr10:127339997-127340035"	""	""	""
"g4"	"chr10:127341606-127341623"	""	""	""
"g4"	"chr10:127341678-127341724"	"miR-150 (1), miR-490 (1)"	""	""
"g4"	"chr10:127526417-127526442"	""	"miR-744 (1)"	""
"g4"	"chr10:127530586-127530636"	""	""	""
"g4"	"chr10:127531039-127531060"	""	""	""
"g4"	"chr10:127534450-127534467"	""	""	""
"g4"	"chr10:127534486-127534517"	"miR-24 (1)"	"miR-125 (1)"	""
"g4"	"chr10:127534584-127534606"	"miR-744 (1)"	""	""
"g4"	"chr10:127534625-127534650"	""	""	""
"g4"	"chr10:127534667-127534699"	""	"miR-744 (1)"	""
"g4"	"chr10:127535029-127535048"	"miR-744 (1)"	""	""
"g4"	"chr10:127535176-127535198"	"miR-339 (1)"	""	""
"g4"	"chr10:127540028-127540066"	"miR-31 (1), miR-423 (1), miR-665 (1), miR-744 (1)"	""	""
"g4"	"chr10:127540074-127540109"	"miR-423 (1), miR-665 (1)"	""	""
"g4"	"chr10:127545455-127545481"	""	""	""
"g4"	"chr10:127545491-127545518"	""	""	""
"g4"	"chr10:127545892-127545933"	"miR-125 (2), miR-331 (1)"	"miR-24 (2)"	""
"g4"	"chr10:127545955-127545976"	"miR-331 (1)"	""	""
"g4"	"chr10:127546116-127546151"	"miR-330 (1), miR-760 (1)"	""	""
"g4"	"chr10:127548261-127548283"	""	""	""
"g4"	"chr10:127554385-127554406"	""	"miR-339 (1)"	""
"g4"	"chr10:127557163-127557186"	""	""	""
"g4"	"chr10:127557569-127557589"	""	""	""
"g4"	"chr10:127557650-127557674"	""	""	""
"g4"	"chr10:127560406-127560445"	""	"miR-491 (1)"	""
"g4"	"chr10:127575121-127575147"	""	""	""
"g4"	"chr10:127575244-127575271"	""	""	""
"g4"	"chr10:127588366-127588396"	""	""	""
"g4"	"chr10:127620260-127620281"	""	""	""
"g4"	"chr10:127620519-127620543"	""	""	""
"g4"	"chr10:127621009-127621037"	""	""	""
"g4"	"chr10:127722319-127722343"	""	""	""
"g4"	"chr10:127722603-127722626"	""	""	""
"g4"	"chr10:127756652-127756670"	""	""	""
"g4"	"chr10:128194578-128194598"	""	""	""
"g4"	"chr10:128589116-128589135"	""	""	""
"g4"	"chr10:128589689-128589738"	""	""	""
"g4"	"chr10:128589791-128589826"	""	"miR-744 (1)"	""
"g4"	"chr10:128640999-128641018"	""	""	""
"g4"	"chr10:128645662-128645691"	""	""	""
"g4"	"chr10:128646061-128646104"	"miR-185 (4)"	""	""
"g4"	"chr10:128909449-128909480"	""	"miR-615 (1)"	""
"g4"	"chr10:128909882-128909905"	""	""	""
"g4"	"chr10:128910171-128910198"	""	""	""
"g4"	"chr10:128910231-128910253"	""	""	""
"g4"	"chr10:128910262-128910303"	""	"miR-532 (1)"	""
"g4"	"chr10:128933715-128933749"	""	""	""
"g4"	"chr10:129140961-129141008"	""	"miR-1306 (1)"	""
"g4"	"chr10:129149733-129149771"	""	"miR-328 (1)"	""
"g4"	"chr10:129495602-129495657"	""	"miR-532 (1), miR-874 (1)"	""
"g4"	"chr10:129851333-129851372"	""	""	""
"g4"	"chr10:129988862-129988897"	""	""	""
"g4"	"chr10:129990165-129990223"	""	""	""
"g4"	"chr10:130027990-130028025"	""	""	""
"g4"	"chr10:130230030-130230050"	""	""	""
"g4"	"chr10:130338449-130338467"	""	""	""
"g4"	"chr10:130358755-130358821"	"miR-328 (1)"	""	""
"g4"	"chr10:130523497-130523527"	""	""	""
"g4"	"chr10:130523604-130523635"	""	""	""
"g4"	"chr10:130523644-130523686"	""	""	""
"g4"	"chr10:130523701-130523754"	"miR-296 (1)"	""	""
"g4"	"chr10:130523857-130523891"	""	""	""
"g4"	"chr10:130523925-130523947"	""	""	""
"g4"	"chr10:13061173-13061195"	"miR-423 (1)"	""	""
"g4"	"chr10:13162784-13162839"	"miR-532 (1)"	""	""
"g4"	"chr10:13314092-13314117"	""	""	""
"g4"	"chr10:13701186-13701205"	""	""	""
"g4"	"chr10:14545718-14545740"	""	""	""
"g4"	"chr10:14589193-14589219"	""	"miR-185 (1)"	""
"g4"	"chr10:14589275-14589296"	""	""	""
"g4"	"chr10:14595593-14595610"	""	""	""
"g4"	"chr10:15092717-15092782"	""	"miR-328 (1)"	""
"g4"	"chr10:15185717-15185756"	""	"miR-223 (1)"	""
"g4"	"chr10:15246350-15246400"	""	""	""
"g4"	"chr10:15393631-15393669"	""	"miR-874 (1)"	""
"g4"	"chr10:15692188-15692235"	"miR-1306 (1), miR-532 (1)"	""	""
"g4"	"chr10:15786664-15786689"	""	""	""
"g4"	"chr10:16273430-16273458"	""	""	""
"g4"	"chr10:16866204-16866236"	""	"miR-1306 (1)"	""
"g4"	"chr10:16866441-16866499"	""	""	""
"g4"	"chr10:16909302-16909323"	""	""	""
"g4"	"chr10:16924602-16924643"	""	""	""
"g4"	"chr10:17032733-17032756"	""	"miR-339 (1), miR-532 (1)"	""
"g4"	"chr10:17219665-17219688"	""	""	""
"g4"	"chr10:17393472-17393495"	""	""	""
"g4"	"chr10:17936926-17936962"	"miR-328 (1)"	""	""
"g4"	"chr10:17998955-17998970"	""	""	""
"g4"	"chr10:18040364-18040386"	""	""	""
"g4"	"chr10:18149311-18149358"	""	"miR-299 (1)"	""
"g4"	"chr10:18273978-18274019"	""	""	""
"g4"	"chr10:18274387-18274409"	""	""	""
"g4"	"chr10:18318537-18318562"	""	""	""
"g4"	"chr10:18318910-18318935"	""	"miR-296 (1)"	""
"g4"	"chr10:19090760-19090779"	"miR-140 (1)"	""	""
"g4"	"chr10:19091010-19091038"	""	""	""
"g4"	"chr10:19408565-19408609"	""	""	""
"g4"	"chr10:19694678-19694705"	""	""	""
"g4"	"chr10:19850099-19850125"	""	"miR-423 (1)"	""
"g4"	"chr10:19850327-19850357"	""	""	""
"g4"	"chr10:19850541-19850573"	"miR-296 (1)"	"miR-504 (1)"	""
"g4"	"chr10:19851096-19851126"	""	""	""
"g4"	"chr10:19851136-19851167"	""	""	""
"g4"	"chr10:19851889-19851915"	""	"miR-136 (1)"	""
"g4"	"chr10:20148923-20148957"	"miR-296 (1)"	"miR-296 (1)"	"miR-296"
"g4"	"chr10:20149099-20149137"	""	""	""
"g4"	"chr10:20149226-20149289"	""	""	""
"g4"	"chr10:20149319-20149351"	""	""	""
"g4"	"chr10:20149380-20149411"	""	"miR-331 (1)"	""
"g4"	"chr10:20393919-20393945"	""	""	""
"g4"	"chr10:20986335-20986367"	""	""	""
"g4"	"chr10:21374485-21374539"	"miR-491 (1)"	"miR-133 (2), miR-204/211 (1), miR-9 (1)"	""
"g4"	"chr10:21426438-21426484"	""	"miR-339 (1)"	""
"g4"	"chr10:21865569-21865600"	""	"miR-1306 (1)"	""
"g4"	"chr10:21971140-21971161"	""	""	""
"g4"	"chr10:21971169-21971191"	"miR-134 (1)"	""	""
"g4"	"chr10:21993153-21993173"	""	""	""
"g4"	"chr10:21993811-21993834"	""	""	""
"g4"	"chr10:22077844-22077867"	""	""	""
"g4"	"chr10:22151579-22151611"	""	"miR-615 (1)"	""
"g4"	"chr10:22158379-22158399"	""	""	""
"g4"	"chr10:22158860-22158885"	""	""	""
"g4"	"chr10:22159728-22159755"	""	"miR-329/362 (1)"	""
"g4"	"chr10:22159979-22160003"	""	""	""
"g4"	"chr10:22335101-22335120"	""	""	""
"g4"	"chr10:22645071-22645093"	"miR-371 (290) (1)"	""	""
"g4"	"chr10:23224695-23224745"	""	""	""
"g4"	"chr10:23349945-23349971"	""	""	""
"g4"	"chr10:23350236-23350260"	"miR-299 (1)"	""	""
"g4"	"chr10:23387951-23387997"	"miR-185 (1)"	""	""
"g4"	"chr10:23433566-23433616"	""	""	""
"g4"	"chr10:23686211-23686284"	"miR-150 (5), miR-483 (4)"	""	""
"g4"	"chr10:23796964-23796995"	""	""	""
"g4"	"chr10:23818388-23818411"	""	""	""
"g4"	"chr10:23909604-23909643"	""	""	""
"g4"	"chr10:24054008-24054031"	""	"let-7/miR-98 (1)"	""
"g4"	"chr10:24223493-24223515"	""	""	""
"g4"	"chr10:24311844-24311894"	""	""	""
"g4"	"chr10:24596486-24596509"	""	""	""
"g4"	"chr10:25164890-25164916"	"miR-532 (1)"	""	""
"g4"	"chr10:25164938-25164963"	""	""	""
"g4"	"chr10:25165120-25165151"	"miR-296 (1), miR-331 (1)"	""	""
"g4"	"chr10:25191273-25191312"	""	""	""
"g4"	"chr10:25200253-25200287"	"miR-615 (1)"	""	""
"g4"	"chr10:25276823-25276858"	""	""	""
"g4"	"chr10:25644752-25644794"	"miR-1306 (1)"	""	""
"g4"	"chr10:25862173-25862239"	"miR-328 (1)"	""	""
"g4"	"chr10:25894513-25894537"	""	""	""
"g4"	"chr10:26078588-26078608"	""	""	""
"g4"	"chr10:26078725-26078767"	""	""	""
"g4"	"chr10:26200280-26200295"	""	""	""
"g4"	"chr10:26280275-26280305"	""	""	""
"g4"	"chr10:26283491-26283513"	""	""	""
"g4"	"chr10:26552897-26552946"	""	""	""
"g4"	"chr10:26662817-26662867"	""	""	""
"g4"	"chr10:26831539-26831564"	""	""	""
"g4"	"chr10:26831582-26831615"	"miR-1306 (1), miR-532 (1)"	""	""
"g4"	"chr10:26910170-26910185"	""	""	""
"g4"	"chr10:26910206-26910228"	""	""	""
"g4"	"chr10:26977464-26977492"	""	""	""
"g4"	"chr10:27200478-27200527"	"miR-122 (1)"	""	""
"g4"	"chr10:27972555-27972584"	""	""	""
"g4"	"chr10:29052324-29052391"	""	"miR-329/362 (1)"	""
"g4"	"chr10:29052553-29052586"	"miR-491 (1)"	""	""
"g4"	"chr10:29052621-29052642"	""	""	""
"g4"	"chr10:29090772-29090800"	""	""	""
"g4"	"chr10:29090813-29090832"	""	""	""
"g4"	"chr10:29197103-29197125"	""	""	""
"g4"	"chr10:29330769-29330800"	""	""	""
"g4"	"chr10:29535906-29535934"	""	""	""
"g4"	"chr10:29536093-29536122"	"miR-296 (1)"	""	""
"g4"	"chr10:29707234-29707256"	"miR-339 (1)"	"miR-330 (1)"	""
"g4"	"chr10:29866590-29866627"	""	""	""
"g4"	"chr10:30051545-30051560"	""	""	""
"g4"	"chr10:30517767-30517802"	""	"miR-330 (1)"	""
"g4"	"chr10:30842524-30842549"	""	""	""
"g4"	"chr10:30842712-30842728"	""	""	""
"g4"	"chr10:30843073-30843111"	""	"miR-665 (1)"	""
"g4"	"chr10:31223017-31223051"	"miR-185 (1)"	""	""
"g4"	"chr10:31445522-31445544"	"miR-133 (1)"	""	""
"g4"	"chr10:31445823-31445846"	""	""	""
"g4"	"chr10:31452064-31452130"	"miR-328 (1)"	""	""
"g4"	"chr10:31608642-31608677"	""	""	""
"g4"	"chr10:31609721-31609748"	""	""	""
"g4"	"chr10:31659207-31659240"	""	""	""
"g4"	"chr10:31977226-31977267"	"miR-532 (1)"	""	""
"g4"	"chr10:32313593-32313626"	"miR-133 (1)"	""	""
"g4"	"chr10:32623185-32623211"	""	""	""
"g4"	"chr10:32718051-32718084"	""	""	""
"g4"	"chr10:32851089-32851134"	""	""	""
"g4"	"chr10:32890048-32890069"	""	"miR-744 (1)"	""
"g4"	"chr10:32890140-32890169"	"miR-744 (1)"	"miR-296 (1), miR-331 (1)"	""
"g4"	"chr10:33110738-33110765"	""	""	""
"g4"	"chr10:33131944-33131968"	""	""	""
"g4"	"chr10:33401235-33401260"	""	""	""
"g4"	"chr10:33523260-33523312"	"miR-551 (1)"	""	""
"g4"	"chr10:33559481-33559535"	"miR-491 (1)"	""	""
"g4"	"chr10:3366494-3366529"	""	""	""
"g4"	"chr10:33675902-33675932"	""	""	""
"g4"	"chr10:33810703-33810736"	""	"miR-532 (1)"	""
"g4"	"chr10:34028794-34028826"	"miR-299 (1)"	"miR-532 (1)"	""
"g4"	"chr10:34119683-34119720"	""	""	""
"g4"	"chr10:34186385-34186407"	""	""	""
"g4"	"chr10:3440776-3440804"	""	"miR-423 (1)"	""
"g4"	"chr10:34516490-34516522"	""	""	""
"g4"	"chr10:3471477-3471498"	""	""	""
"g4"	"chr10:34760574-34760595"	""	""	""
"g4"	"chr10:34943137-34943160"	""	"miR-299 (1)"	""
"g4"	"chr10:34958331-34958358"	"miR-874 (1)"	""	""
"g4"	"chr10:35086714-35086755"	""	"miR-122 (1)"	""
"g4"	"chr10:35221899-35221924"	""	""	""
"g4"	"chr10:35322486-35322515"	"miR-329/362 (1)"	""	""
"g4"	"chr10:36053374-36053412"	""	"miR-874 (1)"	""
"g4"	"chr10:36113077-36113102"	""	"miR-1306 (1)"	""
"g4"	"chr10:36239416-36239434"	""	""	""
"g4"	"chr10:36506792-36506809"	""	""	""
"g4"	"chr10:36882104-36882127"	""	""	""
"g4"	"chr10:37313140-37313175"	"miR-296 (1)"	"miR-185 (1)"	""
"g4"	"chr10:3734789-3734810"	""	""	""
"g4"	"chr10:3740326-3740349"	"miR-744 (1)"	""	""
"g4"	"chr10:3740572-3740618"	"miR-744 (1)"	""	""
"g4"	"chr10:37671471-37671519"	"miR-532 (1)"	"miR-299 (1)"	""
"g4"	"chr10:37775380-37775419"	""	""	""
"g4"	"chr10:37783686-37783731"	""	""	""
"g4"	"chr10:37835673-37835722"	"miR-551 (1)"	""	""
"g4"	"chr10:38014186-38014212"	"miR-185 (1)"	""	""
"g4"	"chr10:38143418-38143440"	""	""	""
"g4"	"chr10:3822697-3822727"	""	""	""
"g4"	"chr10:38505589-38505614"	"miR-185 (1)"	""	""
"g4"	"chr10:38531125-38531153"	""	""	""
"g4"	"chr10:38606027-38606093"	""	"miR-328 (1)"	""
"g4"	"chr10:38861974-38862020"	""	"miR-874 (1)"	""
"g4"	"chr10:38897079-38897104"	"miR-204/211 (1)"	""	""
"g4"	"chr10:39102461-39102488"	""	"miR-324 (1), miR-338 (1)"	""
"g4"	"chr10:39117218-39117248"	""	""	""
"g4"	"chr10:39259416-39259457"	""	""	""
"g4"	"chr10:39603379-39603404"	""	""	""
"g4"	"chr10:39926979-39927002"	""	""	""
"g4"	"chr10:40191880-40191910"	"miR-330 (1)"	""	""
"g4"	"chr10:40191961-40192006"	"miR-491 (1), miR-744 (1)"	""	""
"g4"	"chr10:40192233-40192278"	""	""	""
"g4"	"chr10:40578864-40578891"	""	"miR-532 (1)"	""
"g4"	"chr10:40884211-40884258"	""	""	""
"g4"	"chr10:41040921-41040959"	""	""	""
"g4"	"chr10:41040971-41041047"	""	""	""
"g4"	"chr10:4115921-4115938"	""	""	""
"g4"	"chr10:41365450-41365486"	"miR-184 (1), miR-423 (1)"	""	""
"g4"	"chr10:41426150-41426182"	"miR-296 (1), miR-330 (1)"	"miR-296 (1)"	"miR-296"
"g4"	"chr10:41426198-41426225"	""	"miR-204/211 (1)"	""
"g4"	"chr10:41604394-41604469"	"miR-185 (5)"	""	""
"g4"	"chr10:41677354-41677426"	""	""	""
"g4"	"chr10:42018121-42018136"	""	""	""
"g4"	"chr10:42205342-42205369"	""	""	""
"g4"	"chr10:42572501-42572523"	""	""	""
"g4"	"chr10:42579902-42579922"	"miR-423 (1)"	""	""
"g4"	"chr10:42582544-42582574"	"miR-149 (1), miR-331 (1)"	""	""
"g4"	"chr10:42582813-42582838"	""	""	""
"g4"	"chr10:42583724-42583751"	""	""	""
"g4"	"chr10:42583919-42583948"	""	""	""
