Gene ID	Transcript ID	Gene Name	Gene Type	Flipon	Flipons per promoter
ENSMUSG00000038020.5	ENSMUST00000107479.2	Rapgefl1	protein_coding	g4	3
ENSMUSG00000029673.17	ENSMUST00000178555.1	Auts2	protein_coding	z-dna	3
ENSMUSG00000029419.8	ENSMUST00000188161.1	Ajm1	protein_coding	z-dna	3
ENSMUSG00000029381.16	ENSMUST00000113051.8	Shroom3	protein_coding	z-dna	3
ENSMUSG00000022096.14	ENSMUST00000022691.13	Hr	protein_coding	g4	3
ENSMUSG00000029334.14	ENSMUST00000031277.6	Prkg2	protein_coding	z-dna	3
ENSMUSG00000034730.17	ENSMUST00000042035.15	Adgrb1	protein_coding	z-dna	3
ENSMUSG00000029231.15	ENSMUST00000168162.4	Pdgfra	protein_coding	g4	3
ENSMUSG00000113199.1	ENSMUST00000222777.1	Gm9229	unprocessed_pseudogene	z-dna	3
ENSMUSG00000028464.16	ENSMUST00000107914.9	Tpm2	protein_coding	g4	3
ENSMUSG00000028434.12	ENSMUST00000095076.9	Epb41l4b	protein_coding	z-dna	3
ENSMUSG00000055254.15	ENSMUST00000079828.6	Ntrk2	protein_coding	z-dna	3
ENSMUSG00000055197.4	ENSMUST00000068631.3	Fev	protein_coding	g4	3
ENSMUSG00000022449.14	ENSMUST00000155907.1	Adamts20	protein_coding	z-dna	3
ENSMUSG00000039953.13	ENSMUST00000105691.7	Clstn1	protein_coding	z-dna	3
ENSMUSG00000039960.5	ENSMUST00000045487.3	Rhou	protein_coding	g4	3
ENSMUSG00000054978.3	ENSMUST00000068307.3	Kbtbd13	protein_coding	z-dna	3
ENSMUSG00000097960.1	ENSMUST00000183235.1	A330074K22Rik	lincRNA	z-dna	3
ENSMUSG00000054793.8	ENSMUST00000068023.7	Cadm4	protein_coding	z-dna	3
ENSMUSG00000054659.13	ENSMUST00000098181.8	Pm20d2	protein_coding	z-dna	3
ENSMUSG00000022505.9	ENSMUST00000078357.4	Emp2	protein_coding	g4	3
ENSMUSG00000057751.14	ENSMUST00000030897.14	Megf6	protein_coding	z-dna	3
ENSMUSG00000022523.10	ENSMUST00000100024.2	Fgf12	protein_coding	z-dna	3
ENSMUSG00000085864.1	ENSMUST00000149428.1	C330019F10Rik	lincRNA	z-dna	3
ENSMUSG00000040490.4	ENSMUST00000046254.2	Lrfn2	protein_coding	z-dna	3
ENSMUSG00000054160.2	ENSMUST00000067020.2	Nkx2-4	protein_coding	g4	3
ENSMUSG00000113402.1	ENSMUST00000221998.1	Gm40848	processed_pseudogene	g4	3
ENSMUSG00000054065.12	ENSMUST00000066873.4	Pkp3	protein_coding	g4	3
ENSMUSG00000097840.1	ENSMUST00000181689.1	Gm26756	antisense	z-dna	3
ENSMUSG00000008136.14	ENSMUST00000185893.1	Fhl2	protein_coding	h-dna	3
ENSMUSG00000027799.12	ENSMUST00000029374.7	Nbea	protein_coding	z-dna	3
ENSMUSG00000040649.15	ENSMUST00000068242.8	Rimklb	protein_coding	g4	3
ENSMUSG00000027796.2	ENSMUST00000029371.2	Smad9	protein_coding	z-dna	3
ENSMUSG00000039546.9	ENSMUST00000105646.2	Ajap1	protein_coding	z-dna	3
ENSMUSG00000039542.16	ENSMUST00000192584.1	Ncam1	protein_coding	z-dna	3
ENSMUSG00000085041.1	ENSMUST00000148892.1	BB031773	antisense	z-dna	3
ENSMUSG00000010154.7	ENSMUST00000010298.6	Spire2	protein_coding	g4	3
ENSMUSG00000038453.17	ENSMUST00000107593.7	Srcin1	protein_coding	g4	3
ENSMUSG00000057378.15	ENSMUST00000208290.1	Ryr3	protein_coding	z-dna	3
ENSMUSG00000038502.17	ENSMUST00000046575.16	Ptov1	protein_coding	z-dna	3
ENSMUSG00000038517.15	ENSMUST00000107614.7	Tbkbp1	protein_coding	z-dna	3
ENSMUSG00000038560.7	ENSMUST00000107622.1	Sp6	protein_coding	g4	3
ENSMUSG00000028977.17	ENSMUST00000122222.7	Casz1	protein_coding	g4	3
ENSMUSG00000056648.5	ENSMUST00000168043.1	Hoxb8	protein_coding	g4	3
ENSMUSG00000110980.1	ENSMUST00000216321.1	Gm47204	lincRNA	g4	3
ENSMUSG00000013584.5	ENSMUST00000034723.5	Aldh1a2	protein_coding	z-dna	3
ENSMUSG00000037747.9	ENSMUST00000046513.9	Phyhipl	protein_coding	z-dna	3
ENSMUSG00000056596.8	ENSMUST00000125541.1	Trnp1	protein_coding	g4	3
ENSMUSG00000022263.10	ENSMUST00000090247.6	Trio	protein_coding	z-dna	3
ENSMUSG00000028813.2	ENSMUST00000030614.2	CK137956	protein_coding	g4	3
ENSMUSG00000111116.1	ENSMUST00000216739.1	Gm48065	lincRNA	z-dna	3
ENSMUSG00000038932.13	ENSMUST00000037877.10	Tcfl5	protein_coding	z-dna	3
ENSMUSG00000022306.9	ENSMUST00000053467.5	Zfpm2	protein_coding	g4	3
ENSMUSG00000111726.1	ENSMUST00000217258.1	Gm40513	lincRNA	g4	3
ENSMUSG00000056174.8	ENSMUST00000070132.6	Col8a2	protein_coding	g4	3
ENSMUSG00000028631.7	ENSMUST00000030376.7	Kcnq4	protein_coding	z-dna	3
ENSMUSG00000055945.8	ENSMUST00000163887.1	Prr18	protein_coding	g4	3
ENSMUSG00000022382.15	ENSMUST00000229191.1	Wnt7b	protein_coding	z-dna	3
ENSMUSG00000084843.1	ENSMUST00000145549.1	B230312C02Rik	lincRNA	g4	3
ENSMUSG00000028527.18	ENSMUST00000106945.7	Ak4	protein_coding	z-dna	3
ENSMUSG00000058881.13	ENSMUST00000171238.7	Zfp516	protein_coding	g4	3
ENSMUSG00000061411.12	ENSMUST00000035346.13	Nol4l	protein_coding	g4	3
ENSMUSG00000037712.16	ENSMUST00000045905.13	Fermt2	protein_coding	g4	3
ENSMUSG00000033581.17	ENSMUST00000100052.10	Igf2bp2	protein_coding	z-dna	3
ENSMUSG00000032854.12	ENSMUST00000057944.11	Ugt8a	protein_coding	g4	3
ENSMUSG00000067786.16	ENSMUST00000088484.5	Nnat	protein_coding	g4	3
ENSMUSG00000032936.13	ENSMUST00000035700.13	Camkv	protein_coding	g4	3
ENSMUSG00000020627.10	ENSMUST00000020958.8	Klhl29	protein_coding	g4	3
ENSMUSG00000067704.1	ENSMUST00000088260.1	Wfdc13	protein_coding	h-dna	3
ENSMUSG00000071719.2	ENSMUST00000096363.2	Tmem28	protein_coding	g4	3
ENSMUSG00000031963.8	ENSMUST00000071982.6	Bmper	protein_coding	g4	3
ENSMUSG00000033152.13	ENSMUST00000061262.10	Podxl2	protein_coding	z-dna	3
ENSMUSG00000033174.17	ENSMUST00000113585.8	Mgll	protein_coding	z-dna	3
ENSMUSG00000020427.11	ENSMUST00000020702.10	Igfbp3	protein_coding	z-dna	3
ENSMUSG00000073043.5	ENSMUST00000101351.5	Atoh1	protein_coding	z-dna	3
ENSMUSG00000066607.5	ENSMUST00000085658.4	Insyn1	protein_coding	z-dna	3
ENSMUSG00000020374.16	ENSMUST00000063444.2	Rasgef1c	protein_coding	z-dna	3
ENSMUSG00000022012.9	ENSMUST00000022589.8	Enox1	protein_coding	z-dna	3
ENSMUSG00000106059.1	ENSMUST00000199220.1	Gm9364	processed_pseudogene	z-dna	3
ENSMUSG00000033597.9	ENSMUST00000234717.1	Caskin1	protein_coding	g4	3
ENSMUSG00000020315.18	ENSMUST00000006629.13	Sptbn1	protein_coding	g4	3
ENSMUSG00000020282.18	ENSMUST00000020524.14	Rhbdf1	protein_coding	z-dna	3
ENSMUSG00000033805.12	ENSMUST00000049146.11	Ephx4	protein_coding	g4	3
ENSMUSG00000031661.12	ENSMUST00000034086.12	Nkd1	protein_coding	g4	3
ENSMUSG00000031618.13	ENSMUST00000109913.8	Nr3c2	protein_coding	z-dna	3
ENSMUSG00000034220.7	ENSMUST00000045970.7	Gpc1	protein_coding	g4	3
ENSMUSG00000106399.1	ENSMUST00000195920.1	Gm43530	processed_pseudogene	z-dna	3
ENSMUSG00000064247.14	ENSMUST00000086687.9	Plcxd1	protein_coding	g4	3
ENSMUSG00000064225.6	ENSMUST00000079597.6	Paqr9	protein_coding	g4	3
ENSMUSG00000031565.18	ENSMUST00000117179.8	Fgfr1	protein_coding	g4	3
ENSMUSG00000032854.12	ENSMUST00000057944.11	Ugt8a	protein_coding	z-dna	3
ENSMUSG00000071341.4	ENSMUST00000095759.4	Egr4	protein_coding	z-dna	3
ENSMUSG00000021047.7	ENSMUST00000021438.7	Nova1	protein_coding	g4	3
ENSMUSG00000032816.15	ENSMUST00000166273.1	Igdcc4	protein_coding	z-dna	3
ENSMUSG00000020902.12	ENSMUST00000021284.3	Ntn1	protein_coding	z-dna	3
ENSMUSG00000103965.1	ENSMUST00000195035.1	Gm30173	lincRNA	z-dna	3
ENSMUSG00000070407.5	ENSMUST00000094103.3	Hs3st3b1	protein_coding	z-dna	3
ENSMUSG00000070576.4	ENSMUST00000094463.4	Mn1	protein_coding	g4	3
ENSMUSG00000020866.17	ENSMUST00000107785.1	Cacna1g	protein_coding	g4	3
ENSMUSG00000070225.1	ENSMUST00000093713.1	n-R5s33	rRNA	h-dna	3
ENSMUSG00000032387.15	ENSMUST00000055844.9	Rbpms2	protein_coding	z-dna	3
ENSMUSG00000070644.13	ENSMUST00000135222.8	Etnk2	protein_coding	g4	3
ENSMUSG00000020848.7	ENSMUST00000021209.7	Doc2b	protein_coding	z-dna	3
ENSMUSG00000069806.5	ENSMUST00000092891.5	Cacng7	protein_coding	g4	3
ENSMUSG00000069670.8	ENSMUST00000219125.1	Nkain2	protein_coding	z-dna	3
ENSMUSG00000069620.6	ENSMUST00000059065.9	Gm5250	processed_pseudogene	z-dna	3
ENSMUSG00000069601.14	ENSMUST00000218680.1	Ank3	protein_coding	g4	3
ENSMUSG00000104516.1	ENSMUST00000194343.1	Gm9884	TEC	z-dna	3
ENSMUSG00000032482.9	ENSMUST00000199736.1	Cspg5	protein_coding	g4	3
ENSMUSG00000032492.14	ENSMUST00000006005.11	Pth1r	protein_coding	g4	3
ENSMUSG00000020785.17	ENSMUST00000092937.12	Camkk1	protein_coding	z-dna	3
ENSMUSG00000032238.17	ENSMUST00000034766.13	Rora	protein_coding	g4	3
ENSMUSG00000070803.6	ENSMUST00000094814.5	Cited4	protein_coding	z-dna	3
ENSMUSG00000069378.14	ENSMUST00000091900.10	Prdm6	protein_coding	z-dna	3
ENSMUSG00000069171.14	ENSMUST00000127137.2	Nr2f1	protein_coding	z-dna	3
ENSMUSG00000032537.15	ENSMUST00000035129.13	Ephb1	protein_coding	z-dna	3
ENSMUSG00000032666.16	ENSMUST00000044581.13	1700025G04Rik	protein_coding	g4	3
ENSMUSG00000032666.16	ENSMUST00000044581.13	1700025G04Rik	protein_coding	z-dna	3
ENSMUSG00000032033.11	ENSMUST00000116615.4	Barx2	protein_coding	z-dna	3
ENSMUSG00000064052.3	ENSMUST00000081580.2	Gm5089	processed_transcript	z-dna	3
ENSMUSG00000034413.14	ENSMUST00000053020.7	Neurl1b	protein_coding	g4	3
ENSMUSG00000102615.1	ENSMUST00000192473.1	Gm37844	TEC	z-dna	3
ENSMUSG00000036103.9	ENSMUST00000234965.1	Colec12	protein_coding	z-dna	3
ENSMUSG00000030499.9	ENSMUST00000032709.2	Kctd15	protein_coding	g4	3
ENSMUSG00000018634.10	ENSMUST00000093925.4	Crhr1	protein_coding	g4	3
ENSMUSG00000036218.16	ENSMUST00000169942.9	Pdzrn4	protein_coding	z-dna	3
ENSMUSG00000061576.15	ENSMUST00000071500.12	Dpp6	protein_coding	z-dna	3
ENSMUSG00000036459.15	ENSMUST00000038537.8	Wtip	protein_coding	g4	3
ENSMUSG00000086165.1	ENSMUST00000128728.1	Gm15690	antisense	g4	3
ENSMUSG00000030353.15	ENSMUST00000006311.12	Tead4	protein_coding	z-dna	3
ENSMUSG00000030352.15	ENSMUST00000032503.11	Tspan9	protein_coding	g4	3
ENSMUSG00000036564.17	ENSMUST00000041318.13	Ndrg4	protein_coding	g4	3
ENSMUSG00000061080.11	ENSMUST00000099761.9	Lsamp	protein_coding	z-dna	3
ENSMUSG00000036617.17	ENSMUST00000066509.9	Etl4	protein_coding	z-dna	3
ENSMUSG00000021796.15	ENSMUST00000049005.14	Bmpr1a	protein_coding	g4	3
ENSMUSG00000018012.11	ENSMUST00000018156.11	Rac3	protein_coding	z-dna	3
ENSMUSG00000036856.4	ENSMUST00000045747.4	Wnt4	protein_coding	g4	3
ENSMUSG00000109307.1	ENSMUST00000208228.1	Gm44700	antisense	g4	3
ENSMUSG00000017734.15	ENSMUST00000069385.14	Dbndd2	protein_coding	z-dna	3
ENSMUSG00000037126.16	ENSMUST00000225323.1	Psd	protein_coding	g4	3
ENSMUSG00000059991.7	ENSMUST00000071782.7	Nptx2	protein_coding	z-dna	3
ENSMUSG00000037185.9	ENSMUST00000077196.5	Krt80	protein_coding	sidd	3
ENSMUSG00000030029.14	ENSMUST00000101126.2	Lrig1	protein_coding	z-dna	3
ENSMUSG00000100241.1	ENSMUST00000191501.1	Slc18a3	protein_coding	z-dna	3
ENSMUSG00000059742.10	ENSMUST00000112454.7	Kcnh7	protein_coding	g4	3
ENSMUSG00000017412.15	ENSMUST00000178799.7	Cacnb4	protein_coding	g4	3
ENSMUSG00000059146.12	ENSMUST00000039431.13	Ntrk3	protein_coding	g4	3
ENSMUSG00000058975.7	ENSMUST00000160433.2	Kcnc1	protein_coding	z-dna	3
ENSMUSG00000108624.1	ENSMUST00000205799.1	Gm45091	antisense	z-dna	3
ENSMUSG00000030516.14	ENSMUST00000032729.7	Tjp1	protein_coding	g4	3
ENSMUSG00000034573.14	ENSMUST00000048957.10	Ptpn13	protein_coding	g4	3
ENSMUSG00000035713.15	ENSMUST00000168435.6	Usp35	protein_coding	z-dna	3
ENSMUSG00000031520.6	ENSMUST00000033919.5	Vegfc	protein_coding	g4	3
ENSMUSG00000063568.11	ENSMUST00000074541.5	Jazf1	protein_coding	g4	3
ENSMUSG00000034656.18	ENSMUST00000238337.1	Cacna1a	protein_coding	g4	3
ENSMUSG00000021318.15	ENSMUST00000110510.3	Gli3	protein_coding	z-dna	3
ENSMUSG00000031451.6	ENSMUST00000033828.6	Gas6	protein_coding	g4	3
ENSMUSG00000074622.4	ENSMUST00000099126.4	Mafb	protein_coding	g4	3
ENSMUSG00000102377.1	ENSMUST00000193668.1	Gm37974	antisense	g4	3
ENSMUSG00000063434.6	ENSMUST00000078880.5	Sorcs3	protein_coding	g4	3
ENSMUSG00000031391.18	ENSMUST00000102871.9	L1cam	protein_coding	z-dna	3
ENSMUSG00000031376.15	ENSMUST00000114479.1	Atp2b3	protein_coding	z-dna	3
ENSMUSG00000034910.5	ENSMUST00000038489.5	Pygo1	protein_coding	z-dna	3
ENSMUSG00000021381.4	ENSMUST00000021813.4	Barx1	protein_coding	g4	3
ENSMUSG00000021381.4	ENSMUST00000021813.4	Barx1	protein_coding	z-dna	3
ENSMUSG00000107245.1	ENSMUST00000201051.1	Gm42803	TEC	h-dna	3
ENSMUSG00000031078.15	ENSMUST00000033407.12	Cttn	protein_coding	g4	3
ENSMUSG00000102126.1	ENSMUST00000189462.1	Gm29143	processed_pseudogene	sidd	3
ENSMUSG00000075284.10	ENSMUST00000094681.10	Wipf1	protein_coding	z-dna	3
ENSMUSG00000035187.10	ENSMUST00000044125.10	Nkx6-1	protein_coding	g4	3
ENSMUSG00000107384.1	ENSMUST00000202037.1	Gm42557	antisense	h-dna	3
ENSMUSG00000021506.7	ENSMUST00000021968.6	Pitx1	protein_coding	z-dna	3
ENSMUSG00000030970.16	ENSMUST00000166439.7	Ctbp2	protein_coding	g4	3
ENSMUSG00000035283.5	ENSMUST00000038949.5	Adrb1	protein_coding	g4	3
ENSMUSG00000035357.17	ENSMUST00000075994.10	Pdzrn3	protein_coding	z-dna	3
ENSMUSG00000035451.7	ENSMUST00000044380.7	Foxa1	protein_coding	z-dna	3
ENSMUSG00000021662.11	ENSMUST00000109426.2	Arhgef28	protein_coding	g4	3
ENSMUSG00000027777.15	ENSMUST00000182719.7	Schip1	protein_coding	z-dna	3
ENSMUSG00000028565.18	ENSMUST00000107057.7	Nfia	protein_coding	z-dna	3
ENSMUSG00000070476.10	ENSMUST00000094251.10	Fam217b	protein_coding	g4	3
ENSMUSG00000048915.12	ENSMUST00000076840.11	Efna5	protein_coding	z-dna	3
ENSMUSG00000001288.15	ENSMUST00000063339.13	Rarg	protein_coding	g4	3
ENSMUSG00000025318.13	ENSMUST00000026357.11	Jph3	protein_coding	z-dna	3
ENSMUSG00000048852.13	ENSMUST00000094476.8	Gm12185	protein_coding	h-dna	3
